13年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堀川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａクインズハリジャン, 58,藤田伸,, 62,*  0,* -7, 1,  1.5, ③②, 1, 9, ニジブルｰム,,小坂忠,,,,, 1,  3.0,①①①, 1, 7,Ｂハｰロンベイ, 72,北村友,, 73,   0,* 12, 1,  1.4, ⑨⑦, 1, 9,Ｂディアデラマドレ, 79,藤岡康,, 88,  -6,* 24, 3,  4.1, ⑩⑩
 2, 2,Ｆシゲルリクチュウ, 47,川須栄, 0.1, 62,*  2, -10, 3,  7.4, ①①, 2, 5, ヤマニンアｰマｰ,,白浜雄,195.2,,,, 5, 11.0,②③③, 2, 6,Ｈエｰシングランダム, 67,藤田伸, 0.6, 67,   1,   5, 9, 33.0, ⑥④, 2,10,Ｃエアジェルブロワ, 79,松山弘, 0.2, 80,*  1,   8, 1,  3.3, ②②
 3, 4,Ｅブロンクスステップ, 47,北村友, 0.3, 58,  -2,* -7, 6, 28.3, ⑤⑦, 3, 3, バｰドバｰニング,,植野貴,195.4,,,, 2,  3.1,③②②, 3,13,Ｊアサケゴマ, 65,熊沢重, 0.6, 70,   1,   5, 5, 17.4, ⑦⑥, 3, 4,Ｉウインミｰティア, 71,北村友, 0.2, 82,  -2,  12, 6, 17.7, ③③
 4,10,Ｂロスヴァイセ, 57,松山弘, 0.4, 55,  -5,* -6, 2,  5.0, ⑨⑧, 4, 4, ジョｰマダガスカル,,田村太,197.6,,,, 4,  7.7,⑤④④, 4, 4,Ｌマｰティンオｰト, 62,太宰啓, 0.6, 69,*  8,  -2,11, 87.9, ②②, 4, 5,Ｅクイｰンリヴィエラ, 73,秋山真, 0.4, 81,  -2,  11, 5,  8.7, ④④
 5,12,Ｃサウンドカｰル, 49,菱田裕, 0.6, 54,  -2, -11, 8, 39.2, ⑦④, 5,10, コウエイレディｰ,,中村将,197.7,,,, 7, 20.5,⑥⑤⑤, 5,11,Ｆサマｰハピネス, 67,菱田裕, 1.0, 63,   3,   0, 6, 22.9, ⑤⑤, 5, 7,Ｄラシンティランテ, 76,川須栄, 0.4, 81,  -4,  12, 4,  8.1, ⑥⑥
 6,13,Ｈルｰルウイニング, 46,国分恭, 1.0, 48,  -7, -10, 9, 74.8, ⑫⑪, 6, 7, メイショウクロシオ,,熊沢重,200.1,,,, 6, 13.0,⑨⑦⑦, 6, 5,Ｄキセキノハナ, 70,藤懸貴, 1.0, 64,  -3,   5,10, 33.2, ⑩⑫, 6, 8,Ｈタガノルミナｰレ, 71,池添謙, 0.5, 76,*  1,   3, 9, 36.3, ①①
 7, 5,Ｇヒデノヒロイン, 47,森一馬, 1.1, 49,*  0, -22, 5, 22.2, ②⑤, 7, 8, ラフアウトラウド,,上野翔,202.1,,,, 9, 55.5,⑦⑥⑥, 7, 8,Ｎスマｰトロデム, 50,中井裕, 1.2, 64,  -3,   3,14,233.6, ⑫⑨, 7, 6,Ｆデルマイザナミ, 73,和田竜, 0.6, 79,  -5,  12, 8, 27.2, ⑧⑧
 8,11,Ｋシゲルサヌキ, 39,高倉稜, 1.2, 47,  -8, -10,12,174.2, ⑪⑫, 8,11, カシノエルフ,,黒岩悠,202.9,,,, 8, 20.6,⑧⑨⑧, 8, 2,Ｇボストンビリｰヴ, 67,和田竜, 1.4, 61,  -3,   2, 2,  9.2, ⑪⑬, 8, 1,Ａイリュミナンス, 80,松田大, 0.6, 77,  -5,  12, 2,  3.3, ⑦⑦
 9, 8,Ｌカシノステイタス, 35,国分優, 1.3, 46,  -4, -17,10,124.3, ⑧⑩, 9, 2, アラビアンドラゴン,,五十嵐,203.7,,,,10, 62.9,⑩⑩⑩, 9,15,Ｏスリｰアメニティｰ, 45,岡田祥, 1.5, 59,  -7,   5,15,450.4, ⑭⑭, 9, 3,Ｇアドマイヤイチバン, 73,小牧太, 1.0, 73,  -4,   5, 7, 26.6, ⑤⑤
10, 9,Ｊメイショウエフワン, 41,太宰啓, 1.4, 45,  -1, -23, 7, 31.8, ⑥③,10, 1, アイファｰハイカラ,,林満明,203.8,,,,11, 99.9,④⑧⑨,10,12,Ｃセイウンラｰドゥガ, 70,岩崎翼, 2.1, 54,  -6,  -1, 8, 27.2, ⑮⑮,10, 2,Ｊユｰスティティア, 67,川島信, 1.1, 72,  -5,   6,10,144.0, ⑨⑨
