13年 4月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,汐留特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａトｰキングドラム, 60,内田博,, 56, -18,*  9, 1,  2.5, ⑨⑧, 1, 3, テルバイク,,山本康,,,,, 5, 10.7,⑥④③, 1, 7,Ｄナムラケイオス, 68,北村宏,, 70, -10,* 16, 3,  4.8, ⑦⑤, 1,10,Ｉタｰフェル, 75,田辺裕,, 80,  -1,* 16, 5,  9.9,⑫⑩⑩
 2, 8,Ｅシキランマン, 53,吉田豊, 0.3, 55, -23,* 12,10, 61.5, ⑬⑩, 2, 5, ブレイクチャンス,,五十嵐,199.5,,,, 1,  3.2,③②②, 2, 3,Ｃラシｰク, 71,武士沢, 0.2, 70,* -5,  10, 2,  3.5, ①①, 2, 8,Ｆホｰマンベルウィン, 77,石橋脩, 0.3, 79,  -5,* 17,11, 72.4,⑪⑬⑫
 3,10,Ｂカワキタプラウド, 59,柴田善, 0.5, 51, -11,  -2, 2,  3.1, ⑥④, 3, 2, アイアムエレガント,,浜野谷,201.3,,,, 3,  6.4,①①①, 3, 1,Ａエンドレスノット, 74,蛯名正, 0.6, 65,* -7,   8, 1,  2.6, ②③, 3, 2,Ａエメラルスピｰド, 86,北村宏, 0.4, 75,*  4,   3, 3,  7.1,②②②
 4,14,Ｄニシノオドリコ, 54,田辺裕, 0.5, 51, -12,  -1, 7, 22.1, ⑦⑦, 4,13, ビｰビｰマイセン,,小野寺,201.6,,,, 9, 64.1,②③④, 4,10,Ｆフジチャン, 67,石橋脩, 0.6, 65,  -8,   9, 4, 10.2, ⑥④, 4, 3,Ｃケルンフォｰティｰ, 81,内田博, 0.5, 76,  -3,  12, 1,  3.0,⑨⑪⑨
 5, 2,Ｃマキャヴェッリ, 57,岩部純, 1.0, 48, -11,  -6, 3,  7.4, ⑤③, 5, 9, ロｰドハリアｰ,,中村将,202.1,,,, 6, 13.2,⑦⑤⑤, 5, 8,Ｂドリｰムバラｰド, 72,横山典, 1.0, 61, -11,   9, 6, 14.8, ⑨⑨, 5, 6,Ｂコリｰヌ, 82,横山典, 0.5, 74,   0,   9, 4,  7.2,⑩⑨⑪
 6, 1,Ｋフｰラビュｰティｰ, 41,村田一, 1.1, 46, -22,   2, 5, 12.9, ⑫⑬, 6,12, フェイムロバリｰ,,高田潤,202.1,,,, 4,  8.3,⑤⑥⑥, 6, 4,Ｇクラウンリバｰ, 66,松岡正, 1.1, 61,* -6,   3, 5, 14.4, ③②, 6, 7,Ｄマイネイディｰル, 81,中谷雄, 0.7, 71,   1,   2, 8, 19.1,③⑤④
 7,16,Ｆノｰブルシャトル, 51,松岡正, 1.1, 46, -23,   4,11, 72.5, ⑭⑮, 7, 4, アンシャンテルｰル,,高野和,202.3,,,,13, 94.6,⑪⑫⑩, 7,14,Ｅベルストｰリｰ, 67,杉原誠, 1.2, 59, -18,* 13, 7, 15.0, ⑬⑫, 7, 4,Ｋスフィンクス, 70,西田雄, 1.0, 68,   1,  -1,13,123.0,⑥⑧⑥
 8,13, モンサンサタｰン,---,大庭和, 1.3, 43, -25,   4,13,155.8, ⑮⑭, 8,10, リアルクラシック,,上野翔,202.5,,,,14,119.0,⑫⑩⑧, 8,12,Ｈクナンガン, 63,上野翔, 1.4, 58, -21,* 14,13,271.0, ⑭⑮, 8,13,Ｅゴｰルドカルラ, 77,柴田善, 1.0, 67,   2,  -4, 7, 11.1,⑧⑥⑦
 9,11,Ｈラノララク, 49,嘉藤貴, 1.4, 44,* -8, -12, 6, 14.2, ②②, 9, 7, マサデパン,,石神深,202.6,,,, 7, 13.3,⑨⑦⑦, 9,15,Ｌオギノシュタイン, 50,中谷雄, 1.7, 55, -11,   3,14,325.5, ⑩⑧, 9,12,Ｈダブルオｰセブン, 76,吉田豊, 1.5, 63,  -3,  -2, 6, 11.0,⑬⑫⑬
