13年 7月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,濃尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａショｰグン, 68,福永祐,, 70,*  6,*  2, 1,  3.0,①①①, 1, 6, ビッグウィｰク,,小坂忠,,,,, 1,  3.0,②①①, 1,11,Ｈミリアグラシア, 68,福永祐,, 78,   8,*  7, 7, 30.4, ⑥③, 1, 7,Ｂインカンテｰション, 89,藤岡康,, 86,* 10,* 14, 1,  2.3,⑤③③
 2,14,Ｌタイムアラウド, 57,中井裕, 0.8, 69,*  6,  -4, 6, 20.8,③③③, 2,10, ファイヤｰ,,熊沢重,202.4,,,, 2,  3.7,⑤④③, 2,15, シルクバｰニッシュ,---,柴田大, 0.6, 75,* 14,  -4, 2,  4.2, ①①, 2,14,Ｃグッドマイスタｰ, 84,浜中俊, 0.3, 84,* 11,  11, 2,  6.9,③②②
 3,10,Ｆブルｰボリウッド, 63,藤懸貴, 1.0, 66,   1,*  3, 9, 29.3,⑫⑩⑨, 3, 2, リアルブラック,,林満明,203.1,,,, 5,  8.6,③⑤⑤, 3,12,Ｂアンビｰタブル, 75,浜中俊, 0.8, 70,   6,*  3, 1,  2.0, ⑩⑪, 3,15,Ａシグナルプロシｰド, 90,福永祐, 0.3, 83,   9,* 13, 5,  9.5,⑧⑦⑦
 4,12,Ｉカミングアップ, 60,高倉稜, 1.3, 64,  -1,*  5, 4,  9.6,⑭⑫⑪, 4, 1, サンライズロイヤル,,植野貴,203.1,,,, 7, 28.1,⑥③④, 4, 1,Ｉヤマニンブルジョン, 67,田中健, 1.1, 67,   5,   1,11, 62.8, ⑪⑨, 4,16,Ｄアドマイヤケルソ, 84,小牧太, 1.0, 80,   8,  10, 4,  8.6,⑫⑩⑨
 5,13,Ｃランドマｰキュリｰ, 66,酒井学, 1.5, 63,   1,  -1, 8, 26.7,⑪⑨⑩, 5, 3, スエヒロジュピタｰ,,黒岩悠,203.1,,,, 8, 30.5,⑦⑦⑥, 5, 9,Ｊバルトロメオ, 67,中井裕, 1.3, 67,   6,  -2, 5, 17.0, ⑨⑩, 5, 2,Ｈマｰチャンテイマｰ, 79,川田将, 1.1, 79,* 10,   5, 6, 16.6,④⑥⑤
 6,15,Ｋタイセイホｰネット, 57,小牧太, 2.4, 56,   3, -12,13,103.0,⑨⑧⑦, 6, 9, メイショウタｰビン,,難波剛,203.4,,,, 4,  8.5,④②②, 6, 3,Ｄタッチシタイ, 73,川田将, 1.4, 65,   6,  -3, 4,  9.0, ⑧⑦, 6, 8,Ｆブライトジェム, 81,柴田大, 1.9, 73,   3,   9,14,187.3,⑯⑮⑭
 7, 9,Ｇスピｰディシャｰプ, 60,岩崎翼, 2.4, 59,  -2,   0,10, 32.9,⑬⑬⑬, 7, 5, オンワｰドアマンド,,中村将,204.1,,,, 6, 16.2,⑧⑧⑧, 7,14,Ｋサウンドブレｰヴ, 66,幸英明, 1.4, 67,   9,  -5,13,166.4, ⑦⑧, 7,13,Ｉスクウェルチャｰ, 79,池添謙, 2.1, 71,* 10,  -5,10, 24.9,①①①
 8,11,Ｊジョディｰズロマン, 57,和田竜, 2.5, 57,   4, -14,11, 70.2,⑦⑥⑥, 8, 4, ペプチドマンボウ,,森一馬,206.2,,,, 9, 55.0,⑨⑨⑨, 8, 5,Ｅグリｰディｰボス, 72,岡田祥, 1.4, 63,   0,*  3,10, 33.1, ⑭⑮, 8,12,Ｅリアライズキボンヌ, 83,国分優, 2.1, 72,   9,  -2, 9, 19.8,⑨⑧⑧
