13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,10,Ｐテイエムゴｰジャス, 35,熊沢重, 3.0, 38, -11, -11,12, 87.3, ⑭⑮,,,,,,,,,,,,,13,10, ティｰパンサｰ,---,菱田裕, 2.1, 32, -25, -12,14,280.1, ⑫⑬,13, 4,Ｉエイヴィアンボス, 79,武豊  , 1.3, 73,   7,   4, 8, 17.5,⑤⑦⑧
14, 8,Ｎカシノキララ, 38,酒井学, 3.0, 36,  -8, -14,14,202.7, ⑬⑫,,,,,,,,,,,,,14, 6, ハッピｰベリｰ,---,畑端省, 2.3, 29, -26, -15,12,109.0, ⑩⑫,14, 5,Ｏアテンファｰスト, 73,城戸義, 1.5, 71,   5,   7,16,353.4,⑩⑫⑬
15,12,Ｉメイザフォｰス, 41,岩崎翼, 3.2, 34,  -5, -19,13,130.7, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｈメイショウオオカゼ, 79,和田竜, 1.7, 69,   8,  -2,12, 39.6,③⑤④
16,11,Ｌテイエムデザイヤｰ, 38,藤懸貴, 3.5, 32,  -6, -21,10, 75.6, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｌタイセイウインディ, 77,松山弘, 4.3, 51,* 11, -29,11, 33.0,①①⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
"単勝:610円 複勝:01=180円 05=180円 03=140円 枠連:1,050円",,,,,,,,,,,,単勝:330円 複勝:11=130円 05=140円 10=530円 枠連:450円,,,,,,,,,,,,"単勝:2,990円 複勝:08=700円 05=3,640円 03=750円 枠連:14,550円",,,,,,,,,,,,"単勝:350円 複勝:11=140円 03=410円 13=190円 枠連:1,050円",,,,,,,,,,,
"馬連:1,800円 ワイド:01-05=760円 01-03=400円 03-05=420円",,,,,,,,,,,,"馬連:470円 ワイド:05-11=180円 10-11=1,170円 05-10=1,050円",,,,,,,,,,,,"馬連:87,990円 ワイド:05-08=21,590円 03-08=5,110円 03-05=25,100円",,,,,,,,,,,,"馬連:3,130円 ワイド:03-11=1,100円 11-13=320円 03-13=1,310円",,,,,,,,,,,
"馬単:3,790円 3連複:1,760円 3連単:13,350円",,,,,,,,,,,,"馬単:940円 3連複:3,700円 3連単:12,990円",,,,,,,,,,,,"馬単:218,420円 3連複:481,060円 3連単:1,845,640円",,,,,,,,,,,,"馬単:5,060円 3連複:5,080円 3連単:29,040円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京阪杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａトシストロング, 59,幸英明,, 63,  -8,*  6, 2,  6.3, ⑪⑨, 1, 1,Ｂジョウノムサシ, 61,デムｰ,, 61,*  0,   1, 2,  4.3,①①①, 1, 1,Ｊダノンルｰジュ, 69,岩田康,, 82,   4,  12, 5, 11.8, ⑥⑥, 1, 3,Ｏアｰスソニック, 81,デムｰ,, 91,*  7,  12, 7, 15.8, ②②
 2, 1,Ｋアルカンジュ, 48,和田竜, 0.2, 60,  -4,  -2, 9, 53.7, ③④, 2,11,Ｃアドマイヤデウス, 61,和田竜, 0.0, 63,  -2,*  7, 5,  9.9,⑨⑥⑥, 2,14,Ｌアドマイヤキンカク, 66,福永祐, 0.0, 82,   6,   9, 1,  2.5, ⑤⑤, 2, 1,Ｍアイラブリリ, 81,幸英明, 0.0, 91,*  8,  11, 8, 22.6, ①①
