13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 4,Ｌサンレイロッキｰ, 45,森一馬, 1.4, 52,  -3,  -7,12, 88.9, ⑨⑧, 8, 5, エスケイキング,---,池添謙, 1.4, 42, -13,  -9, 7, 49.6, ⑦⑦, 8, 2,Ｄラグタイム, 64,岩田康, 0.7, 72,  -6,  14, 8, 47.3,⑨⑨⑨, 8,11,Ｍマｰクスマン, 69,池添謙, 0.8, 72,  -7,  15,13,201.7, ⑯⑮
 9,15,Ｋスタｰリｰオレンジ, 45,原田敬, 1.5, 51,  -1, -10, 8, 45.7, ⑦⑥, 9, 7, ヒミノマンサク,---,松山弘, 2.3, 34, -16, -15, 9, 82.1, ⑨⑨, 9, 8,Ｅマコトサダイジン, 64,福永祐, 1.2, 63,  -3,  -2, 7, 40.4,⑥⑥⑤, 9, 7,Ｐアイビｰフォｰルド, 65,ビュイ, 0.9, 71,   0,   6,14,213.0, ⑥⑦
10, 8,Ｇシゲルビッチュウ, 53,松山弘, 1.8, 48,  -2, -11, 9, 59.1, ⑧⑩,10, 1, スマッシュヒット,---,和田竜, 2.9, 29, -13, -23, 6, 23.3, ⑥⑥,,,,,,,,,,,,,10,13,Ｂサトノジョリｰ, 84,ルメｰ, 0.9, 69,  -1,   7, 4, 10.6, ⑧⑥
11, 5,Ｊクリノサプライズ, 46,和田竜, 1.9, 46, -10,  -4,15,140.2, ⑮⑫,,,,,,,,,,,,,,,,,,,,,,,,,11, 2,Ｇツルオカハチマン, 75,岩田康, 1.1, 68,  -1,   5, 3,  6.9, ⑨⑨
12, 6,Ｍクレインテオドｰラ, 44,国分優, 2.0, 45,  -3, -12,14,106.7, ⑩⑨,,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｉイエスイットイズ, 74,国分恭, 1.3, 66,*  2,  -1,11, 60.3, ②②
13,13,Ｉアイズユｰニン, 52,酒井学, 2.0, 45,  -8,  -8,10, 66.8, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｎラブリイステラ, 67,川須栄, 1.5, 65,   0,  -1,16,380.2, ④③
14,16,Ｈドリｰムアチｰブ, 53,国分恭, 2.1, 43, -13,  -4,11, 84.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｈエスジｰブルｰム, 75,幸英明, 1.6, 65,  -2,   1,10, 45.7, ⑩⑪
15, 9,Ｎメイショウライウン, 37,池添謙, 2.7, 40, -10, -11,13,104.1, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｆヒルノクオリア, 76,四位洋, 1.9, 64,  -5,   4, 7, 26.8, ⑬⑭
16,14,Ｐクリノベンザイテン, 33,城戸義, 3.5, 32, -11, -18,16,541.5, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｏレディワシントン, 66,秋山真, 4.2, 43,*  1, -25,15,367.3, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
単勝:450円 複勝:10=150円 11=350円 02=210円 枠連:740円,,,,,,,,,,,,単勝:160円 複勝:03=110円 08=110円 02=900円 枠連:280円,,,,,,,,,,,,単勝:150円 複勝:09=110円 06=270円 07=220円 枠連:890円,,,,,,,,,,,,"単勝:1,660円 複勝:12=300円 01=190円 04=110円 枠連:2,530円",,,,,,,,,,,
"馬連:3,340円 ワイド:10-11=1,210円 02-10=490円 02-11=1,340円",,,,,,,,,,,,馬連:280円 ワイド:03-08=120円 02-03=840円 03-04=170円,,,,,,,,,,,,"馬連:1,110円 ワイド:06-09=450円 07-09=330円 06-07=1,040円",,,,,,,,,,,,"馬連:4,180円 ワイド:01-12=1,180円 04-12=540円 01-04=280円",,,,,,,,,,,
"馬単:5,820円 3連複:7,810円 3連単:51,010円",,,,,,,,,,,,"馬単:420円 3連複:2,640円 3連単:7,100円",,,,,,,,,,,,"馬単:1,200円 3連複:2,220円 3連単:6,060円",,,,,,,,,,,,"馬単:9,910円 3連複:2,360円 3連単:27,330円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
