13年 6月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芦ﾉ湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃマキャヴィティ, 45,内田博,, 45,   3,*-23, 2,  3.9, ⑤③, 1, 2, ヴィｰヴァギブソン,,西谷誠,,,,, 1,  1.6,⑥②①, 1, 4,Ｅオｰゴンチャチャ, 61,ウィリ,, 68,   2,   7, 6, 10.3, ③③, 1, 5,Ｇドリｰムゴスペル, 79,武士沢,, 80,   7,*  4, 7, 15.1,⑧⑧⑧
 2, 4,Ｂコスモドｰム, 46,松岡正, 0.1, 44,*  5, -26, 4,  8.4, ②②, 2, 7, ランブリングロｰズ,,石神深,204.7,,,, 2,  3.9,①①②, 2, 7,Ｃマイネジュリエッタ, 64,松岡正, 0.0, 70,   1,* 10, 8, 22.9, ⑤⑤, 2, 7,Ｂタイキプレミアム, 84,ウィリ, 0.0, 79,   8,*  5, 2,  4.4,⑨⑨⑪
 3, 9,Ｅウインネオルｰラｰ, 38,柴田大, 0.2, 43,   1,*-22, 3,  4.1, ⑧⑧, 3, 4, ラインミッシェル,,大江原,204.8,,,, 8, 46.6,④④③, 3, 3,Ｈボンジュｰルココロ, 56,柴田善, 0.0, 68,*  5,   2, 9, 33.3, ②②, 3, 4,Ｆコスモカンタｰビレ, 81,柴田大, 0.4, 76,   7,  -4,11,102.3,⑪⑩⑦
 4, 3,Ａホトトヤエ, 48,蛯名正, 0.4, 41,*  6, -31, 1,  2.1, ①①, 4,12, オリオンザアルファ,,鈴木慶,205.1,,,, 6, 24.1,⑤⑥⑥, 4, 8,Ｂアンレｰル, 68,内田博, 0.1, 70,   1,   8, 4,  7.2, ⑥⑥, 4,11,Ｉルシャンベルタン, 78,柴田善, 0.4, 76,   7,  -1,10, 74.3,⑫⑫⑩
 5, 7,Ｆデサフィナｰド, 33,嘉藤貴, 0.8, 36,   3, -32, 5, 16.7, ⑥⑤, 5, 1, プロジェクトブルｰ,,山崎亮,205.7,,,, 5, 21.5,③③④, 5, 6,Ｆマイネグロリアｰナ, 61,柴田大, 0.3, 67,   2,   2, 3,  5.7, ④④, 5,12,Ｃスノｰドン, 82,内田博, 0.4, 76,* 10,  -9, 4,  5.5,④④③
 6, 6,Ｄタイキフォンテｰヌ, 43,柴田善, 0.9, 35,   4, -35, 6, 25.2, ③④, 6, 8, サｰドシアタｰ,,山本康,207.0,,,, 7, 24.2,⑧⑨⑩, 6,14,Ｇアサクサゴｰルド, 60,蛯名正, 0.6, 64,  -4,   8, 1,  2.9, ⑩⑩, 6, 3,Ｊニシキホマレ, 72,嶋田純, 0.5, 73,* 10, -14, 8, 24.4,①①①
 7, 1,Ｇドリスバロｰズ, 30,江田照, 1.0, 34,  -1, -29, 7, 35.6, ⑨⑨, 7, 3, トｰセンドンファン,,五十嵐,207.1,,,, 3,  9.4,②⑤⑤, 7,15,Ｄブライトチェリｰ, 64,田中勝, 0.6, 65,  -8,* 16, 2,  5.3, ⑭⑫, 7, 8,Ｅブリッジクライム, 81,横山典, 0.5, 73,   9,  -8, 1,  3.9,⑥⑤⑤
 8, 5,Ｉライクアラヴァｰ, 15,武士沢, 1.2, 32,   1, -35, 9,146.7, ⑦⑦, 8,11, アンシャンテルｰル,,高野和,207.4,,,,12,181.2,⑩⑫⑫, 8,12,Ｉデルマコナキジジ, 56,西村太, 0.7, 59,*  8, -14,10, 50.3, ①①, 8, 1,Ｄエクセルサス, 82,北村宏, 0.5, 74,   9,  -7, 6, 11.0,⑤⑥⑥
 9, 8,Ｈレッドロｰズキング, 15,吉田豊, 3.9, -4,   2, -72, 8,105.0, ④⑥, 9, 6, ヨドノエｰス,,小野寺,207.4,,,, 4, 21.0,⑫⑩⑨, 9,16,Ａエイトエンダｰ, 68,横山典, 0.8, 61,  -5,   8, 5,  8.4, ⑪⑪, 9, 2,Ｈピュアソルジャｰ, 79,吉田豊, 0.6, 75,   6,  -1, 5,  7.0,⑬⑬⑬
,,,,,,,,,,,,10, 5, ゼロレイテンシ,,上野翔,208.8,,,,11,132.0,⑨⑦⑦,10,10,Ｋメロｰペ, 34,吉田豊, 0.8, 61,  -1,   1,13,204.7, ⑧⑧, 9, 9,Ａヒｰルゼアハｰツ, 85,戸崎圭, 0.6, 73,   7,  -7, 3,  5.0,⑦⑦⑨
,,,,,,,,,,,,11, 9, スリｰマンボ,,草野太,210.3,,,,10, 82.2,⑪⑪⑪,11, 1,Ｊダブルアクセル, 47,戸崎圭, 1.1, 55,  -1,  -5, 7, 12.8, ⑦⑦,11,13,Ｋヴェルデライト, 72,江田照, 0.8, 73,   7,  -7, 9, 57.3,⑩⑪⑫
,,,,,,,,,,,,12,10, ラッシュザワｰク,,金子光,211.4,,,, 9, 50.8,⑦⑧⑧,12, 9,Ｌワンダリングブルｰ, 32,西田雄, 1.6, 51,  -3,  -6,16,419.9, ⑨⑨,12,10,Ｌアドバンスヘイロｰ, 70,松岡正, 1.1, 69,   9, -18,12,161.2,③③④
,,,,,,,,,,,,,,,,,,,,,,,,13, 5, アポロンバロｰズ,---,江田照, 4.0, 25, -12, -27,12,181.7, ⑫⑭,13, 6,Ｍセイカミカワ, 69,石神深, 2.8, 57,* 10, -45,13,207.2,②②②
,,,,,,,,,,,,,,,,,,,,,,,,14, 2, タマオ,---,嘉藤貴, 4.3, 22, -11, -34,15,331.3, ⑬⑬,,,,,,,,,,,,
