13年 8月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知床特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄエクスペリエンス, 41,三浦皇,, 58,   7,*-15, 3,  9.1, ④③, 1, 6,Ａリライブナカヤマ, 68,福永祐,, 69,*  1,* 10, 3,  5.6,③②②, 1,10,Ａホワイトポピｰ, 72,柴山雄,, 69,*  1,   4, 3,  5.2, ②②, 1, 3,Ｄマウイノカオイ, 71,三浦皇,, 85,   5,* 15, 4,  7.4,⑥④④
 2, 4,Ｂアヴァｰル, 51,岩田康, 0.6, 51,  12, -30, 2,  2.6, ②②, 2, 1,Ｄアルテミスハｰト, 60,岩田康, 0.6, 65,   0,   6, 2,  3.5,④③③, 2, 7,Ｅカルブンクルス, 68,勝浦正, 0.3, 65,  -2,   3, 2,  3.8, ④④, 2, 7,Ｅウィザｰズポケット, 71,四位洋, 0.0, 84,*  8,  11, 2,  4.8,③②②
 3, 2,Ａオｰルオブナイト, 53,川須栄, 0.6, 54,* 15, -32, 1,  1.6, ①①, 3, 2,Ｃニホンピロホウオｰ, 60,村田一, 0.6, 65,*  1,   4, 7, 16.5,①①①, 3, 3,Ｃヒカルソラフネ, 71,吉田隼, 0.4, 64,  -2,   2, 1,  2.4, ⑤⑤, 3, 1,Ｂマルカファイン, 75,松田大, 0.0, 82,*  9,   8, 1,  2.6,①①①
 4, 3,Ｅガッツオブライブ, 35,津村明, 2.6, 26,   5, -46, 6, 60.5, ③④, 4,11,Ｅジュｰルドトネｰル, 57,丸山元, 0.8, 66,  -1,* 10, 1,  2.5,⑪⑩⑧, 4, 2,Ｊレイズオブザサン, 61,村田一, 0.4, 65,  -2,   3, 6, 21.1, ⑥⑦, 4, 5,Ｃスマｰトルピナス, 72,丸山元, 0.3, 82,   1,* 19, 7, 16.3,⑦⑩⑥
 5, 5,Ｆペイシャンスゼｰタ, 27,古川吉, 2.9, 22,   0, -46, 5, 28.2, ⑤⑥, 5,10,Ｈギンザマｰシャル, 55,三浦皇, 1.1, 62,   0,   3, 4,  9.9,⑦⑦⑤, 5,12,Ｄコロカムイ, 69,小林徹, 0.5, 64,*  3,  -1,10, 32.8, ①①, 5, 9,Ａマイネルアルティマ, 75,丹内祐, 1.0, 73,*  7,  -3, 3,  5.4,②③③
 6, 1,Ｃナイトアンドデイ, 41,内田博, 3.0, 22,  -2, -46, 4, 16.0, ⑥⑤, 6, 3,Ｉデルマベム, 55,伴啓太, 1.4, 62,  -1,   4, 9, 49.4,⑨⑨⑨, 6, 8,Ｆシムｰン, 65,三浦皇, 0.6, 61,  -8,   4, 9, 29.9, ⑧⑧, 6, 2,Ｋオリバｰバロｰズ, 60,津村明, 1.8, 66,   2,  -4,12, 82.1,⑨⑧⑤
,,,,,,,,,,,, 7, 7,Ｂシャイニｰデイズ, 62,荻野琢, 1.5, 63,  -3,* 11, 8, 23.0,⑫⑫⑫, 7, 4,Ｉギルドマスタｰ, 63,川須栄, 0.6, 61, -13,*  7, 8, 26.4, ⑩⑨, 7, 4,Ｇショウナンバｰキン, 66,岩田康, 1.9, 66,   1,  -1, 5,  8.9,⑩⑪⑨
,,,,,,,,,,,, 8, 9,Ｋアルテルフ, 54,津村明, 1.6, 60,   0,   0,10, 72.2,⑧⑥⑦, 8,11,Ｂマウントフジ, 71,丸田恭, 0.6, 61, -10,   6, 4,  8.8, ⑨⑩, 8,11,Ｆメジロミドウ, 70,黛弘人, 2.2, 62,   5, -13, 8, 31.3,⑤⑤⑦
,,,,,,,,,,,, 9,12,Ｆルルドノヒトミ, 56,菱田裕, 1.7, 59,  -1,  -1, 5, 13.2,⑩⑧⑩, 9, 1,Ｈプリサイストップ, 64,松田大, 0.8, 59,  -2,  -2, 7, 26.3, ③③, 9, 8,Ｈウアジェト, 66,秋山真, 2.4, 59,   3, -14,10, 58.5,④⑥⑩
,,,,,,,,,,,,10, 8,Ｊジェットソング, 54,吉田隼, 1.7, 59,*  1,  -4, 6, 15.3,⑤⑤④,10, 5,Ｌステラインベレッタ, 48,丹内祐, 1.2, 56,  -7,  -1,11, 95.5, ⑦⑥,10,12,Ｉフロｰズンムｰン, 65,柴山雄, 2.8, 55,   2, -18, 6, 15.7,⑧⑨⑪
,,,,,,,,,,,,11, 4,Ｇカシノオパｰル, 56,城戸義, 2.3, 57,  -1,  -2,11, 89.6,⑥⑪⑪,11, 6,Ｇエメラルハヤブサ, 65,丸山元, 1.6, 49, -36,* 13, 5, 13.6, ⑫⑫,11,10,Ｊホッコｰゼニト, 63,勝浦正, 2.8, 56,   4, -19,11, 62.1,⑪⑦⑧
,,,,,,,,,,,,12, 5,Ｌミストラルシャワｰ, 52,松田大, 2.7, 52,   0, -12,12,160.2,②④⑥,12, 9,Ｋナリタカマｰ, 60,菱田裕, 1.7, 49, -20,   2,12,296.6, ⑪⑪,12, 6,Ｌヒカルペガサス, 42,福永祐,19.6,19.6---,  -5, ---, 9, 38.0,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-21 馬場:重(指数:14),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:14),,,,,,,,,,,
