13年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａルｰシｰブライド, 66,浜中俊,, 63,*  1,  -3, 1,  2.5, ①①, 1,11,Ｃブリュネット, 62,浜中俊,, 67,   4,* -3, 5, 15.9, ③③, 1,11,Ｃツルマルワンピｰス, 69,デムｰ,, 66,   5,   4, 1,  2.8, ④④, 1, 1,Ｈメモリアルイヤｰ, 74,藤岡佑,, 80,*  6,   4, 6, 15.1, ①①
 2,16,Ｂタマモマナムスメ, 64,池添謙, 0.4, 61,* -1,  -3, 3,  5.6, ②②, 2, 8,Ａゴドリｰ, 70,デムｰ, 0.2, 66,   2,*  1, 1,  1.9, ⑭⑭, 2, 9,Ｅキｰブランド, 68,古川吉, 0.0, 67,   3,   7, 2,  4.5, ⑤⑥, 2, 7,Ｃアミカブルナンバｰ, 80,四位洋, 0.0, 81,   2,* 10, 2,  3.9, ⑥⑥
 3, 3,Ｄマリナｰズコンパス, 58,デムｰ, 0.6, 58,  -4,  -3, 7, 15.3, ③③, 3, 7,Ｄシｰクレットレシピ, 61,四位洋, 0.5, 62,   3,* -6, 3,  8.4, ⑪⑩, 3, 8,Ａバハドゥｰル, 73,岡田祥, 0.2, 65,  -2,* 12, 3,  5.1, ⑫⑩, 3,12,Ａイチオクノホシ, 85,デムｰ, 0.0, 81,   1,* 11, 1,  3.5, ⑨⑧
 4, 7,Ｆリャナンシｰ, 56,小牧太, 0.6, 57, -18,*  9, 5,  9.8, ⑬⑬, 4, 5,Ｇキングデザイヤｰ, 53,和田竜, 0.5, 60,*  9, -19, 6, 22.4, ①①, 4, 1,Ｂタマモデザイア, 69,和田竜, 0.2, 66,   1,   7, 4,  6.2, ⑦⑤, 4, 2,Ｉエトピリカ, 74,熊沢重, 0.2, 80,  -2,* 12,12, 70.7, ⑫⑫
 5, 9,Ｃグレｰトエンジェル, 59,酒井学, 0.7, 57, -13,   4, 2,  5.3, ⑨⑧, 5, 6,Ｅミッキｰタイガｰ, 61,小牧太, 0.7, 61,   0,* -5, 7, 24.3, ⑬⑬, 5,13,Ｄサウンドレｰサｰ, 68,国分恭, 0.4, 63,   2,   5, 6, 15.5, ⑧⑦, 5, 3,Ｍクッカｰニャ, 71,酒井学, 0.3, 77,   2,   5, 8, 21.5, ⑤⑤
 6, 5,Ｅポロタン, 56,北村友, 0.8, 56, -16,*  7, 9, 47.1, ⑫⑪, 6,13,Ｍルナレガｰロ, 42,北村友, 1.0, 55,*  7, -22, 4, 10.2, ②②, 6,12,Ｍメイショウアルザス, 54,菱田裕, 0.6, 61,*  8,  -4,10,104.6, ③②, 6, 5,Ｄサトノジョリｰ, 80,北村友, 0.3, 78,   0,   9,13, 82.2, ⑧⑨
 7, 8,Ｍマコトクオバディス, 37,藤岡佑, 0.9, 55, -11,   1, 8, 23.4, ⑥⑥, 7, 2,Ｈケンブリッジアｰサ, 52,幸英明, 1.2, 56,   2, -15, 8, 24.6, ⑫⑪, 7, 6,Ｆキングスバｰン, 68,北村友, 1.0, 58,  -4,   7, 8, 37.9, ⑪⑬, 7,14,Ｅアルｰリングライフ, 79,菱田裕, 0.5, 74,   1,   4, 5, 11.4, ⑦⑦
 8,10,Ｇタニノセレナｰデ, 55,菱田裕, 1.3, 52, -13,  -1, 6, 14.3, ⑦⑨, 8,15,Ｆノアオｰカン, 55,太宰啓, 1.5, 51,   3, -22,10, 37.8, ⑧⑨, 8,10,Ｋデンコウデア, 62,川島信, 1.2, 56,*  9, -11, 7, 24.5, ②①, 8, 6,Ｌメイショウスザンナ, 72,池添謙, 0.5, 75,  -2,   7, 4,  6.9, ⑪⑪
