13年 9月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浦安特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｋウォッカマティｰニ, 31,蛯名正,, 52,  -2,* -4, 4,  8.7, ⑩⑩, 1, 6, パリスブルｰ,,草野太,,,,, 3,  8.5,⑤②①, 1,15,Ｂストラスペイ, 72,三浦皇,, 74,   4,   2, 2,  4.2,⑦⑦⑥, 1,10,Ｌトｰセントレジャｰ, 67,吉田隼,, 77,*  7,   7, 8, 33.3, ①①
 2,12,Ｊヴィジオネｰル, 32,宮崎北, 0.0, 54,   2,* -6,10, 46.6, ⑧⑨, 2, 1, マイネルロブスト,,五十嵐,193.7,,,, 1,  1.7,②①②, 2, 3,Ｆロベルクランツ, 67,嶋田純, 0.0, 75,   2,*  8,12, 56.8,⑪⑩⑧, 2,12,Ｋホワイトポピｰ, 72,柴山雄, 0.2, 76,*  6,   6, 4,  7.9, ②②
 3, 2,Ａアイティダイヤ, 49,田辺裕, 0.3, 56,* 14, -20, 1,  1.9, ①①, 3, 5, ドリｰムチャｰジ,,難波剛,194.8,,,, 6, 19.9,⑥⑤⑤, 3,14,Ａスマｰトルピナス, 76,丸山元, 0.2, 72,   2,*  6, 4,  6.8,⑩⑪⑬, 3, 6,Ｂダイワモｰビル, 77,北村宏, 0.2, 74,  -3,* 14, 9, 38.6, ⑭⑭
 4,15,Ｅファビン, 43,横山和, 0.5, 50,   6, -15, 8, 28.4, ⑦⑤, 4, 9, カフェディｰン,,横山義,195.0,,,, 2,  3.5,③④③, 4, 6,Ｉマグメル, 65,吉田豊, 0.3, 73,  -1,*  9, 5, 13.7,⑬⑫⑪, 4, 3,Ｊジェイケイホｰム, 72,江田照, 0.3, 74,   2,   9, 3,  7.9, ⑥⑤
 5,11,Ｆフライバイナイト, 38,村田一, 0.5, 49,  -7,* -2,14,275.6, ⑭⑬, 5,10, クレバｰブレｰド,,大江原,196.2,,,, 7, 28.1,①③④, 5, 7,Ｍキネオリリｰ, 56,木幡初, 0.3, 69,   8, -11, 9, 39.9,③③③, 5, 5,Ａミヤジシェンロン, 79,戸崎圭, 0.6, 72,   0,   8, 2,  5.7, ⑪⑫
 6, 3, サマｰドｰル,---,丸山元, 0.6, 47,   0, -11,12,186.7, ⑨⑧, 6, 2, フクノアトリア,,上野翔,196.5,,,,10,173.1,④⑦⑦, 6, 5,Ｅエリンジュｰム, 69,大野拓, 0.3, 69,   7,  -7, 3,  5.5,⑤⑥④, 6, 4,Ｇエイブルサクセス, 75,木幡初, 0.8, 69,*  5,   2,12, 67.9, ③③
 7, 8,Ｄスパイスフェアリｰ, 47,津村明, 1.1, 47,  10, -24, 2,  5.9, ③④, 7, 3, リバｰオリエンタル,,原田和,196.8,,,, 5, 19.7,⑦⑥⑥, 7, 9,Ｏモエレベロｰチェ, 37,田辺裕, 0.3, 68,* 15, -24,10, 42.6,②②②, 7,13,Ｅクラッチヒット, 75,田辺裕, 0.8, 69,   0,   6, 5, 14.5, ⑫⑨
 8,14,Ｇマイネアバンガルド, 37,柴田大, 1.2, 42,  -6, -10,11, 78.8, ⑬⑫, 8, 7, カワキタバルク,,小野寺,199.4,,,, 8, 52.8,⑧⑧⑧, 8, 4,Ｄトウショウプライド, 69,戸崎圭, 0.6, 67,   3,  -3, 1,  2.7,⑨⑨⑩, 8,11,Ｃチャンピオンヤマト, 76,勝浦正, 0.8, 70,   4,   3, 6, 19.8, ⑤④
 9, 5,Ｂピュアモトヒメ, 48,西田雄, 1.3, 47,* 12, -28, 7, 23.9, ②②, 9, 4, タツパｰシヴ,,田村太,199.9,,,, 4, 12.8,⑩⑨⑨, 9,13,Ｋスタｰゲイジング, 62,嘉藤貴, 0.6, 69,   0,   3,11, 50.6,⑫⑬⑫, 9, 9,Ｆフロリダブルｰ, 75,内田博, 0.9, 69,   1,   5, 1,  1.8, ⑨⑧
10, 7,Ｃシリカサンド, 48,武士沢, 1.5, 43,   8, -26, 5, 11.0, ⑤⑥,10, 8, カイトケイラｰ,,林満明,204.9,,,, 9, 59.3,⑨⑩⑩,10,12,Ｊグランデスバル, 64,杉原誠, 0.7, 66,   7, -14,13, 99.0,⑥④⑤,10,14,Ｉセイウンリファイン, 73,村田一, 0.9, 69,   2,   4,13,173.1, ⑦⑥
11, 4,Ｍライクアラヴァｰ, 27,田中博, 1.5, 44,   8, -25,13,207.5, ④③,,,,,,,,,,,,,11, 2,Ｎトｰセンシｰザｰ, 49,江田照, 1.0, 63,   5, -11, 7, 22.8,⑧⑧⑨,11, 2,Ｄガクニホシ, 76,伴啓太, 0.9, 69,   1,   5, 7, 29.3, ⑧⑩
