13年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥多摩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｈスウィｰプアウェイ, 53,三浦皇,, 66,  -1,*  4, 7, 25.4, ⑥⑦, 1, 6,Ｂベルキャニオン, 60,ムｰア,, 61,  -1,* 12, 1,  1.3,⑤④④, 1,15,Ｇクロスボウ, 69,吉田豊,, 72,  -1,* 14, 2,  4.4, ⑩⑩, 1, 7,Ａエｰルブリｰズ, 89,戸崎圭,, 87,  -2,  16, 1,  2.7, ③④
 2, 7,Ｆキョウエイハピネス, 56,松岡正, 0.2, 65,  -2,*  4, 3,  6.9, ⑩⑨, 2, 2,Ｈバンズｰム, 48,田辺裕, 0.2, 60,  -2,* 14, 3,  9.0,⑦⑦⑥, 2, 3,Ｊスノｰモンキｰ, 64,ムｰア, 0.1, 71,*  2,   9, 6, 14.9, ①①, 2, 1,Ｆアミカブルナンバｰ, 81,内田博, 0.0, 89,  -3,  18, 2,  3.9, ④③
 3,10,Ｄエストゥペンド, 57,石橋脩, 0.9, 58,  -2,  -4, 6, 10.1, ⑦⑧, 3, 1,Ｄウインインスパイア, 57,石橋脩, 0.5, 54,*  2,  -2, 4, 17.1,①①①, 3,12,Ｌヒショウ, 63,大庭和, 0.2, 69,*  2,   9,15,223.0, ④④, 3, 3,Ｋシｰブリｰズライフ, 79,田中勝, 0.3, 84,  -6,  17, 9, 36.8, ⑥⑥
 4, 1,Ｋファイアボｰル, 46,戸崎圭, 0.9, 59,   0,  -6, 8, 25.6, ④④, 4, 7,Ａサウンドメモリｰ, 60,蛯名正, 0.8, 54,  -3,*  8, 7, 35.3,⑪⑪⑨, 4, 6,Ｆファイブタブレット, 69,三浦皇, 0.3, 68,*  2,   7, 3,  6.9, ②②, 4,10,Ｅセイクレットレｰヴ, 82,北村宏, 0.3, 87,  -9,* 22, 4,  7.8, ⑫⑪
 5, 8,Ｃニシノゲンキマル, 60,柴田善, 0.9, 58,   0,  -6, 2,  6.8, ⑧⑥, 5,11,Ｆドラゴンストリｰト, 53,戸崎圭, 1.2, 48,  -2,  -2, 2,  7.9,⑧⑥⑧, 5,14,Ｄロマンシングジェム, 71,田辺裕, 0.3, 69,  -3,* 14, 8, 17.5, ⑪⑪, 5, 9,Ｂプランスデトワｰル, 84,柴田善, 0.3, 85,  -4,  15, 5, 11.8, ⑤⑤
 6, 9,Ｂティアップシンガｰ, 61,吉田豊, 1.0, 59,   0,  -7, 4,  7.1, ⑤⑤, 6, 3,Ｌラフィナｰト, 39,田中勝, 1.3, 46,*  1,  -8, 8, 65.8,③③③, 6, 7,Ｂセイントチャンス, 72,北村宏, 0.4, 67,   1,   8, 5, 12.5, ⑥⑥, 6,12,Ｈロｰドガルｰダ, 81,ビュイ, 0.4, 85, -10,* 20, 3,  5.1, ⑪⑫
 7,14,Ｇマイネルボルソｰ, 54,丹内祐, 1.3, 56,  -4,  -4, 5,  9.5, ⑪⑪, 7,10,Ｉモンサンカノｰプス, 44,後藤浩, 1.5, 45,  -2,  -6, 6, 34.2,⑥⑧⑦, 7, 2,Ｅマキノクィｰン, 70,戸崎圭, 0.5, 67,   0,   8, 1,  2.7, ⑤⑤, 7, 2,Ｃウエストエンド, 84,三浦皇, 0.4, 85,  -7,  18, 8, 24.9, ⑧⑨
 8, 2,Ａナイルエクスプレス, 71,後藤浩, 1.5, 55,*  4, -16, 1,  2.6, ①①, 8,13,Ｋオジュウチョウサン, 39,三浦皇, 1.8, 44,  -3,  -6,11,219.1,⑫⑫⑫, 8,13,Ｎミストフェリｰズ, 63,大野拓, 0.8, 68,  -3,* 13,10, 36.0, ⑮⑮, 8, 5,Ｉメジャｰアスリｰト, 80,大野拓, 0.6, 82,  -8,  16,11, 64.4, ⑩⑩
 9,16,Ｉデジタルアゲン, 48,武士沢, 1.7, 51, -10,  -2,13, 81.1, ⑯⑯, 9, 9,Ｅジェイケイウィｰク, 54,松岡正, 1.9, 40,*  1, -19, 9, 81.2,②②②, 9, 1,Ａパラティｰノ, 74,横山典, 1.0, 62,  -1,   6, 4,  8.5, ⑧⑧, 9, 4,Ｊシゲルスダチ, 80,後藤浩, 0.6, 78,*  2,   2, 6, 14.4, ①①
