13年 1月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,東雲賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃプリティｰキャロル, 58,杉原誠,, 48,  -2,  -6, 4,  8.8, ④⑥, 1, 1, メイショウユキチ,---,津村明,, 73,*  0,*  8, 2,  3.9, ①①, 1,12,Ｄジェイケイホｰム, 65,マクド,, 70,   1,*  6, 3,  7.8, ③②, 1,10,Ｃクリｰルカイザｰ, 81,吉田豊,, 87,   0,* 24, 2,  3.9,⑫⑪⑨
 2, 7,Ｂアキノディフェンス, 62,石橋脩, 0.2, 47,*  0,  -9, 2,  4.0, ①①, 2,14, アビリティラヴ,---,柴田善, 0.7, 65,  -6,*  9, 1,  3.0, ⑤④, 2,10,Ｅホワイトポピｰ, 64,吉田豊, 0.5, 67,*  4,   0, 8, 24.9, ①①, 2, 4,Ｄソルレヴァンテ, 80,蛯名正, 0.1, 81,*  7,   7, 3,  5.0,①①①
 3, 3,Ｎマンリｰ, 28,ベリｰ, 0.3, 45,  -2,  -8, 7, 19.9, ③⑤, 3, 5, トｰキングドラム,---,内田博, 1.8, 56,  -7,   0, 3,  5.3, ⑥⑥, 3, 7,Ａベストヒット, 68,横山典, 0.5, 64,  -1,   3, 5, 13.8, ⑥⑤, 3, 1,Ｇヤマニンリップル, 76,柴田善, 0.3, 80,   4,  10, 7, 26.8,④③③
 4,14,Ｄアワｰドリング, 54,柴田善, 0.4, 42,  -6,* -4, 5, 10.5, ⑨⑨, 4,15, ケｰジｰイチバン,---,嶋田純, 2.0, 54,* -3,  -6,11, 57.8, ③③, 4,16,Ｉストｰムジャガｰ, 61,内田博, 0.6, 64,   1,   1, 1,  1.9, ④③, 4, 6,Ｂロｰドエフォｰル, 85,柴山雄, 0.4, 82,   2,  17, 4,  9.9,⑨⑩⑧
 5,13,Ｉフｰラビュｰティｰ, 39,村田一, 0.4, 40, -14,*  2,11, 47.7, ⑭⑫, 5,13, ジョアキｰノ,---,吉田豊, 2.1, 54, -10,   0,10, 51.2, ⑧⑨, 5,13,Ｌパッション, 56,北村宏, 1.0, 61,  -1,  -1, 6, 21.7, ⑦⑦, 5, 5,Ｊコウヨウレジェンド, 75,田中勝, 0.5, 79,   3,  11, 9, 42.0,⑤④④
 6,16,Ａヴェアリアスロｰズ, 64,内田博, 0.5, 46,   0,  -9, 1,  2.4, ⑥④, 6, 8, スプリングマジック,---,田中博, 2.4, 51,  -7,  -6,13, 78.8, ④⑤, 6, 8,Ｆジャングルタｰザン, 64,ベリｰ, 1.0, 62,  -7,   5, 2,  4.5, ⑫⑫, 6, 2,Ｅオペラダンシング, 80,江田照, 0.5, 81,   2,  15, 5, 12.9,⑦⑨⑥
 7,10,Ｇロックフォｰド, 48,上野翔, 0.5, 41,  -6,  -7,13,130.5, ⑦⑦, 7, 9, カネトシエスプリ,---,松岡正, 2.5, 50,  -9,  -4, 5, 11.7, ⑦⑦, 7, 4,Ｎウエスタンソｰレ, 55,柴田善, 1.0, 60,  -9,*  7, 4, 11.3, ⑬⑬, 7, 9,Ａブリッジクライム, 88,横山典, 0.5, 82,  -1,* 21, 1,  2.3,⑬⑬⑫
 8, 9,Ｋヒラボクロマンス, 39,田辺裕, 0.6, 42,* -1, -12, 6, 19.3, ⑤③, 8, 6, マイネルクレスト,---,武士沢, 2.6, 50, -20,   4, 6, 12.3, ⑬⑪, 8,14,Ｃファイアキング, 65,田辺裕, 1.2, 59,  -5,   2,16,218.4, ⑪⑪, 8,11,Ｆコスモユッカ, 78,柴田大, 0.5, 79,*  7,   3, 6, 14.2,②②②
