13年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恵山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａツクバジャパン, 56,古川吉,, 59,*  2,  -1, 1,  2.5, ①①, 1, 7,Ｊジャズダンサｰ, 43,大野拓,, 65,   7,*  1,10,158.6,②③②, 1, 3,Ｃデルマイザナミ, 73,川須栄,, 75,   8,* 12, 6, 11.4,⑪⑨⑧, 1,12,Ｋドラゴンレジェンド, 60,岩田康,, 73,* -2,* 12, 4,  7.4,⑧⑥⑥
 2, 1,Ｆドラゴンスパン, 42,柴山雄, 0.0, 58,  -2,*  3, 3,  5.1, ④③, 2, 6,Ａライフトップガン, 72,岩田康, 0.0, 64,*  9,* -2, 1,  1.2,⑦①①, 2, 6,Ｂアドマイヤキュｰト, 75,丸山元, 0.2, 73,  10,   8, 1,  3.9,⑩⑧④, 2, 6,Ｃメイショウテッサイ, 71,吉田隼, 0.0, 73,  -4,* 16, 3,  5.6,⑩⑨⑩
 3,11,Ｃメジャｰスタイル, 50,岩田康, 0.1, 59,*  1,   0, 2,  3.3, ②②, 3, 4,Ｅゴｰルデンステッキ, 57,吉田隼, 1.3, 55,   4,  -6, 5, 20.1,③⑤⑤, 3, 4,Ａフｰラブライド, 77,古川吉, 0.4, 72,   9,   6, 2,  4.6,⑦⑤⑥, 3, 4,Ｈブリリアントダンス, 61,木幡初, 0.1, 70,*  0,   8,10, 50.6,②②②
 4, 8,Ｄコスモエルデスト, 49,丹内祐, 0.3, 56,*  0,  -1, 8, 32.3, ③④, 4, 2,Ｃスリｰラグタイム, 62,川須栄, 1.4, 56,   5,  -5, 6, 22.8,⑥⑦⑥, 4,12,Ｌクラリティｰエス, 63,勝浦正, 0.5, 70,   8,   8, 5,  7.3,⑫⑪⑦, 4,10,Ｆマイネルアルティマ, 65,丹内祐, 0.3, 67,* -1,   7, 8, 24.4,③③③
 5, 3,Ｂチュロ, 51,木幡初, 0.5, 51,  -6,*  1, 6, 16.5, ⑧⑤, 5, 5,Ｉブライトスペｰス, 47,松田大, 1.4, 53,   5,  -8, 4, 16.2,④④④, 5,13,Ｄストレｰトラブ, 72,岩田康, 0.7, 70,   6,* 11, 8, 14.2,⑬⑫⑨, 5, 1,Ｅサングップ, 67,四位洋, 0.6, 65,  -3,   7, 6, 12.0,⑨⑧⑦
 6, 5,Ｇミカルベウス, 40,横山和, 0.7, 47,  -8,*  1, 7, 28.7, ⑨⑩, 6,10,Ｂトｰセンワイルド, 65,田中博, 1.6, 53,   5,  -8, 3, 14.5,⑩⑥⑦, 6,10,Ｅシニスタｰクイｰン, 71,菱田裕, 0.7, 70,* 13,  -1, 3,  5.6,⑤②②, 6, 7,Ａマンインザムｰン, 73,北村宏, 0.6, 62,*  0,  -1, 1,  2.5,①①①
 7,10,Ｅジェイケイニュｰス, 48,丸田恭, 0.9, 45,  -8,  -2, 5, 11.6, ⑩⑨, 7,11,Ｈプリンセスナナミ, 49,三浦皇, 2.0, 50,   3,  -9,11,205.6,⑪⑩⑧, 7, 5,Ｈトレジャｰチェスト, 67,横山和, 1.1, 64,  10,  -2,11, 87.9,⑥④⑤, 7, 8,Ｉカルトマリｰヌ, 61,津村明, 0.7, 66,  -4,   8,11,105.9,⑫⑫⑨
 8, 7,Ｈクｰルルｰシｰ, 35,小林徹, 1.6, 37,  -3, -16,10,105.3, ⑤⑥, 8, 1,Ｄセイミニスタｰ, 59,村田一, 2.1, 50,   7, -17, 2, 12.7,①②③, 8, 8,Ｇホワイトアルバム, 70,小林徹, 1.2, 64,  11,  -3,10, 82.1,⑨③③, 8,11,Ｄインパルション, 68,勝浦正, 0.7, 66,  -4,   7, 7, 13.4,⑪⑩⑪
 9, 4, ディアゴッホ,---,勝浦正, 2.0, 32,  -4, -20, 4, 10.4, ⑥⑦, 9, 9,Ｆキャバｰン, 55,横山和, 2.4, 47,   4, -14, 7, 24.8,⑤⑧⑩, 9, 2,Ｊネヴァｰハｰツ, 67,松田大, 2.0, 58,* 13, -13, 7, 12.3,①①①, 9, 5,Ｂトｰセンツリｰ, 73,黛弘人, 0.8, 62,  -3,   2, 2,  5.2,⑥⑦⑧
10, 9,Ｊラブゲｰム, 28,北村宏, 2.9, 22,  -4, -31, 9, 80.1, ⑦⑧,10, 8,Ｇファットタイム, 50,津村明, 2.5, 47,   4, -13, 9,152.3,⑨⑨⑨,10, 9,Ｆスリｰカｰニバル, 71,柴山雄, 2.8, 53,   9, -14, 9, 29.1,④⑦⑩,10, 2,Ｌタツスティンガｰ, 58,丸山元, 1.0, 59,  -4,   4,12,178.3,④⑪⑫
11,12,Ｉクラシックヤンキｰ, 33,吉田隼, 3.4, 14, -14, -29,12,179.6, ⑫⑫,11, 3,Ｋタガノグッピｰ, 41,城戸義, 2.8, 46,  -2,  -7, 8, 89.7,⑧⑪⑪,11,11,Ｋシシリアンルｰジュ, 63,菅原隆, 3.2, 52,   8, -15,13,385.4,⑧⑩⑫,11, 9,Ｊシェイクザバｰレイ, 61,藤田伸, 1.0, 58,* -2,  -4, 5, 11.0,⑦⑤⑤
