13年 5月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇガウチョ, 60,大野拓,, 62,* -2,   5, 5, 12.4,①①①, 1,13,Ａカレングラスジョｰ, 66,丸田恭,, 63,* 12,  -8, 1,  1.8,②①①, 1, 7,Ｈスズカチャンプ, 64,横山和,, 70,   8,  -8, 6, 14.1, ⑦⑦, 1,10,Ｋナンヨｰケンゴｰ, 59,丸田恭,, 70,   9,* -7,11, 77.7, ⑩⑩
 2, 6,Ｂライフトップガン, 65,菱田裕, 0.1, 63,* -3,   5, 1,  2.9,⑦③③, 2,12,Ｅデルマカマイタチ, 58,大野拓, 0.0, 64,* 10,* -5, 4, 13.4,⑥④④, 2,11,Ｋシセイギンガ, 61,大下智, 0.1, 71,   6,* -2,11, 60.9, ⑩⑩, 2, 9,Ａエｰシンエポナ, 74,熊沢重, 0.3, 67,   9, -13, 2,  5.0, ⑨⑨
 3, 5,Ｃケツァルコアトル, 64,中谷雄, 0.2, 62,  -6,*  9, 2,  3.1,⑤⑦⑤, 3, 9,Ｆアキレスバイオ, 58,柴山雄, 0.0, 64,* 11,  -7, 7, 22.2,③②②, 3, 5,Ａルイｰザシアタｰ, 74,嶋田純, 0.1, 68,* 11, -14, 2,  4.0, ③④, 3, 5,Ｇティンホイッスル, 63,勝浦正, 0.4, 68,   8, -10, 9, 26.9, ⑫⑪
 3, 1,Ｅマイネルオルカｰン, 62,津村明, 0.2, 61,  -4,   6, 6, 13.1,③④④, 4, 8,Ｄブルｰボリウッド, 62,菱田裕, 0.5, 63,   7,* -4, 5, 17.0,⑧⑥⑥, 4, 8,Ｊクラｰロデルナ, 62,西村太, 0.2, 69,   4,* -2, 9, 21.3, ⑬⑬, 4,11,Ｅキネオウィン, 64,津村明, 0.4, 67,* 11, -18, 6, 20.2, ⑦⑥
 5, 8,Ｊヴィルトグラｰフ, 56,木幡初, 0.2, 61,* -3,   4, 7, 16.5,②②②, 5, 4,Ｃスリｰヨｰク, 66,中井裕, 0.7, 62,   8,  -7, 3,  5.3,④⑤⑤, 5,13,Ｃサンデンマックス, 68,伴啓太, 0.4, 65,* 12, -22, 8, 21.3, ①①, 5, 3,Ｆヴェリタラブ, 63,大野拓, 0.5, 67,   7,* -9, 4,  8.8, ⑬⑬
 6,14,Ｉアルカサｰバ, 57,嶋田純, 0.4, 59,  -5,   5,11, 75.6,④⑥⑥, 6, 7,Ｂゴッドマウンテン, 66,北村友, 0.8, 59,* 10, -12, 2,  4.7,⑤③③, 6, 2,Ｉイｰスタリｰガスト, 62,長岡禎, 0.4, 65,   8, -14,10, 37.1, ⑧⑥, 6, 2,Ｍハギノブシドウ, 52,鮫島良, 0.6, 65,   6, -10,13,100.3, ⑪⑫
 7,15,Ｄヴァルティカル, 64,高倉稜, 0.6, 60,  -5,   6, 3,  8.3,⑪⑧⑧, 7, 2,Ｌトドロキカポネサン, 48,丹内祐, 1.6, 59,   5,  -6,13,241.9,⑬⑩⑪, 7, 6,Ｇテｰオｰゼウス, 66,田中健, 0.6, 64,   7, -12, 7, 14.2, ⑥⑧, 7,12,Ｂエデンロック, 70,吉田隼, 0.7, 63,   9, -21, 1,  1.9, ⑥⑤
 8, 9,Ａハギノサキガチ, 70,長岡禎, 1.6, 55, -10,   6, 4,  8.9,⑬⑮⑭, 8,15,Ｋシャトｰザｰル, 49,田中博, 1.6, 56,   2,* -4,15,384.7,⑮⑭⑫, 8, 3,Ｄウインルキア, 67,荻野琢, 0.7, 64,   5,  -7, 5,  9.5, ⑫⑫, 8, 1,Ｄシンボリジャズ, 64,木幡初, 0.9, 61,* 11, -25, 3,  7.8, ④④
