13年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2500m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａイレプレイスブル, 65,内田博,, 60,* -6,*  8, 1,  1.9,②②②, 1, 7, アポロマｰベリック,,平沢健,,,,, 1,  2.4,⑤③②, 1, 6,Ａクリノハナミチ, 78,内田博,, 80,*  1,* 21, 1,  1.5,②②②, 1, 3,Ｂヴァｰゲンザイル, 81,吉田豊,, 91,  12,* 13, 4, 11.4,⑩⑪⑩
 2, 9,Ｇスティレット, 52,津村明, 0.0, 61,* -6,*  8, 7, 24.7,③③④, 2, 2, タイセイクライマｰ,,石神深,191.5,,,, 3,  6.4,①①①, 2, 9,Ｆマイネルティンラン, 71,柴田大, 0.0, 81,*  2,* 21, 5, 24.5,①①①, 2, 2,Ａアｰスステップ, 82,北村宏, 0.2, 87,  14,   4, 2,  5.5,⑧⑦⑦
 3, 6,Ｄベルウッドテラス, 54,柴田善, 0.2, 58,  -7,*  8, 3,  6.3,⑤⑥⑤, 3, 1, フェバリットアワｰ,,山本康,192.3,,,, 5,  9.2,⑨④④, 3,10,Ｃダヴィンチバロｰズ, 76,戸崎圭, 0.7, 76,*  1,  17, 2,  5.8,③③④, 3, 5,Ｇレオプログレス, 76,田辺裕, 0.2, 87,  15,   3, 9, 41.5,⑤⑥⑥
 4, 4,Ｃカシノハッピｰ, 56,横山和, 0.5, 61,* -5,   3,12,359.5,①①①, 4, 8, クリノスレンダｰ,,草野太,192.9,,,, 4,  9.0,⑩⑦⑥, 4, 5,Ｅアルジェンタム, 73,蛯名正, 1.3, 72,*  1,  12, 3,  6.2,⑤④③, 4,12,Ｄアドマイヤパｰシア, 80,田中勝, 0.4, 85,  13,   3, 3,  9.2,⑪⑨⑧
 5, 2,Ｆマイネルオルカｰン, 52,柴田大, 0.6, 57,  -8,*  8, 5, 13.1,⑧⑨⑨, 5, 5, アラタマユニバｰス,,中村将,193.2,,,, 6, 11.4,⑧⑧⑧, 5, 2,Ｇナンヨｰヤシマ, 71,津村明, 1.5, 73,  -1,  15, 6, 39.6,⑧⑦⑦, 5,10,Ｃカナロア, 80,内田博, 0.7, 82,  15,  -5, 1,  1.6,⑥⑤④
 6,10,Ｅオリオンザムｰン, 53,勝浦正, 0.6, 55,* -6,   4, 6, 15.5,⑨④⑥, 6, 4, サニｰサイレンス,,高野和,193.2,,,, 7, 14.4,⑦⑥⑦, 6, 8,Ｄガッテンキャンパス, 73,木幡初, 1.6, 72,   1,  12, 8, 46.3,⑦⑤⑤, 6, 6,Ｆスｰサングレｰト, 78,丸田恭, 1.0, 78,* 20, -25, 5, 15.2,①①①
 7, 7,Ｈウインチェイサｰ, 52,大野拓, 1.0, 53,  -8,   3, 4, 10.6,⑦⑧⑦, 7, 6, プレミアムパス,,五十嵐,193.9,,,, 2,  6.2,④⑤⑤, 7, 4,Ｉラブミｰニキｰタ, 70,嶋田純, 1.8, 71,  -1,  15, 7, 42.9,⑩⑨⑧, 7, 9,Ｊマイネルリヒト, 74,柴田大, 1.0, 81,  16, -12, 8, 32.8,④④③
 8, 5,Ｊイｰスタｰカクタス, 45,伴啓太, 1.1, 53,  -7,   0,10,126.3,④⑤③, 8,11, ラシアンウッズ,,江田勇,194.6,,,,12,121.7,③②③, 8, 7,Ｂリネンタキシｰド, 76,田辺裕, 2.3, 67,  -1,   9, 4,  9.0,⑨⑧⑩, 8,13,Ｋリングネブラ, 71,戸崎圭, 1.4, 75,  12,  -5, 7, 21.6,⑫⑫⑪
