13年 3月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大寒桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄアメｰジングタクト, 61,秋山真,, 69,  -2,*  8, 1,  2.0, ③③, 1,11,Ｃドラグレスク, 58,中舘英,, 61,*  0,   2, 2,  5.0, ①①, 1, 2,Ａガルビスティｰ, 77,中井裕,, 75,*  6,   8, 5,  9.9,④③②, 1, 7,Ａラストインパクト, 82,北村友,, 87,   8,* 21, 1,  1.5,⑦⑥⑥
 2,11,Ａヤマニンブルジョン, 66,田中健, 0.0, 69,* -1,*  7, 2,  4.1, ②②, 2, 5,Ａブラザｰウインド, 63,丸田恭, 0.1, 63,  -8,* 12, 1,  2.7, ⑩⑨, 2,14,Ｈダノンクリエｰタｰ, 73,松田大, 0.0, 71,*  7,   7, 2,  6.4,①①①, 2, 9,Ｄアウォｰディｰ, 68,秋山真, 0.1, 84,*  9,* 13, 3,  8.0,④②②
 3, 8,Ｅユウヅキ, 57,丸田恭, 0.6, 63,*  0,   1, 6, 22.6, ①①, 3, 6,Ｆエｰシンジョｰイ, 54,菱田裕, 0.5, 60, -11,* 11, 3,  6.5, ⑫⑬, 3,10,Ｇスズカルパン, 73,古川吉, 0.2, 75,   5,* 11,10, 15.1,⑩⑨⑧, 3, 6,Ｃポセイドンバロｰズ, 70,菱田裕, 1.2, 75,* 10,   1, 5, 12.9,③⑤④
 4,10,Ｂマンリｰ, 64,菱田裕, 1.2, 59,  -3,  -3, 4,  8.1, ④④, 4, 9,Ｄキュｰルエアリス, 55,吉田隼, 0.5, 56,* -3,   1, 4,  8.0, ③③, 4, 5,Ｂアサクサニッポン, 75,丸田恭, 0.3, 71,*  6,   7, 6, 10.0,⑤④④, 4, 5,Ｂマウイノカオイ, 76,丸山元, 1.2, 73,   8,   2, 2,  7.9,②④③
 5, 3,Ｃトドロック, 62,中井裕, 1.3, 59,  -5,  -1, 3,  6.1, ⑥⑤, 5, 2,Ｇオリオンザレヴリ, 51,西田雄, 0.6, 58,  -9,*  8,11, 46.6, ⑬⑫, 5,12,Ｋジョナパランセ, 72,横山和, 0.5, 69,*  6,   4,12, 19.1,③②③, 5, 2,Ｅバロンミノル, 66,柴山雄, 1.4, 71,   7,   2, 8, 59.5,⑧⑨⑦
 6, 5,Ｆラサイニ, 55,横山和, 1.4, 56,  -5,  -2, 7, 25.0, ⑦⑦, 6, 1,Ｂマリンレイ, 62,中井裕, 0.6, 56,  -5,   2, 5,  8.6, ⑥⑤, 6, 7,Ｃステップアヘッド, 75,吉田隼, 0.6, 70,   2,* 13, 1,  5.5,⑭⑭⑭, 6,10,Ｆラスカルスピｰド, 66,松田大, 1.6, 71,* 10,  -5, 4,  8.7,⑥③⑤
 7, 2,Ｈビコｰピリラニ, 51,佐久間, 2.2, 50,  -8,  -6, 8, 54.9, ⑨⑨, 7,12,Ｍパフォｰムワンダｰ, 43,藤岡康, 0.9, 55,  -8,   4,13, 73.8, ⑪⑩, 7,11,Ｉホクシン, 72,勝浦正, 1.0, 67,   5,   4, 3,  7.2,⑪⑩⑩, 7, 8,Ｇクラウディオス, 64,勝浦正, 1.7, 68,*  9,  -9, 7, 28.7,①①①
 8, 1,Ｊラノララク, 46,中谷雄, 2.4, 48,  -7,  -9, 5, 17.4, ⑧⑧, 8,10,Ｌスピリットサムライ, 44,横山和, 1.0, 53, -11,   4,15, 91.8, ⑭⑭, 8,13,Ｄアｰセナルゴｰル, 74,菱田裕, 1.0, 69,   4,   4, 7, 10.1,⑦⑧⑦, 8, 3,Ｉマツカゼグリｰン, 59,中井裕, 2.5, 62,   7, -11, 9,145.2,⑨⑧⑩
 9, 7,Ｌカシノマインド, 44,二本柳, 2.6, 46, -21,   2,14,203.9, ⑯⑭, 9,13,Ｈトミケンジェスト, 48,宮崎北, 1.1, 49,  -5,  -5, 8, 25.2, ⑤⑦, 9, 8,Ｌグリッタｰテイル, 70,秋山真, 1.5, 63,   6,  -1,11, 17.0,⑫⑦⑤, 9, 1,Ｈフォｰナインキング, 63,吉田隼, 2.6, 60,   7, -15, 6, 18.0,⑤⑦⑧
10,12,Ｉヒｰロｰゴｰルド, 50,丸山元, 2.6, 45, -16,  -2,10, 74.6, ⑬⑬,10,18,Ｊコウエイタｰボ, 45,松田大, 1.1, 48,* -3,  -7, 9, 27.7, ④④,10, 6,Ｅサンマルヴィエント, 73,丸山元, 1.9, 62,   3,   0, 4,  7.2,⑮⑬⑫,10, 4,Ｊスリｰフォスタｰ, 59,国分優, 3.6, 55,   7, -27,10,217.4,⑩⑩⑨
11, 6,Ｎウインラヴタイム, 36,古川吉, 2.7, 48,  -9,  -8,13,168.7, ⑪⑪,11, 4,Ｉウルトラサウンド, 47,古川吉, 1.1, 49,  -5,  -5, 7, 22.5, ⑦⑥,11, 9,Ｍアポロスカイナイト, 70,丹内祐, 2.1, 63,   4,  -4,13, 91.5,⑧⑪⑪,,,,,,,,,,,,
12, 9,Ｇヨイチピｰス, 54,吉田隼, 3.2, 40, -20,  -4, 9, 58.0, ⑭⑯,12,15,Ｅティアップベリｰ, 55,黛弘人, 1.2, 47,* -1, -11, 6, 15.8, ②②,12, 4,Ｏプロミシングユｰス, 60,柴山雄, 2.2, 62,   4,  -2,15,229.0,⑨⑫⑬,,,,,,,,,,,,
13,14,Ｋキタノワンダｰ, 44,黛弘人, 3.4, 39, -19,  -6,16,346.5, ⑮⑮,13, 3, マキアｰジュシチｰ,---,丸山元, 1.2, 51, -12,   4,12, 63.8, ⑮⑮,13, 3,Ｎマンボマンボ, 61,鮫島良, 2.6, 60,   0,   2,14,174.2,⑬⑮⑮,,,,,,,,,,,,
14,16,Ｍウエスタンカリｰナ, 41,西村太, 3.4, 39,  -8, -17,15,264.8, ⑩⑩,14, 8, サンレイジェム,---,花田大, 1.5, 48, -15,   3,16,123.7, ⑰⑯,14, 1,Ｆテイエムエビスオｰ, 73,原田敬, 2.9, 54,   5, -15, 9, 14.5,②⑥⑥,,,,,,,,,,,,
15,13,Ｏコフユチェリｰ, 30,丹内祐, 4.5, 31,  -2, -32,11, 81.3, ⑤⑥,15,14, アイファｰサミット,---,国分優, 1.6, 50, -12,   2,17,222.1, ⑱⑰,15,15,Ｊサンライズカラｰ, 72,藤岡康, 3.2, 52,*  6, -18, 8, 12.7,⑥⑤⑨,,,,,,,,,,,,
16,15, アリュｰリング,---,岩崎翼, 4.6, 28, -13, -23,12,167.1, ⑫⑫,16, 7,Ｏトレッドオンエアｰ, 27,二本柳, 1.6, 43,  -6, -10,14, 78.1, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,16,Ｋレイアロハ, 45,秋山真, 1.7, 45, -14,  -1,10, 39.7, ⑯⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,17,Ｎエンジェルロｰズ, 41,北村友, 2.7, 32,  -8, -19,18,232.6, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,
単勝:200円 複勝:04=110円 11=150円 08=420円 枠連:330円,,,,,,,,,,,,単勝:500円 複勝:11=160円 05=150円 06=200円 枠連:590円,,,,,,,,,,,,"単勝:990円 複勝:02=300円 14=290円 10=480円 枠連:1,960円",,,,,,,,,,,,単勝:150円 複勝:07=110円 09=180円 06=220円 枠連:260円,,,,,,,,,,,
"馬連:470円 ワイド:04-11=210円 04-08=720円 08-11=1,270円",,,,,,,,,,,,馬連:990円 ワイド:05-11=370円 06-11=820円 05-06=440円,,,,,,,,,,,,"馬連:2,420円 ワイド:02-14=1,010円 02-10=1,940円 10-14=2,320円",,,,,,,,,,,,馬連:500円 ワイド:07-09=230円 06-07=260円 06-09=770円,,,,,,,,,,,
"馬単:840円 3連複:2,150円 3連単:6,410円",,,,,,,,,,,,"馬単:2,140円 3連複:1,790円 3連単:8,730円",,,,,,,,,,,,"馬単:5,070円 3連複:14,000円 3連単:79,420円",,,,,,,,,,,,"馬単:700円 3連複:1,160円 3連単:3,100円",,,,,,,,,,,
