13年 4月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひめさゆり賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａマンリｰ, 66,大野拓,, 53,   2,*  1, 1,  2.6, ③③, 1, 1,Ｋトレｰドウィンド, 53,松田大,, 66,* -4,   4,10, 47.5,⑪②①, 1, 1,Ｄダイワベスパｰ, 68,丸田恭,, 75,  -1,* 11, 4,  9.5, ⑥⑥, 1, 6,Ｄメイショウブシン, 66,高倉稜,, 73,   6,*  6, 3,  5.3,⑩⑩⑨
 2,10,Ｈグランデミルク, 34,的場勇, 0.0, 56,*  7,* -1, 8, 46.3, ①①, 2,16,Ｌスノｰストｰム, 52,津村明, 0.2, 70,  -7,*  9, 9, 33.6,⑬⑩⑥, 2, 9,Ａダノンエレガント, 71,大野拓, 0.1, 74,*  3,   5, 2,  4.8, ③③, 2, 9,Ｇラシｰマ, 62,中谷雄, 0.3, 69,   5,*  2, 9, 21.5,⑪⑪③
 3,11,Ｉデルマキタロウ, 30,村田一, 0.2, 55,*  7,  -3, 9, 57.6, ②②, 3,12,Ａエｰシンヴィガｰ, 64,藤岡康, 0.2, 67,* -5,   5, 2,  3.5,⑦⑤③, 3,16,Ｂエｰシンエムディｰ, 70,藤岡康, 0.1, 74,*  4,   4, 3,  5.2, ②②, 3, 4,Ａポセイドンバロｰズ, 75,古川吉, 0.3, 69,   7,  -1, 2,  4.1,⑧⑦⑤
 4, 3,Ｄタオルチャン, 54,横山和, 0.8, 46,  -3,  -2, 4,  7.2, ⑦⑦, 4, 2,Ｉブランドオン, 54,古川吉, 0.2, 71,  -8,* 12, 3, 11.0,⑫⑬⑩, 4, 2,Ｆメイショウアキシノ, 67,松田大, 0.3, 72,  -5,* 11, 6, 13.4, ⑪⑨, 4,12,Ｂウイングリｰト, 74,大野拓, 0.5, 65,*  8,  -7, 1,  3.1,③③②
 5, 5,Ｊアイボリｰベｰジュ, 24,中舘英, 1.0, 41,  -2,  -5,10, 61.4, ⑤⑤, 5, 6,Ｃロｰレルラスタｰ, 59,的場勇, 0.4, 66,  -7,   7, 7, 16.7,⑨⑨⑨, 5, 5,Ｅノアノア, 68,中井裕, 0.5, 68,  -8,* 10, 8, 21.4, ⑭⑬, 5, 5,Ｆラプタ, 63,松田大, 0.5, 66,   7,  -4, 5, 10.8,④④⑥
 6, 2,Ｂクラウンビュレット, 55,中谷雄, 1.2, 39,  -4,  -5, 2,  3.5, ⑧⑧, 6,10,Ｂトｰセンハルカゼ, 62,中井裕, 0.5, 63,  -7,   2, 1,  2.2,⑭⑥⑤, 6,15,Ｉアポロアリｰナ, 63,勝浦正, 0.5, 68,   1,   1, 9, 23.3, ⑤④, 6, 8,Ｌオリバｰバロｰズ, 48,津村明, 0.7, 66,   7,  -7,10, 38.4,⑤⑤⑦
 7, 9,Ｃユリシｰズ, 54,原田敬, 1.3, 39,  -1,  -8, 5, 14.7, ④④, 7,15,Ｅノアミラクル, 56,原田和, 0.6, 63,  -7,   2,11, 56.7,③⑦⑦, 7,13,Ｃヤマニンボンプアン, 69,中舘英, 0.6, 67,*  5,  -4, 1,  3.0, ①①, 7,11,Ｈピロポ, 62,勝浦正, 1.0, 63,   4,  -4,12, 42.4,⑫⑫⑩
 8, 7,Ｅマプティット, 47,宮崎北, 1.5, 36,  -4,  -7, 3,  4.6, ⑨⑨, 8, 8,Ｄポッドフェロｰズ, 58,丸山元, 0.8, 55,* -4,  -9, 5, 14.2,⑮①②, 8,12,Ｇトルピドトウショウ, 65,丹内祐, 0.6, 68,  -4,   5,11, 30.8, ⑩⑪, 8, 2,Ｅコスモスタｰタｰ, 66,黛弘人, 1.0, 63,   6,  -8, 8, 18.6,⑨⑨⑪
 9, 4,Ｇウエスタンゲｰト, 37,丸田恭, 1.6, 36,  -1, -10, 6, 16.8, ⑥⑥, 9,11,Ｈシャンピオナ, 54,大野拓, 1.7, 49,* -5, -16, 4, 12.8,②④⑧, 9, 8,Ｌタガノルミナｰレ, 62,津村明, 0.8, 65,  -2,   0, 7, 14.1, ⑦⑦, 9,10,Ｉブリリアントダンス, 61,木幡初, 1.3, 58,   7, -17,11, 42.1,⑥⑥⑧
10, 1,Ｆトｰセンベイビｰ, 39,丹内祐, 1.9, 31, -15,  -3,12,131.8, ⑪⑪,10, 5,Ｇプリンセスハルカ, 55,荻野琢, 1.9, 54,  -9,  -4,12, 62.8,⑩⑮⑬,10,14,Ｋアイティクイｰン, 62,川島信, 1.0, 62,  -2,  -3, 5, 13.2, ⑧⑧,10, 1,Ｋサングブルｰ, 59,柴山雄, 1.5, 57,   6, -15, 7, 18.4,⑦⑧⑫
11, 8, ニイタカヤマ,---,伴啓太, 1.9, 30, -12,  -6, 7, 38.4, ⑩⑩,11, 9,Ｍショウサンメグレス, 51,宮崎北, 2.2, 47,  -8, -16,15,172.8,⑤⑪⑪,11,11,Ｊエムアイチャンドラ, 62,中谷雄, 1.0, 62,  -3,  -1,12, 81.0, ⑨⑩,11, 7,Ｃビｰビｰボイジャｰ, 67,丸田恭, 1.5, 54,*  8, -22, 6, 11.2,②②①
12, 6, カメンマキアｰト,---,中井裕, 2.7, 24, -18,  -9,11,113.7, ⑫⑫,12,13,Ｎフクノカストル, 49,岩部純, 2.3, 45,  -8, -17,14,124.3,⑧⑫⑫,12, 7,Ｍツカサリボン, 62,原田敬, 1.4, 57,  -8,  -1,13,104.5, ⑬⑭,12, 3,Ｊイヤｰオブドラゴン, 61,中舘英, 3.7, 39,*  8, -53, 4, 10.2,①①④
,,,,,,,,,,,,13, 7,Ｏニホンピロホウオｰ, 45,原田敬, 2.3, 47,  -8, -14,13,106.2,⑥⑭⑭,13, 6,Ｎユウミプリンセス, 55,田中博, 1.7, 54,  -6,  -6,14,180.5, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,14,14,Ｐザサンデｰ, 33,柴山雄, 2.4, 49, -11,  -8,16,307.0,⑯⑯⑯,14,10,Ｈブラックウィドｰ, 65,高倉稜, 2.0, 49,   1, -18,10, 27.8, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,15, 3,Ｆケンブリッジアｰサ, 56,鮫島良, 2.8, 39,  -7, -26, 6, 16.1,④⑧⑮,15, 4,Ｏマニッシュスマイル, 51,柴山雄, 2.2, 46, -13,  -6,15,181.5, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16, 4,Ｊキョウエイカミング, 53,嶋田純, 3.5, 36,* -5, -44, 8, 19.9,①③④,16, 3,Ｐホワイトクレマチス, 40,宮崎北, 2.6, 43,  -9, -15,16,206.0, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:260円 複勝:12=110円 10=1,310円 11=1,390円 枠連:910円",,,,,,,,,,,,"単勝:4,750円 複勝:01=920円 16=790円 12=150円 枠連:8,710円",,,,,,,,,,,,"単勝:950円 複勝:01=290円 09=160円 16=180円 枠連:1,210円",,,,,,,,,,,,"単勝:530円 複勝:06=210円 09=470円 04=160円 枠連:2,570円",,,,,,,,,,,
"馬連:5,720円 ワイド:10-12=1,870円 11-12=1,730円 10-11=17,800円",,,,,,,,,,,,"馬連:59,390円 ワイド:01-16=17,110円 01-12=3,260円 12-16=2,730円",,,,,,,,,,,,"馬連:2,510円 ワイド:01-09=920円 01-16=1,220円 09-16=600円",,,,,,,,,,,,"馬連:4,420円 ワイド:06-09=900円 04-06=450円 04-09=960円",,,,,,,,,,,
"馬単:9,450円 3連複:52,450円 3連単:208,140円",,,,,,,,,,,,"馬単:158,630円 3連複:71,980円 3連単:689,160円",,,,,,,,,,,,"馬単:5,980円 3連複:4,990円 3連単:36,320円",,,,,,,,,,,,"馬単:6,380円 3連複:3,930円 3連単:23,740円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吾妻小富士賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａグッバイタキオン, 65,中井裕,, 51,* -7,   3, 2,  4.9,①①①, 1,14,Ｅノｰザンハリアｰ, 49,黛弘人,, 66,* -2,*  2,10, 33.5, ②②, 1,16,Ｍゼンノルジェロ, 64,松田大,, 73,*  0,   7, 4,  9.3,③③③, 1, 3,Ｅレオパステル, 75,嶋田純,, 77,  -7,  16, 1,  2.8, ⑧⑦
 2, 1, メロディフェア,---,伴啓太, 0.2, 50,  -9,   4,14,129.3,③③②, 2, 9,Ｆエメラルドタワｰ, 44,丹内祐, 0.4, 60,  -8,*  1, 8, 24.8, ⑤⑤, 2, 9,Ｈアシュヴィン, 69,高倉稜, 0.1, 76,  -3,  13, 6, 12.2,⑪⑩⑦, 2,11,Ｐヒカリトリトン, 66,鮫島良, 0.1, 76, -12,* 19,16,144.8, ⑭⑬
 3, 8,Ｈイメｰジガｰル, 38,津村明, 0.4, 50, -11,   4,11, 39.8,④⑥④, 3, 5,Ｃカシノサトラップ, 51,原田和, 0.6, 57,  -7,  -3, 2,  6.8, ⑥⑥, 3,14,Ｉマイネアルナイル, 67,中井裕, 0.3, 72,  -3,  10,11, 27.8,⑬⑪⑩, 3, 4,Ｎベストブルｰム, 67,勝浦正, 0.3, 73,  -7,  12,10, 24.5, ⑨⑨
