13年12月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,栄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃサリレモンド, 62,丸山元,, 67,*  3,*  3, 6, 13.6,③③③, 1,15,Ｂレッドオｰラム, 57,小牧太,, 66,   2,* 13, 2,  3.8,⑦⑥⑥, 1,13,Ｊオｰスミマイカ, 69,古川吉,, 79,   6,  15, 3,  7.5, ⑥⑤, 1,12,Ｎエｰシンマックス, 67,松山弘,, 78,* -6,  16, 8, 17.7,④④⑤
 2, 7,Ａバイザスタｰン, 69,松山弘, 0.5, 64,*  3,  -2, 1,  2.6,②②②, 2,16,Ａマイネマレフィカ, 58,中井裕, 0.6, 59,   0,*  8, 1,  2.6,⑪⑧⑨, 2,17,Ｉトウカイメリｰ, 70,城戸義, 0.2, 77,  -5,* 22, 4, 11.4, ⑬⑫, 2, 7,Ｆベルニｰニ, 75,菱田裕, 0.1, 77,* -6,  14, 2,  5.1,⑤⑤④
 3, 8,Ｂクインズストｰム, 63,松岡正, 0.7, 63,   1,   0, 4,  6.9,⑤⑤④, 3, 4,Ｊフレンドスイｰト, 42,花田大, 0.9, 53,   5,  -6,10, 80.3,④④④, 3, 6,Ａケイアイユニコｰン, 78,藤岡康, 0.3, 75,* 10,   7, 1,  2.3, ③③, 3,17,Ｇコｰラルタワｰ, 75,松岡正, 0.1, 82,  -8,  22, 7, 15.6,⑧⑦⑧
 4, 2,Ｄディｰプカジノ, 58,太宰啓, 1.0, 65,  -1,*  3, 9, 27.8,⑨⑪⑪, 4, 9,Ｆバトルムｰングロウ, 49,太宰啓, 0.9, 52,*  9, -13, 3,  7.8,②②②, 4, 7,Ｅスピｰドルｰラｰ, 72,西田雄, 0.4, 74,* 14,   2, 9, 24.4, ①①, 4, 6,Ｉバトルゾロ, 75,太宰啓, 0.1, 74,* -3,   9, 4,  7.8,①①①
 5, 6,Ｊサンライズレｰヴ, 51,岩崎翼, 1.0, 63,  -1,*  1, 2,  5.6,⑦⑨⑨, 5, 6,Ｈナイスクオリア, 48,丸山元, 1.2, 52,   1,  -1,11, 98.2,⑧⑦⑧, 5, 8,Ｄトランドネｰジュ, 72,横山和, 0.4, 73,* 12,   3, 2,  6.4, ②②, 5,14,Ｄダイシンハンタｰ, 76,高倉稜, 0.1, 78,  -7,  17, 3,  7.4,⑥⑥⑥
 6,14,Ｋランガｰジュ, 50,古川吉, 1.6, 59,   0,  -7, 5, 13.0,⑪⑦⑦, 6, 1,Ｋダンスママ, 40,岩崎翼, 1.4, 46,* 16, -31, 7, 16.9,①①①, 6,14,Ｍピサノベッテル, 66,松岡正, 0.5, 74,   3,  11,11, 26.3, ⑨⑧, 6, 3,Ｅロンギングゴｰルド, 75,藤岡康, 0.3, 81, -11,* 24, 1,  4.0,⑫⑫⑬
 7, 3,Ｈファインコｰト, 53,丸田恭, 1.6, 55,   2,  -9,11, 84.6,④④⑤, 7,10,Ｄロイヤルグラッセ, 53,黛弘人, 1.4, 49,  -3,   1, 5,  9.3,⑨⑩⑪, 7, 5,Ｇダｰクマレイン, 71,丸田恭, 0.6, 71,  -6,* 19, 8, 18.7, ⑪⑬, 7, 5,Ｊマデイラ, 73,小牧太, 0.3, 74,* -6,  10,12, 34.0,②②③
 8,16,Ｅヒャクマンバリキ, 58,高倉稜, 1.9, 54,   0,  -9, 7, 14.1,⑧⑥⑥, 8, 5,Ｌトラストエルフ, 40,松山弘, 1.6, 47,  -5,   1, 8, 32.4,⑮⑮⑮, 8,12,Ｆスピアナｰト, 71,松山弘, 0.6, 72,* 10,   3, 5, 12.0, ④④, 8, 8,Ｋブライテストソｰド, 70,西田雄, 0.4, 77,  -9,  17,17,142.2,⑦⑧⑦
 9,10,Ｇペイシャゴンジセ, 55,西田雄, 2.9, 51,   0, -15,16,172.7,⑬⑩⑩, 9,14,Ｍクラウンマリリン, 36,古川吉, 1.6, 45,   6, -17,12,176.9,③③③, 9, 3,Ｂダイワミストレス, 78,柴山雄, 0.7, 70, -10,* 21, 6, 14.9, ⑰⑮, 9, 9,Ｈベルゲンクライ, 75,黛弘人, 0.4, 85, -15,* 32,10, 32.7,⑰⑰⑰
10,11,Ｎホｰプフルハｰト, 39,菱田裕, 4.0, 42,  -3, -20,10, 47.7,⑩⑫⑫,10, 2,Ｅトキノスタｰライト, 53,丹内祐, 1.7, 46,   1,  -9, 4,  8.0,⑥⑨⑦,10, 9,Ｈファインスマッシュ, 71,荻野琢, 0.8, 69,  -8,* 19,10, 24.5, ⑮⑭,10, 4,Ｌサトノテイオウ, 68,丸山元, 0.6, 77, -10,  19,16, 95.9,⑩⑩⑪
11, 1,Ｉオｰミシャンクス, 51,藤岡康, 4.1, 41,*  4, -34, 8, 19.5,①①①,11, 8,Ｎリサ, 34,西田雄, 1.7, 46,  -3,  -1,13,182.8,⑫⑬⑬,11, 2,Ｌクルｰジンミジｰ, 67,中井裕, 0.8, 69,  -1,  11,12, 48.3, ⑧⑩,11,11,Ｃグレｰトヴァリュｰ, 76,村田一, 0.6, 79, -12,  23,11, 33.4,⑮⑭⑭
12,12,Ｌメイショウバロｰダ, 47,中舘英, 4.2, 41,  -3, -21,12,109.6,⑮⑬⑬,12, 3,Ｇハナマイシン, 48,横山和, 2.0, 40,  -2,  -9, 9, 50.1,⑩⑫⑩,12,11,Ｏマックスストレイン, 64,丹内祐, 0.9, 69,   3,   6,14,134.6, ⑦⑦,12,13,Ａトミケンスラｰヴァ, 80,丹内祐, 0.6, 79, -13,  23, 6, 11.5,⑬⑮⑮
13, 4,Ｏハタノカｰリッジ, 37,柴山雄, 4.3, 41,   0, -27,15,139.0,⑥⑧⑧,13, 7,Ｃマホン, 57,高倉稜, 2.2, 39,   2, -19, 6, 10.4,⑤⑤⑤,13,16,Ｃジャストザオネスト, 73,藤懸貴, 0.9, 67,   1,   8, 7, 18.6, ⑩⑨,13, 2,Ｒフィｰルフリｰリｰ, 59,横山和, 0.7, 66,* -6,   4,14, 68.7,③③②
14, 9,Ｐカシノグレイス, 37,二本柳, 4.5, 40,  -7, -18,14,136.5,⑭⑮⑮,14,13,Ｉクリノクレオパトラ, 45,城戸義, 2.3, 39,  -5,  -9,14,219.0,⑬⑭⑭,14,18,Ｋラインロバｰト, 68,丸山元, 1.0, 67,  -3,  11,13, 63.1, ⑫⑪,14,16,Ｍナンヨｰユナ, 67,中井裕, 0.8, 74, -10,  14, 9, 17.8,⑨⑨⑨
15,13,Ｍヤマニンリュタン, 42,黛弘人, 4.5, 40,  -4, -22,13,132.8,⑫⑭⑭,15,12,Ｏアキノラブカラｰ, 30,岡田祥, 3.5, 26,  -3, -28,15,282.6,⑭⑪⑫,15,10,Ｎヒダカタイザン, 64,黛弘人, 1.3, 63, -15,* 19,17,249.7, ⑯⑰,15,15,Ｐトモロマイスタｰ, 65,丸田恭, 0.9, 77, -14,  23,15, 93.5,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｑミニ, 57,高倉稜, 1.3, 62, -11,  15,15,145.2, ⑭⑯,16,18,Ｂヤマニンプｰドレ, 78,岩崎翼, 0.9, 72, -10,  14, 5,  8.2,⑭⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｐリバｰデュランダル, 58,小野寺, 1.8, 59, -15,  15,18,440.6, ⑱⑱,17,10,Ｑカネトシエタｰナル, 64,古川吉, 1.4, 64, -10,   6,13, 39.5,⑪⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｒジプシｰマイラブ, 56,杉原誠, 2.1, 53,   3, -10,16,150.6, ⑤⑥,18, 1,Ｏテｰオｰゼウス, 65,田中博, 2.3, 61, -17,   9,18,199.0,⑱⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:5),,,,,,,,,,,
"単勝:1,360円 複勝:05=260円 07=120円 08=170円 枠連:460円",,,,,,,,,,,,単勝:380円 複勝:15=140円 16=140円 04=980円 枠連:500円,,,,,,,,,,,,"単勝:750円 複勝:13=230円 17=270円 06=130円 枠連:1,480円",,,,,,,,,,,,"単勝:1,770円 複勝:12=560円 07=210円 17=380円 枠連:3,460円",,,,,,,,,,,
