13年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,荒川峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂクロカミノオトメ, 63,中井裕,, 58,   4,  -4, 3,  9.5,⑩⑥⑥, 1,16,Ｃドラゴントｰク, 59,柴山雄,, 64,  -4,*  4, 2,  6.0, ⑧⑥, 1, 4,Ｈフェニｰチェ, 68,菱田裕,, 74,  -5,* 17, 8, 17.1, ⑬⑬, 1,15,Ｇミライヘノカゼ, 68,丸田恭,, 76,* -3,  10, 5,  8.8, ④④
 2, 8,Ｃマキノクィｰン, 61,吉田隼, 0.3, 54,*  8, -14, 2,  4.4,④③③, 2,12,Ａトルストイ, 69,菱田裕, 0.2, 62,  -7,*  5, 1,  1.5, ⑫⑪, 2,13,Ｂヴィオラｰネ, 73,柴山雄, 0.1, 72,  -1,   9, 2,  4.7, ⑨⑨, 2, 6,Ａアルティスト, 73,二本柳, 0.0, 82,  -7,* 20, 6,  9.3, ⑩⑩
 3,13,Ｇファストソング, 54,丸田恭, 0.6, 53,   1,* -3, 7, 32.4,⑬⑩⑧, 3, 9,Ｌシングンジャガｰ, 44,宮崎北, 0.5, 61, -11,* 10,11,127.5, ⑬⑯, 3, 8,Ｄクイｰンアルタミラ, 72,西田雄, 0.3, 69,  -5,* 12, 5,  8.1, ⑭⑭, 3,13,Ｆロットネスト, 68,木幡初, 0.0, 79,  -6,* 16, 1,  3.7, ⑦⑧
 4,10,Ａワンダｰテルヌｰラ, 68,嶋田純, 0.8, 50,*  9, -21, 1,  1.5,①①①, 4, 3,Ｊデルマコナキジジ, 45,西村太, 0.5, 56,* -1, -10,13,170.8, ①①, 4,14,Ｊアンペラトリス, 65,荻野琢, 0.3, 69,  -5,* 12,15,111.4, ⑪⑫, 4, 4,Ｂコスモユウチャン, 70,丹内祐, 0.1, 78,  -6,  15, 2,  6.0, ⑨⑨
 5, 7,Ｌクｰファスタｰ, 37,川島信, 0.8, 54,   1,* -4,12,157.4,⑪⑨⑩, 5, 8,Ｅシャンピオナ, 58,大野拓, 0.6, 55,* -3,  -8, 4, 12.2, ④④, 5, 9,Ｇフラゴリｰネ, 69,吉田隼, 0.4, 67,   1,   1, 7, 12.0, ④④, 5,10,Ｊコスモアウリンコ, 63,黛弘人, 0.2, 75,  -4,   9,11, 34.9, ⑤⑥
 6,11,Ｅペプチドアメジスト, 55,大野拓, 1.5, 47,   5, -18, 4, 15.6,⑦⑤⑤, 6, 4,Ｄペプチドウインド, 58,高倉稜, 0.7, 58, -10,*  4, 3, 10.6, ⑭⑭, 6, 2,Ｃテラノイロハ, 73,松田大, 0.5, 66,  -1,   2, 6,  8.2, ⑥⑥, 6, 9,Ｃピタゴラスコンマ, 69,大野拓, 0.6, 67,* -3,   0, 3,  7.4, ③②
 7,14,Ｈトｰセンハナミズキ, 52,伴啓太, 1.7, 47,   2, -14, 9, 50.1,⑫⑧⑦, 7, 2,Ｈトウケイゴｰルド, 47,長岡禎, 0.8, 55,  -8,  -1,10, 67.7, ⑥⑨, 7, 6,Ｉヤヤラｰラ, 67,嶋田純, 0.6, 65,   1,  -1, 4,  6.2, ⑦⑦, 7, 1,Ｅスリｰヴェロｰチェ, 68,鮫島良, 0.6, 76, -10,* 18,10, 24.2, ⑭⑮
 8, 2,Ｍウェンディシチｰ, 27,岩部純, 1.7, 48,  -3,* -4,13,241.3,⑭⑬⑪, 8, 7,Ｇスｰサンタイガｰ, 48,川島信, 0.9, 56,  -7,  -4,12,146.4, ⑯⑮, 8,10,Ｆルｰナピエｰナ, 69,宮崎北, 0.8, 63,  -3,   2,11, 67.1, ⑫⑩, 8, 2,Ｌクリノメダリスト, 62,柴山雄, 0.7, 74,  -8,  13,12, 51.3, ⑮⑭
