13年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ関西賞仲春特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａセカイノカナ, 62,デムｰ,, 64,* -1,* -1, 1,  1.6,③②②, 1,13,Ｄリスヴェリアｰト, 58,デムｰ,, 66,  -7,* 15, 1,  3.2, ⑪⑨, 1, 9,Ａミリオンヴォルツ, 75,松山弘,, 66,* -2,  12, 2,  4.1, ②②, 1, 3,Ｇラブイズブｰシェ, 75,中舘英,, 85,   1,  23, 1,  2.8,③③④
 2, 9,Ｅカノン, 57,原田敬, 0.1, 62,  -3,*  3, 7, 18.4,⑩⑨⑥, 2,10,Ｃサダムコｰテイ, 60,川田将, 0.0, 65,  -7,* 14, 2,  3.3, ⑧⑧, 2, 6,Ｉサウンドレｰサｰ, 68,国分恭, 0.0, 67,  -4,  14, 5, 13.6, ④④, 2, 5,Ｂロｰゼンケｰニッヒ, 83,デムｰ, 0.0, 89,  -4,* 33, 2,  3.4,⑨⑧⑧
 3, 4,Ｃスプリングデジレ, 58,国分優, 0.5, 58,* -1,  -7, 2,  8.4,①①①, 3,15,Ｅリッシュレｰヴ, 56,荻野琢, 0.2, 64,  -9,* 15, 4, 11.4, ⑬⑫, 3,13,Ｋツルオカハチマン, 66,福永祐, 0.1, 67,  -6,* 15, 4,  6.8, ⑧⑧, 3, 9,Ａロックンロｰル, 83,鮫島良, 0.4, 76,*  2,  14, 7, 21.8,②②②
 4,13,Ｆオクタｰブユニゾン, 51,松山弘, 0.8, 57,  -4,  -2, 4, 10.3,⑧⑩⑧, 4, 5,Ｉレッドムｰヴ, 49,藤岡康, 0.3, 63,  -9,* 14, 7, 20.1, ⑩⑪, 4, 3,Ｅタガノレガｰロ, 70,浜中俊, 0.3, 66,  -9,* 17,11, 85.1, ⑬⑥, 4, 6,Ｊケｰジｰカチボシ, 74,菱田裕, 0.5, 79,  -1,  18,11, 64.1,⑤⑤⑤
 5, 3, ドリｰムクリスタル,---,川田将, 1.6, 53,  -7,  -4, 8, 47.6,⑫⑬⑩, 5,18,Ａアメリ, 64,浜中俊, 0.5, 59,  -5,   6, 3,  4.4, ⑥⑥, 5, 4,Ｂペガサスヒルズ, 73,川田将, 0.3, 65,  -5,  13, 1,  2.6, ⑦⑩, 5, 1,Ｅスズカウラノス, 79,川須栄, 0.5, 82,  -2,  23, 9, 31.2,⑥⑥⑥
 6, 2,Ｄメモリｰロワジｰル, 58,古川吉, 1.6, 54,  -7,  -4, 5, 12.5,⑭⑭⑬, 6,12,Ｂウインドエｰデル, 61,松山弘, 0.5, 57,* -4,   3, 9, 28.0, ③③, 6, 8,Ｈサウンドブレｰヴ, 68,太宰啓, 0.6, 63,* -1,   6,12, 96.8, ①①, 6, 4,Ｈヤマニンアｰマｰ, 74,高倉稜, 0.6, 75,*  2,  10, 5, 14.7,①①①
 7,12,Ｂサマニトップレディ, 59,福永祐, 1.6, 52,* -1, -13, 3,  9.1,④④③, 7, 3,Ｆリアルアｰネスト, 55,国分恭, 0.6, 55,* -2,   1, 5, 17.8, ②②, 7, 2,Ｃクラヴィコｰド, 70,岩崎翼, 0.7, 62,  -8,  12,14,218.1, ⑩⑫, 7, 2,Ｉロｰドランパｰト, 74,浜中俊, 0.6, 87,  -6,* 33, 3,  4.2,⑬⑫⑫
 8,11,Ｉタｰフジェニック, 47,バルジ, 1.9, 49,  -4, -11, 6, 16.8,⑨⑧⑦, 8, 2,Ｋノイ, 38,武幸四, 0.7, 55,  -5,   2,11, 47.5, ④④, 8,14,Ｄシゲルハンベイ, 70,小牧太, 0.9, 60,  -9,  12, 7, 21.1, ⑪⑪, 8,13,Ｍウォｰタｰセレネ, 69,酒井学, 0.8, 79,  -2,  19,13,226.6,⑦⑦⑦
