13年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伏拝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂディレットリｰチェ, 60,福永祐,, 54,* -1,  -2, 1,  2.8,②②②, 1,12,Ｈミニ, 50,高倉稜,, 60,* -5,*  3, 1,  2.5, ②②, 1, 9,Ｂコウヨウアレス, 74,内田博,, 75,* -4,  12, 2,  3.1, ②②, 1,13,Ｅバクシンテイオｰ, 67,内田博,, 70,  -5,* 10, 2,  4.4, ⑩⑩
 2, 8,Ｃスプリングデジレ, 60,高倉稜, 0.0, 53,*  2,  -5, 2,  4.4,①①①, 2, 6,Ｂレｰヴドプランス, 54,吉田隼, 0.2, 56,  -8,*  2, 5, 10.5, ⑤⑤, 2, 1,Ｃエｰシンエムディｰ, 70,福永祐, 0.1, 76, -12,* 18, 1,  2.4, ⑦⑥, 2, 5,Ｊレディオスソｰプ, 63,勝浦正, 0.2, 67,  -7,*  9, 4,  6.3, ⑪⑬
 3, 9,Ａメイショウポピュラ, 62,蛯名正, 0.1, 54,  -2,*  1, 7, 17.2,③⑤④, 3,16,Ａルｰセブラック, 55,大野拓, 0.2, 57,* -5,   0, 9, 19.0, ③③, 3, 7,Ｇマックスストレイン, 65,木幡初, 0.3, 72,  -6,  10, 8, 30.0, ⑤③, 3, 7,Ｇロｰレルエナジｰ, 65,木幡初, 0.2, 67,  -4,   6, 8, 21.1, ⑨⑪
 4, 7,Ｌジンジャｰミスト, 39,内田博, 0.4, 51,  -2,  -4, 3,  5.0,⑬④③, 4,11,Ｆラブジョｰイ, 53,伊藤工, 0.4, 54,  -8,   0,10, 30.7, ⑥⑦, 4,14,Ａマカハ, 77,デムｰ, 0.3, 70,* -5,   9, 3,  4.8, ③④, 4,12,Ｈジャストザブレイン, 65,古川吉, 0.4, 65, -12,* 12, 7, 20.9, ⑭⑭
 5,12,Ｅプルｰフ, 57,吉田隼, 0.4, 52,  -3,*  0, 8, 20.5,⑧⑦⑤, 5, 2,Ｎナデシコホマレ, 32,黛弘人, 0.5, 53,  -8,  -1,14,154.9, ④④, 5,10,Ｅノアノア, 68,中井裕, 0.5, 69, -13,* 14, 5, 18.4, ⑨⑩, 5,11,Ｆパシオンルｰジュ, 67,津村明, 0.4, 65,  -9,*  9, 5, 13.7, ⑬⑫
 6, 4,Ｉスイスイスｰウィ, 45,西田雄, 0.4, 52,  -4,*  0, 9, 31.5,⑥⑨⑨, 6, 3,Ｇココロノスポｰツ, 52,田中博, 0.5, 53,* -4,  -5, 2,  6.6, ①①, 6, 5,Ｊエレガントタイム, 62,伊藤工, 0.6, 68, -10,  11,10, 93.1, ⑧⑧, 6, 9,Ｃサウスビクトル, 69,柴山雄, 0.4, 65,   3,  -3, 3,  5.2, ⑤④
 7, 2,Ｇペプチドアメジスト, 56,中舘英, 0.8, 48,  -6,* -1, 5, 13.2,⑩⑪⑪, 7, 8,Ｄエクスブルグ, 54,長岡禎, 0.5, 53, -11,*  1, 4,  9.5, ⑩⑧, 7,13,Ｄケイツｰノｰス, 69,丸田恭, 0.7, 65,  -8,   6, 4, 13.6, ⑥⑦, 7,10,Ｉアズマスタｰフィｰ, 63,西田雄, 0.5, 62,  -1,   0,15,109.3, ⑧⑦
 8,14,Ｄニュｰトロンスタｰ, 60,嶋田純, 1.0, 46,  -3,  -7, 4,  7.1,⑤⑥⑦, 8, 9,Ｃスタｰボウ, 54,丸田恭, 0.6, 51, -11,   0, 6, 12.1, ⑪⑩, 8, 4,Ｌアカネチャン, 57,荻野要, 0.9, 65, -17,  13,12,178.1, ⑪⑫, 8,16,Ｎエステｰジャ, 54,柴田大, 0.5, 65,   5,  -5,16,168.4, ③③
