13年 5月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 5月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昇竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄティボリハｰモニｰ, 60,岩崎翼,, 63,  -4,*  5, 8, 29.3,⑦⑩⑨, 1,14, ロｰドアリエス,,高田潤,,,,, 1,  1.6,①①①, 1,15,Ｂアサクサティアラ, 75,四位洋,, 72,*  8,  -7, 2,  3.8, ③③, 1, 2,Ｂクリソライト, 85,北村友,, 83,   9,* 11, 1,  2.6,⑩⑧⑧
 2, 6,Ｆサンレイフロｰラ, 57,花田大, 0.2, 62,  -5,*  7,13,143.9,⑫⑬⑪, 2,13, ヴィｰヴァギブソン,,西谷誠,193.8,,,, 2,  5.3,②②②, 2, 8,Ａイリュミナンス, 78,川須栄, 0.2, 70,   5,  -5, 3,  4.1, ⑦⑧, 2,13,Ａエｰシンゴｰルド, 86,川田将, 0.1, 83,   9,*  9, 3,  4.0,⑤⑥③
 3, 5,Ｇタマモアルバ, 54,国分恭, 0.2, 60,  -1,  -1, 9, 38.7,⑬⑦⑦, 3, 5, クレバｰベスト,,森一馬,196.0,,,, 6, 20.4,③⑥⑤, 3, 5,Ｇダンツカナリｰ, 67,上村洋, 0.2, 69,   6,  -7, 7, 22.9, ④④, 3, 6,Ｄマイネルクロップ, 80,柴田大, 0.8, 76,  10,   3, 4,  8.2,⑥⑤⑥
 4,10,Ｃスカイグラフィティ, 61,北村友, 0.4, 59,  -1,  -2, 5, 14.5,⑪⑥⑥, 4, 2, ネオファッショ,,難波剛,196.1,,,, 4, 12.6,⑨⑦⑦, 4, 7,Ｋサトノネネ, 63,藤岡康, 0.3, 69,   0,*  1,12, 75.3, ⑫⑬, 4, 3,Ｈクリノヒマラヤオｰ, 77,村田一, 1.1, 76,   9,   1, 7, 29.1,⑧⑦⑤
 5, 2,Ａモズマッテタワ, 67,藤田伸, 0.4, 60,*  1,  -7, 1,  1.6,①①①, 5, 6, クレバｰキング,,植野貴,196.2,,,, 3,  7.3,⑤③③, 5, 2,Ｈベアトリッツ, 66,藤田伸, 0.3, 70,   4,  -4, 9, 34.7, ⑨⑥, 5,14,Ｎカリスマサンタイム, 70,国分優, 1.2, 76,   8,   3,12,130.6,⑫⑪⑩
 6,14,Ｈブライダルドレス, 53,川田将, 0.6, 58,*  0,  -7, 4, 13.5,④③③, 6, 1, ユニバｰサルアゲン,,草野太,196.3,,,, 9, 89.8,⑦④④, 6, 4,Ｅアニマトゥｰル, 70,川田将, 0.4, 68,   2,* -3, 5, 10.2, ⑪⑩, 6, 7,Ｆアドマイヤイバマ, 79,小牧太, 1.3, 74,   8,   1,10, 78.7,⑨⑩⑨
 7,15,Ｂオｰルウェイズラブ, 64,川須栄, 0.6, 59,  -1,  -5, 6, 16.4,⑥⑤⑤, 7, 7, パルクエスト,,田村太,197.9,,,,11,155.4,⑧⑨⑨, 7, 9,Ｉリオグランデ, 64,小牧太, 0.5, 68,   2,* -3, 8, 24.7, ⑭⑫, 7,10,Ｌショウナンダイラ, 71,四位洋, 1.4, 77,   6,   4,11,114.8,⑪⑭⑭
 8, 9,Ｊルミアｰジュ, 51,幸英明, 0.7, 57,*  0,  -8, 2,  5.5,⑧④④, 8, 9, ハｰトビｰトボｰイ,,平沢健,197.9,,,,12,162.0,⑪⑩⑧, 8,12,Ｄシンジュボシ, 72,村田一, 0.5, 67,*  7, -13, 6, 15.5, ⑥⑤, 8, 5,Ｅソロル, 79,池添謙, 1.4, 73,  10,  -3, 5, 12.4,④③④
