13年 6月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,猪苗代特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂマイネルディアベル, 41,柴田大,, 55,  -5,*  1, 3,  5.4, ⑤③, 1, 2,Ａナムラコンジョウ, 67,横山典,, 64,*  4,*  4, 2,  3.6, ①①, 1,11,Ａメイスンウォｰ, 69,内田博,, 66,* -1,*  9, 1,  1.7,④③③, 1, 1,Ａダブルスタｰ, 86,横山典,, 74,*  1,* 21, 3,  4.3,①①①
 2, 5,Ｆボｰンレジェンド, 34,横山典, 0.2, 50,  -6,  -2, 2,  3.4, ⑥⑥, 2, 4,Ｂハントヴェルカｰ, 63,内田博, 0.4, 61,   0,*  4, 1,  1.9, ④④, 2, 2,Ｂコスモナイスガイ, 63,柴田大, 0.0, 65,  -3,* 11, 2,  5.8,⑪⑥⑤, 2,11,Ｃサトノプライマシｰ, 83,戸崎圭, 0.3, 75,*  1,* 19, 1,  2.5,④③③
 3, 2,Ａコスモドｰム, 45,松岡正, 0.3, 51,* -3,  -6, 1,  2.0, ②②, 3,10,Ｅジョブックガｰタｰ, 55,武士沢, 0.8, 59,  -3,*  3, 4, 10.1, ⑦⑦, 3,13,Ｌオフィシエ, 48,吉田豊, 1.0, 59,*  0,  -1, 4, 10.0,②②②, 3, 2,Ｉケイアイアポロン, 75,横山義, 1.0, 71,  -2,* 19,12,236.2,⑩⑫⑩
 4, 1,Ｅデサフィナｰド, 35,嘉藤貴, 0.8, 45,* -1, -13, 7, 21.6, ①①, 4,15,Ｄショウナンパンチ, 56,戸崎圭, 1.0, 56,  -5,   2, 3,  8.3, ⑩⑤, 4, 7,Ｅオリオンザミラクル, 55,田辺裕, 1.1, 58,  -4,   3, 3,  9.4,⑫⑦⑥, 4, 3,Ｇラヴェルソナタ, 76,柴田善, 1.0, 68,   0,  15, 8, 32.4,③④④
 5, 7,Ｄマイネルガヴァナｰ, 39,戸崎圭, 1.1, 39, -15,  -4, 4, 10.3, ⑧⑧, 5, 7,Ｌムネニアオリボン, 47,原田和, 1.2, 54,  -5,   0,12,133.6, ⑨⑩, 5,10,Ｃサクセスカｰチス, 59,嶋田純, 1.5, 54,  -4,   0, 6, 18.7,⑨⑧⑧, 5,12,Ｅトルバドゥｰル, 79,田中勝, 1.1, 68,   0,  14, 9, 42.1,⑤⑤⑤
 6, 8,Ｈライクアラヴァｰ, 31,武士沢, 1.8, 31,  -7, -21, 8, 85.1, ⑦⑦, 6, 9,Ｏロｰレルマヌエル, 28,的場勇, 1.4, 54,*  1,  -5, 8, 35.2, ③③, 6, 8,Ｋアズマワンダｰ, 48,大庭和, 1.9, 53,*  0,  -9, 9, 36.2,①①①, 6, 4,Ｄハコダテナイト, 80,田辺裕, 1.1, 69,  -2,  18, 2,  3.5,⑪⑪⑪
 7, 4,Ｃタイキフォンテｰヌ, 41,嶋田純, 1.9, 30,* -3, -26, 6, 19.7, ③④, 7,12,Ｆカシマルフィ, 55,田中勝, 1.6, 50,  -6,  -1, 5, 16.5, ⑪⑪, 7, 3,Ｊドラゴンナイト, 50,武士沢, 2.5, 51,  -9,   1,12,101.0,⑮⑭⑭, 7,13,Ｂダノンジュピタｰ, 84,内田博, 1.2, 70,  -4,* 20, 6, 15.0,⑬⑭⑫
 8, 6,Ｇハンサムオウジ, 32,田辺裕, 4.2,  1,* -3, -56, 5, 16.8, ④⑤, 8, 5,Ｉデラウメイア, 51,柴田善, 1.7, 49,  -9,   1, 7, 24.2, ⑫⑫, 8, 5,Ｇアｰリｰボｰイ, 54,西村太, 2.7, 50,  -7,  -5,11, 55.1,⑩⑬⑫, 8, 9,Ｋシルクコスモス, 72,石橋脩, 1.4, 68,   0,  13,13,280.6,⑫⑦⑧
,,,,,,,,,,,, 9, 8,Ｊダンシングイレｰネ, 51,大庭和, 1.9, 47, -11,   0,16,207.2, ⑬⑬, 9, 6,Ｈファイアポイント, 53,江田照, 3.2, 44,* -1, -18, 5, 17.1,⑤④④, 9, 7,Ｌタンスチョキン, 68,柴田大, 1.5, 65,  -1,  12, 5, 15.0,⑦⑥⑦
,,,,,,,,,,,,10,11,Ｈクリアプロフィット, 53,嶋田純, 2.1, 44, -13,   0,10,130.6, ⑭⑭,10, 4, メイショウレスト,---,蛯名正, 3.3, 44,  -6, -13, 7, 24.3,⑭⑪⑩,10, 5,Ｊシルクパルサｰ, 74,吉田豊, 1.6, 65,  -1,  12, 7, 29.2,⑥⑧⑥
