13年 2月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 2月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ2100m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3100m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初音ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｐジョｰヌドｰル, 35,蛯名正,, 60,*  8,*-19, 6, 10.8,⑤⑤④, 1, 2, ジェットストリｰム,,浜野谷,,,,, 8, 16.8,③③③, 1,12,Ａゴｰルデンクラウン, 79,横山典,, 74,*  6,   4, 3,  6.8, ②②, 1,16,Ｃアラフネ, 84,丸田恭,, 77,   7,   2,10, 16.6, ⑨⑩
 2, 4,Ｄオメガラヴィｰタ, 57,ブノワ, 0.4, 58,*  8, -22, 4,  6.5,④③③, 2, 5, ニシノラブキング,,江田勇,211.6,,,,12, 89.9,①①①, 2, 1,Ｍミルキｰブロｰド, 63,津村明, 0.0, 76,*  6,   4, 7, 22.4, ①①, 2, 9,Ｍダンスファンタジア, 74,ブノワ, 0.1, 78,   4,*  6,12, 26.9, ⑬⑭
 3, 2,Ａスペｰストリップ, 64,内田博, 0.6, 56,*  8, -26, 5,  7.0,①①①, 3,13, アグネスハイヤｰ,,北沢伸,212.0,,,, 2,  4.8,⑩⑨⑧, 3, 3,Ｅアｰティクラフティ, 75,北村宏, 1.0, 68,  -1,   4, 5, 15.1, ③③, 3, 7,Ｋウインクリアビュｰ, 78,三浦皇, 0.1, 78,   1,*  9, 9, 14.5, ⑮⑮
 4, 9,Ｈポッドフェロｰズ, 50,石橋脩, 0.6, 57,   4,*-15, 7, 11.6,⑯⑯⑬, 4, 7, マサライト,,西谷誠,212.2,,,, 1,  4.3,②②②, 4, 5,Ｈピオニエトウショウ, 71,丸田恭, 1.1, 68,   0,   5, 8, 28.7, ⑤⑥, 4, 6,Ａピクシｰプリンセス, 85,秋山真, 0.1, 77,  10,  -4, 1,  3.3, ⑤⑤
 5, 6,Ｅセプテントリオ, 56,柴田善, 1.3, 52,   7, -28, 2,  4.7,⑥⑦⑤, 5, 9, ジャポニズム,,横山義,212.4,,,, 9, 17.7,⑧⑥⑥, 5, 6,Ｃレッツゴｰマｰクン, 76,内田博, 1.2, 69,  -8,* 14, 2,  6.3, ⑯⑬, 5, 8,Ｊガｰネットチャｰム, 78,蛯名正, 0.2, 77,   6,   2, 7, 13.5, ⑪⑪
 6,16,Ｉフクノカストル, 50,嘉藤貴, 1.5, 52,   4, -24,10, 37.1,⑬⑬⑪, 6,12, トウシンボルト,,中村将,212.5,,,, 4,  5.6,⑫⑫⑨, 6,15,Ｆビットプレスト, 74,江田照, 1.3, 66,   0,   1, 6, 21.8, ⑥⑤, 6, 5,Ｂパワｰスポット, 85,横山典, 0.2, 76,   0,* 12, 4, 10.6, ⑯⑯
 7,12,Ｇクロンヌヴェｰル, 55,三浦皇, 1.8, 50,   6, -30, 3,  6.3,⑪⑩⑧, 7, 6, シルクダイナスティ,,山崎亮,212.6,,,,11, 57.6,⑪⑪⑫, 7,16,Ｄタニセンヴォイス, 76,吉田隼, 1.4, 64,   0,   0, 4,  9.3, ④④, 7,14,Ｐメイショウスザンナ, 71,武豊  , 0.5, 72,   7,  -6, 3,  9.0, ⑧⑨
 8,13,Ｂカッシｰニ, 63,松岡正, 2.1, 48,*  7, -38, 8, 12.3,③④②, 8, 8, メジロサンノウ,,大江原,212.7,,,, 5,  7.9,⑥⑤⑦, 8,11,Ｂオメガスパｰキング, 78,ビュイ, 1.4, 67,  -7,  10, 1,  1.9, ⑫⑪, 8,11,Ｆハッピｰパレｰド, 81,ベリｰ, 0.5, 72,   5,  -3,13, 42.9, ⑫⑫
