13年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,境港特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｏタガノベルｰガ, 29,藤岡康,, 60,* -2,  -1, 3,  6.7,⑤①①, 1,10, アドマイヤトライ,,北沢伸,,,,, 4,  6.7,④②①, 1,12,Ｉタニオブロｰズ, 66,川田将,, 78,   8,*  6, 5, 11.7, ④⑤, 1, 4,Ｇダイシンブラック, 78,ルメｰ,, 86,*  0,  15, 7, 13.9,②②②
 2, 7,Ｄマミｰテイラｰ, 52,森一馬, 0.3, 58,* -3,  -2, 5, 13.9,①②②, 2, 3, ラインレグルス,,森一馬,202.5,,,, 1,  3.3,⑥③③, 2, 4,Ｇラスカルトップ, 70,福永祐, 0.1, 77,   9,*  6, 3,  5.6, ⑧⑥, 2, 3,Ｂエｰティｰタラント, 88,藤岡佑, 0.1, 88,  -3,* 19, 1,  3.5,⑨⑤⑤
 3, 5,Ａハナズリベンジ, 60,幸英明, 0.4, 61,  -7,*  5, 2,  2.8,⑪⑩⑦, 3, 6, リアルブラック,,林満明,203.1,,,, 6, 11.5,⑤④④, 3, 1,Ｃマイネルゴラッソ, 73,柴田大, 0.3, 74,* 12,  -6, 6, 12.5, ①①, 3, 7,Ｄマウイノカオイ, 83,デムｰ, 0.3, 83,  -2,  13, 6, 10.6,⑤③③
 4, 8,Ｋサンレイフレンチ, 39,村田一, 0.6, 59,  -4,   0, 8, 84.8,④⑤⑤, 4, 9, ノッティングボｰイ,,草野太,203.7,,,, 2,  3.6,⑧⑦⑥, 4,13,Ｎカイシュウタビビト, 60,和田竜, 0.7, 69,* 11,  -9,14, 74.6, ②②, 4, 1,Ｅスミデロキャニオン, 81,幸英明, 0.3, 88,  -3,  18, 4,  6.6,⑥⑥⑥
 5, 4,Ｌメイショウブｰケ, 39,国分優, 1.0, 56,  -8,*  3, 6, 31.3,⑫⑫⑪, 5, 7, キクノレジｰナ,,植野貴,203.8,,,, 5, 10.6,③①②, 5,10,Ｄテイエムレンジャｰ, 73,太宰啓, 0.7, 69,   5,   1, 2,  4.2, ⑬⑫, 5, 6,Ａサカジロオｰ, 89,国分優, 0.3, 87,  -3,  18, 5,  7.8,⑦⑧⑦
 6, 2,Ｃタガノトラベラｰ, 55,浜中俊, 1.6, 52,  -7,  -4, 4,  7.0,⑩⑪⑬, 6,11, アマクサハイヤ,,難波剛,204.0,,,,11,144.8,⑨⑥⑤, 6, 2,Ｊレコンダイト, 66,ルメｰ, 0.8, 69,   7,  -3, 1,  4.2, ⑥⑦, 6, 2,Ｃアドマイヤスピカ, 84,川田将, 0.4, 87,  -5,* 20, 2,  3.8,⑧⑨⑨
 7,14,Ｇストロベリｰロｰズ, 43,太宰啓, 2.0, 51,  -5, -11,15,357.4,⑧⑥⑥, 7, 8, ゴｰルデンオブジェ,,熊沢重,204.2,,,, 3,  6.6,②⑧⑦, 7,14,Ｅレッドキングダム, 71,四位洋, 0.8, 68,   7,  -3,11, 33.7, ⑫⑩, 7, 5,Ｆカノン, 78,酒井学, 0.5, 82,  -3,  13, 8, 48.8,③④④
 8, 1,Ｈハナズフィフティ, 42,柴田大, 2.0, 50,  -9,  -4,13,167.0,⑭⑭⑮, 8, 4, ニライジンク,,白浜雄,205.1,,,, 8, 21.9,⑦⑨⑨, 8, 7,Ｌドリｰムキャプテン, 63,藤岡康, 1.0, 66,   6,  -3,12, 57.3, ⑪⑬, 8, 8,Ｉキンショｰタイム, 71,熊沢重, 1.6, 69,  -5,   1, 9,233.3,④⑦⑧
 9, 3,Ｊマルサンマリナｰ, 40,小林徹, 2.3, 46,  -6, -12,12,143.8,⑦⑦⑧, 9, 2, タガノナパヴァレｰ,,西谷誠,205.4,,,, 7, 12.7,⑩⑩⑩, 9, 3,Ａサウンドビガレス, 79,デムｰ, 1.1, 65,   7,  -7, 4,  5.6, ⑨⑨, 9, 9,Ｈタガノビッグバン, 76,浜中俊, 2.0, 59,*  0, -16, 3,  4.3,①①①
10, 9,Ｂサトノバｰキン, 57,福永祐, 2.5, 43,* -4, -19, 1,  2.4,②③③,10, 1, マルヨフレンドリｰ,,小坂忠,205.8,,,,10, 90.6,①⑤⑧,10, 9,Ｋスズカキングダム, 65,バルザ, 1.1, 64,  10, -12,10, 33.1, ⑤④,,,,,,,,,,,,
11,10,Ｍテイエムゴｰジャス, 38,熊沢重, 2.6, 46,* -4, -19,14,313.3,③④④,11, 5, テイエムクロジシ,,田村太,213.0,,,,12,170.8,⑪⑪⑪,11, 5,Ｍマイネチャｰム, 61,田辺裕, 1.3, 62,  10, -14, 8, 21.1, ③③,,,,,,,,,,,,
12,13,Ｉジュｰンヴィエナ, 41,和田竜, 2.7, 46,  -8,  -9,11,140.3,⑮⑮⑭,,,,,,,,,,,,,12, 6,Ｂウエスタンディオ, 74,浜中俊, 1.3, 62,   7, -10, 7, 12.9, ⑦⑧,,,,,,,,,,,,
13,11,Ｎトｰホウエトワｰル, 34,酒井学, 3.5, 39,  -7, -21, 9, 90.9,⑥⑨⑩,,,,,,,,,,,,,13, 8,Ｈエイティグロｰリｰ, 67,岩田康, 1.3, 65,   6,  -5, 9, 32.2, ⑩⑪,,,,,,,,,,,,
14, 6,Ｅタマモアネモネ, 46,藤岡佑, 3.5, 38,  -6, -22,10,123.0,⑨⑧⑨,,,,,,,,,,,,,14,11,Ｆオリｰブジュエル, 70,幸英明, 1.3, 65,   6,  -7,13, 73.9, ⑭⑭,,,,,,,,,,,,
15,12,Ｆラブセッタｰ, 43,田辺裕, 3.6, 36,  -8, -19, 7, 54.8,⑬⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,
"単勝:670円 複勝:15=200円 07=270円 05=130円 枠連:3,700円",,,,,,,,,,,,単勝:670円 複勝:10=250円 03=160円 06=350円 枠連:400円,,,,,,,,,,,,"単勝:1,170円 複勝:12=410円 04=220円 01=340円 枠連:1,210円",,,,,,,,,,,,"単勝:1,390円 複勝:04=340円 03=150円 07=270円 枠連:2,730円",,,,,,,,,,,
"馬連:4,230円 ワイド:07-15=990円 05-15=440円 05-07=450円",,,,,,,,,,,,"馬連:1,490円 ワイド:03-10=650円 06-10=1,780円 03-06=820円",,,,,,,,,,,,"馬連:2,410円 ワイド:04-12=1,010円 01-12=1,970円 01-04=1,100円",,,,,,,,,,,,"馬連:2,740円 ワイド:03-04=820円 04-07=990円 03-07=670円",,,,,,,,,,,
"馬単:7,390円 3連複:3,070円 3連単:27,300円",,,,,,,,,,,,"馬単:3,030円 3連複:6,090円 3連単:31,930円",,,,,,,,,,,,"馬単:5,630円 3連複:8,380円 3連単:51,350円",,,,,,,,,,,,"馬単:6,740円 3連複:5,290円 3連単:37,950円",,,,,,,,,,,
