13年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,乙訓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａマイティマックス, 64,ルメｰ,, 66,*  4,* -3, 1,  2.2,②②②, 1,11, メイショウツバクロ,---,石橋守,, 53,*-10,   0, 1,  2.1, ①①, 1, 9,Ｈエディン, 62,岩田康,, 77,* -4,* 19, 4, 11.3,①①①, 1,12,Ｉフラムドｰル, 69,太宰啓,, 76,  -2,*  8,11, 80.9, ⑥⑥
 2, 2,Ｄスプリングデジレ, 60,国分優, 1.1, 59,*  5, -13, 7, 30.4,①①①, 2, 8, エイシンライアン,---,福永祐, 0.1, 53,*-12,*  1, 2,  4.4, ③③, 2, 1,Ｂポレイア, 77,幸英明, 0.5, 75,  -5,* 17, 1,  2.0,④④③, 2, 8,Ａグレナディｰン, 78,ルメｰ, 0.1, 74,   2,   3, 1,  2.4, ④④
 3, 4,Ｈヤマニンサッチェル, 47,熊沢重, 1.2, 61,   3,  -8,11,179.0,⑨⑦⑦, 3, 3, ハマノグレｰド,---,酒井学, 0.3, 52, -15,*  2, 4,  9.7, ⑤⑤, 3, 3,Ｆスタｰリットスカイ, 67,浜中俊, 0.8, 73,  -4,  13, 3,  5.6,③③②, 3, 7,Ｂアルベルトバロｰズ, 76,福永祐, 0.1, 74,*  6,  -1, 3,  4.4, ②②
 4, 7,Ｃサンマルジュエリｰ, 64,幸英明, 1.2, 58,   3, -11, 3,  8.0,⑤⑤⑤, 4, 7, ミカサパワｰ,---,国分恭, 1.0, 46, -15,  -3,12, 73.2, ⑦⑥, 4, 2,Ｅクリノソｰニャ, 68,国分優, 1.4, 68,  -5,  10, 9, 94.7,⑤⑤⑤, 4,11,Ｄメイショウツガル, 74,幸英明, 0.2, 74,   2,   2, 2,  4.3, ⑤⑤
 5, 3,Ｆオアシスムｰン, 50,岩田康, 1.8, 54,   3, -17, 4,  9.2,③④④, 5, 6, イエｰガｰ,---,浜中俊, 1.2, 44, -15,  -4, 5, 18.0, ⑨⑦, 5, 5,Ａメテオｰリカ, 79,ルメｰ, 1.6, 67,  -5,   8, 2,  3.2,⑥⑥⑥, 5,10,Ｃアンプレシオネ, 75,浜中俊, 0.2, 73,  -5,*  8, 7, 18.2, ⑧⑧
 6,11,Ｇテイエムレオネッサ, 49,太宰啓, 1.8, 57,*  4, -18, 8, 45.2,④③③, 6,10, プントインアリア,---,秋山真, 1.4, 44, -15,  -3, 6, 19.8, ⑪⑫, 6, 6,Ｄシゲルリンゴ, 71,酒井学, 1.9, 69,  -6,   8, 5, 16.2,⑨⑨⑨, 6, 6,Ｇサクラベル, 72,岩田康, 0.4, 70,  -5,   5, 4,  9.9, ⑦⑦
 7, 1,Ｂダイワレｰヌ, 64,福永祐, 2.2, 53,   2, -16, 2,  3.3,⑦⑧⑧, 7, 9, ブルｰボリウッド,---,藤懸貴, 1.6, 40, -17,  -6,14,100.1, ⑩⑪, 7, 8,Ｉカイルアロマンス, 56,小牧太, 1.9, 63,* -4,   3, 7, 32.7,②②④, 7, 5,Ｈオレニホレルナヨ, 69,国分恭, 0.5, 69,*  7,  -8, 5, 13.0, ①①
 8, 9,Ｅデンコウアカツキ, 55,浜中俊, 2.3, 52,   2, -19, 5, 10.3,⑥⑥⑥, 8,16, ドンレジェンド,---,川田将, 1.6, 41, -13, -11, 3,  9.7, ④④, 8, 4,Ｃブライトポジｰ, 72,藤懸貴, 2.0, 64,  -5,   6, 6, 30.7,⑧⑧⑦, 8, 3,Ｊヒｰラ, 64,小林徹, 0.7, 67,  -8,   6, 9, 48.8, ⑩⑨
