13年 6月30日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月30日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,檜山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａファストソング, 62,丸田恭,, 59,  -5,*  8, 1,  1.7,⑪⑪⑧, 1, 7,Ｄセルリアンサｰロス, 61,丸田恭,, 62,* -1,*  6, 3,  6.6,③①①, 1, 8,Ａエｰペックス, 78,柴山雄,, 72,*  8,*  1, 2,  4.4,④③②, 1,13,Ａダノンゴｰルド, 84,四位洋,, 78,*  7,  10, 1,  2.1,①①①
 2, 1,Ｇティアップサニｰ, 55,黛弘人, 0.5, 56,  -2,  -1, 2,  6.6,③⑤④, 2, 6,Ｂクロノマン, 68,津村明, 0.4, 62,  -3,*  7, 2,  4.8,④⑦⑤, 2, 1,Ｂサンライズワｰルド, 75,丸田恭, 0.2, 70,   7,*  3, 3,  6.4,⑦⑦⑦, 2,11,Ｅカチュｰシャ, 78,秋山真, 0.0, 77,   5,* 14, 2,  3.9,⑥⑦⑦
 3,10,Ｄナデシコノハナ, 57,丹内祐, 1.0, 54,* -1,  -7, 8, 29.1,④②②, 3, 1,Ｆプリズンブレｰク, 55,北村宏, 0.5, 61,  -2,   4, 6, 22.0,⑦④②, 3, 5,Ｄシンボリエンパイア, 73,北村宏, 0.4, 69,*  8,  -2, 4,  6.5,③②①, 3, 6,Ｋロイヤルクレスト, 67,古川吉, 0.1, 78,   6,  11, 7, 21.8,⑧⑥④
 4,13,Ｃエリモフロｰラ, 57,丸山元, 1.1, 51,* -1,  -9, 4,  8.0,②①①, 4, 4,Ａペプチドウインド, 71,川島信, 0.7, 61,  -4,*  7, 1,  1.7,⑨⑩⑦, 4, 9,Ｇサチゴロウ, 69,丸山元, 0.5, 69,   6,  -1, 7, 31.7,⑥⑥④, 4, 4,Ｊレッドシュナイト, 74,北村宏, 0.3, 76,   1,* 17, 9, 67.1,⑪⑬⑪
 5, 2,Ｋケイアイリｰラ, 44,菱田裕, 1.1, 54,  -5,  -1,11,141.6,⑧⑩⑩, 5, 9,Ｅテイエムクロジシ, 58,古川吉, 0.7, 61,  -3,   4, 5, 16.9,⑩⑧④, 5,11,Ｈフィｰルドゴｰゴｰ, 67,秋山真, 1.2, 64,   5,  -3, 6, 29.5,⑪⑧⑧, 5, 5,Ｇトウカイノｰマル, 76,丹内祐, 0.5, 75,   5,  10, 8, 58.9,⑦⑧⑧
 6, 7,Ｉフリティラリア, 51,津村明, 1.1, 53,  -4,  -1, 7, 26.0,⑨⑨⑨, 6, 3,Ｃキクノセントロ, 61,川須栄, 0.9, 58,  -2,   0, 4,  7.0,⑥③③, 6, 3,Ｅトランザムスタｰ, 70,岩田康, 1.4, 62,   7, -10, 5,  9.9,②④⑤, 6, 9,Ｆタガノジョイナｰ, 76,岩田康, 0.5, 74,   3,  12, 4,  9.1,⑬⑨⑨
 7, 9,Ｊナトゥｰラ, 46,田中博, 1.2, 53,  -7,*  2,13,304.3,⑬⑬⑪, 7, 2,Ｈテルミニスト, 48,城戸義, 1.5, 53,  -3,  -3,10,166.2,②⑥⑧, 7, 7,Ｊマイネルドメニカ, 67,川島信, 1.6, 62,   7, -10, 9, 81.0,⑤⑤⑥, 7,10,Ｃスタｰバリオン, 81,川須栄, 0.7, 72,*  7,   5, 3,  6.9,③③③
 8, 6,Ｌネクストフラワｰ, 42,横山和, 1.9, 45,  -2, -14, 6, 21.5,⑦③③, 8, 8,Ｊキｰンオレンジ, 39,横山和, 2.5, 46,  -4,  -9, 9,160.9,⑧⑨⑩, 8,10,Ｉアルボランシｰ, 67,黛弘人, 1.7, 61,   3,  -5,11,143.8,⑨⑩⑨, 8, 3,Ｄヤマチョウフェア, 80,津村明, 0.7, 72,   6,   7, 5, 10.5,⑤⑤⑤
