13年 4月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,端午ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄタンティヴィｰ, 59,秋山真,, 66,*  2,* -2, 6, 21.5, ①①, 1, 8, アドマイヤディｰプ,---,福永祐,, 67,   9,* -8, 2,  3.3,⑧⑧⑧, 1,12,Ｃチェスナットバロン, 75,福永祐,, 80,   6,* 11, 1,  2.1,⑤⑤④, 1,14,Ｋサウンドリアｰナ, 69,武豊  ,, 77,   5,* 15, 4,  7.9, ⑫⑪
 2,13, キンシジェネラル,---,武豊  , 0.4, 59,  -9,*  5, 2,  7.2, ⑮⑮, 2,10,Ｃミッキｰサクセス, 62,戸崎圭, 0.1, 65,  10, -11, 4,  7.2,⑥④③, 2, 7,Ｋレッドグルｰヴァｰ, 70,デムｰ, 0.5, 77,*  7,   5, 4,  5.3,①①①, 2, 3,Ａエｰシンレンジャｰ, 81,秋山真, 0.7, 73,  11,   1, 1,  2.9, ④③
 3,11,Ａゴッドドリｰム, 69,幸英明, 0.6, 61,*  0,  -5, 1,  1.5, ④③, 3, 2,Ａスリｰベラミ, 65,岩田康, 0.3, 65,   8,* -9, 1,  3.3,⑦⑨⑦, 3, 2,Ａスズカルパン, 75,戸崎圭, 0.8, 73,   5,*  7, 2,  5.1,⑦⑧⑥, 3,16,Ｇクロムレック, 71,デムｰ, 0.7, 73,   9,   4, 6, 15.8, ⑦⑦
 4, 8,Ｅレガリアシチｰ, 56,浜中俊, 0.9, 56,  -4,  -4, 7, 22.5, ⑨⑨, 4, 4,Ｂシゲルオヒツジザ, 63,蛯名正, 0.6, 61,   9, -17, 3,  3.7,⑩⑩⑤, 4, 1,Ｈミッキｰクリスエス, 72,高倉稜, 0.8, 73,   6,   4, 5, 16.8,④④③, 4, 1,Ｂレアヴェントゥｰレ, 80,浜中俊, 0.9, 72,* 13,  -3, 2,  3.8, ②②
 5, 6,Ｃサカジロリュウオｰ, 62,国分恭, 1.2, 54,  -3,  -8, 3,  9.5, ⑧⑦, 5,14,Ｊケンブリッジアｰサ, 51,北村友, 0.9, 60,   5, -11,10, 53.1,⑭⑭⑬, 5, 8,Ｉボストンリョウマ, 72,岩崎翼, 1.1, 72,*  7,   0, 8, 63.5,②③⑤, 5,13,Ｃルミナスウイング, 75,岩田康, 1.0, 71,  11,   0, 3,  6.5, ⑤④
 6,16, メイショウフウタ,---,太宰啓, 1.4, 54,  -3,  -9,12,151.2, ⑪⑧, 6, 3,Ｆトウカイルｰチェ, 57,柴山雄, 1.0, 56,* 13, -32, 7, 37.8,①①①, 6,15,Ｄスペシャルザダイヤ, 74,内田博, 1.3, 70,*  7,  -2, 3,  5.2,③②②, 6,12,Ｄレギス, 73,和田竜, 1.0, 72,   7,   5, 7, 18.6, ⑨⑩
 7, 5,Ｇシゲルタテザ, 52,国分優, 2.0, 48,  -2, -16, 8, 25.9, ⑦⑥, 7, 7,Ｌニホンピロホウオｰ, 42,酒井学, 1.1, 60,   8, -19,13,208.9,⑬⑫⑩, 7, 9,Ｂツヨシノブルｰム, 75,竹之下, 1.8, 68,   5,  -1,12, 94.3,⑪⑨⑨, 7, 2,Ｎドコフクカゼ, 66,竹之下, 1.0, 70,   5,   7,13,109.0, ⑭⑬
 8, 7,Ｈニシオキボオト, 51,佐久間, 2.1, 48,*  0, -18,11, 70.1, ③②, 8, 9,Ｅトウカイプリｰズ, 57,幸英明, 1.3, 56,   9, -27, 6, 16.7,⑨⑦⑥, 8,10,Ｊヤマニンメダイユ, 71,北村友, 2.0, 67,   2,   2, 7, 62.4,⑬⑫⑫, 8,15,Ｉシゲルオウシザ, 70,国分優, 1.1, 69,   4,   7,12, 80.7, ⑮⑭
 9,12,Ｋスマｰトウインザｰ, 45,デムｰ, 2.1, 46,  -5, -14, 5, 18.5, ⑩⑫, 9, 1,Ｄサマｰキララ, 58,北村宏, 1.6, 52,  11, -33, 9, 50.7,④⑤④, 9, 4,Ｆマイネルボンド, 73,柴山雄, 2.1, 64,   5,  -6,10, 77.0,⑧⑦⑧, 9,11,Ｅピエナトップガン, 73,小牧太, 1.2, 68,   3,*  9, 5, 11.0, ⑯⑯
