13年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥尻特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄアドマイヤゼファｰ, 58,丸山元,, 66,*  1,*  3, 2,  4.4,⑪②②, 1, 1,Ａウォｰタｰポルトス, 69,柴山雄,, 58,*  1,   3, 2,  4.1,①②②, 1, 3,Ｇリベルタドｰレス, 64,田中勝,, 73,*  5,   6, 4,  8.3, ①①, 1, 7,Ａディサイファ, 79,四位洋,, 78,   1,* 19, 1,  1.8,⑦⑥③
 2, 7,Ｂトゥザレジェンド, 63,川須栄, 0.7, 61,  -3,*  2, 1,  1.9,⑨⑦⑤, 2, 6,Ｄメイショウエジソン, 63,城戸義, 0.1, 59,  -1,*  5, 7, 18.3,⑨⑥④, 2, 6,Ａマスタｰエクレｰル, 74,木幡初, 0.3, 70,*  2,   5, 2,  3.7, ②②, 2, 6,Ｉディｰエスタイド, 62,勝浦正, 0.4, 72,*  2,   9, 2,  6.0,②②②
 3, 2,Ｉシャトルダンサｰ, 53,木幡初, 0.9, 60,*  0,  -4, 4, 10.2,①①①, 3, 9,Ｇメイショウバッカス, 53,四位洋, 0.7, 56,   0,  -1, 1,  2.8,⑥④③, 3, 2,Ｄトウカイチャｰム, 69,藤田伸, 0.5, 69,  -9,* 11, 1,  2.4, ⑧⑨, 3,10,Ｃマルカファイン, 72,松田大, 0.6, 68,*  3,   5, 4,  7.8,①①①
 4, 4,Ｆブロンドヒロイン, 53,津村明, 1.4, 56,* -1,  -7, 5, 16.3,⑦③③, 4, 8,Ｆテイエムクロジシ, 53,古川吉, 0.7, 57,  -2,   4, 8, 49.8,⑦⑨⑩, 4,11,Ｅナイスゴｰルド, 67,勝浦正, 0.7, 66,  -1,   5, 5, 10.3, ⑤⑤, 4, 5,Ｆピタゴラスコンマ, 69,大野拓, 0.7, 69,  -2,  13, 6, 14.3,⑧⑧⑦
 5, 6,Ａヤマニンサッチェル, 65,城戸義, 1.6, 55,  -4,  -2, 8, 26.3,⑧⑨⑨, 5, 3,Ｃスリｰヨｰク, 64,三浦皇, 0.9, 54,  -3,   3, 3,  4.4,⑧⑩⑨, 5, 4,Ｃフリップフロップ, 69,秋山真, 0.8, 64,  -1,   3, 3,  6.4, ③③, 5, 9,Ｅヴィジャイ, 69,吉田隼, 0.8, 67,   1,   7, 7, 16.9,⑥④⑥
 6,11,Ｃルミアｰジュ, 62,松田大, 2.0, 51,  -2, -10, 3,  7.7,④④④, 6, 7,Ｊデスティニｰシチｰ, 48,菱田裕, 1.0, 53,*  1,  -6, 6, 16.9,③①①, 6,12,Ｂマウントフジ, 69,丸田恭, 0.8, 64,  -6,   7, 6, 12.3, ⑦⑦, 6, 3,Ｂタツストロング, 76,秋山真, 0.9, 66,   1,   5, 3,  6.2,③③⑤
 7,10,Ｌサｰストンララア, 48,黛弘人, 2.3, 47,  -4,  -7,13,254.2,⑬⑪⑩, 7,10,Ｅクリノコトノオｰ, 56,丸田恭, 1.4, 48,  -2,  -3, 5, 13.1,⑩⑧⑧, 7, 7,Ｉサンマルグロワｰル, 63,大野拓, 1.0, 62,  -7,   4,11,142.0, ⑥⑥, 7, 4,Ｊオリバｰバロｰズ, 56,西田雄, 1.2, 63,  -1,   5, 8, 87.3,⑤⑦⑧
 8, 8,Ｈディアリヴァル, 53,菱田裕, 2.7, 48,  -2, -16,11, 66.2,⑫⑤⑥, 8,11,Ｋコウユｰキカンタロ, 40,小林徹, 1.7, 49,  -5,  -1,11,273.5,⑪⑪⑪, 8, 9,Ｊテイエムチャンス, 62,松田大, 1.2, 61,  -1,  -1, 9, 79.3, ④④, 8, 8,Ｇレッドヴィｰヴォ, 67,三浦皇, 1.6, 60,   1,  -5, 5, 11.9,④⑤④
 9, 9,Ｅウイッチワンド, 56,丹内祐, 3.3, 45,  -3, -18, 9, 31.2,③⑧⑧, 9, 4,Ｂニホンピロホウオｰ, 68,村田一, 2.0, 46,   0, -11, 4,  5.6,④⑤⑥, 9, 1,Ｆオオミカミ, 66,三浦皇, 1.3, 58, -12,   5, 7, 22.4, ⑩⑧,,,,,,,,,,,,
10,12,Ｇプレシャスデイズ, 53,三浦皇, 3.6, 41,  -2, -22,10, 58.9,②⑥⑦,10, 5,Ｉメイショウオニグマ, 48,荻野琢, 2.0, 45,  -2,  -8, 9, 63.2,⑤⑦⑦,10, 5,Ｈチェリｰビスティｰ, 63,川須栄, 1.5, 57, -10,   3, 8, 31.9, ⑨⑩,,,,,,,,,,,,
11, 3,Ｍタガノゴッデス, 46,大野拓, 4.6, 35,  -4, -27,12, 89.4,⑤⑩⑪,11, 2,Ｈデルマベム, 52,伴啓太, 2.8, 39,  -1, -19,10, 80.2,②③⑤,11,10,Ｋアリエルシチｰ, 57,城戸義, 1.7, 54, -12,   2,12,142.5, ⑪⑪,,,,,,,,,,,,
12,13,Ｊミラクルセレｰネ, 52,秋山真, 5.1, 31,  -9, -22, 7, 24.5,⑩⑬⑬,,,,,,,,,,,,,12, 8,Ｌメイショウオトコギ, 49,菱田裕, 2.0, 52, -17,   3,10,102.6, ⑫⑫,,,,,,,,,,,,
13, 1,Ｋジュｰヌフルｰル, 52,荻野琢, 5.6, 27,  -7, -33, 6, 20.2,⑥⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-6),,,,,,,,,,,
単勝:440円 複勝:05=140円 07=120円 02=220円 枠連:350円,,,,,,,,,,,,"単勝:410円 複勝:01=150円 06=310円 09=150円 枠連:1,790円",,,,,,,,,,,,"単勝:830円 複勝:03=200円 06=150円 02=120円 枠連:1,660円",,,,,,,,,,,,単勝:180円 複勝:07=110円 06=220円 10=160円 枠連:620円,,,,,,,,,,,
馬連:430円 ワイド:05-07=210円 02-05=570円 02-07=430円,,,,,,,,,,,,"馬連:2,730円 ワイド:01-06=720円 01-09=310円 06-09=750円",,,,,,,,,,,,"馬連:1,400円 ワイド:03-06=450円 02-03=370円 02-06=210円",,,,,,,,,,,,馬連:660円 ワイド:06-07=320円 07-10=280円 06-10=860円,,,,,,,,,,,
"馬単:1,030円 3連複:1,330円 3連単:6,710円",,,,,,,,,,,,"馬単:5,130円 3連複:3,830円 3連単:24,280円",,,,,,,,,,,,"馬単:3,250円 3連複:1,110円 3連単:9,950円",,,,,,,,,,,,"馬単:1,070円 3連複:1,460円 3連単:5,470円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,大沼ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂラフジェントリｰ, 62,三浦皇,, 60,*  1,*  9, 1,  1.6, ②②, 1, 3, ファイトバック,---,川須栄,, 41, -39,   7, 1,  2.3, ④⑤, 1,13,Ｍグランプリダッシュ, 63,田中勝,, 71,*  9,   0,10, 61.5,②②②, 1, 6,Ｆマカニビスティｰ, 88,川島信,, 88,*  7,* 20, 8, 43.9,⑬⑤④
