13年 4月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯盛山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃヴェンセｰル, 63,江田照,, 65,*  5,*  4, 2,  3.1, ②②, 1,12,Ｂタイセイゼニス, 59,吉田隼,, 50,*  6, -11, 2,  4.9, ②②, 1, 5,Ｈワイルドジョイ, 62,長岡禎,, 72,*  2,*  9,14,121.2, ③②, 1,12,Ｃロｰレルソラン, 77,吉田隼,, 68,* -2,   3, 6, 15.5,①①①
 2, 9,Ｆプリマチュチュ, 55,荻野琢, 0.6, 59,*  5,  -2, 7, 41.4, ①①, 2,13,Ｄミニ, 52,高倉稜, 0.0, 50,*  5,*-10, 1,  4.6, ③⑤, 2,11,Ｌオウケンハナミズキ, 58,松田大, 0.2, 71,*  5,   4,10, 34.9, ①①, 2,11,Ｆシュピッツェ, 72,勝浦正, 0.1, 74,  -9,* 15, 4,  7.9,⑩⑪⑦
 3,12,Ａメイショウラムダ, 67,中舘英, 0.7, 57,   0,   0, 1,  2.8, ④③, 3, 2,Ｇホｰクインザブルｰ, 47,嶋田純, 0.1, 48,*  6, -13, 3,  5.6, ①①, 3,13,Ｍアドマイヤシャドウ, 56,高倉稜, 0.3, 68,*  3,   4, 3,  6.1, ②③, 3, 9,Ｅマイネルナタリス, 73,柴田大, 0.3, 72,  -7,* 11, 7, 16.8,⑧⑧⑥
 4, 1,Ｇイサミノキセキ, 48,中井裕, 0.9, 57,   0,  -1, 6, 21.2, ③④, 4, 1,Ｌロマネクイｰン, 32,黛弘人, 0.3, 44,   2, -11,14, 95.0, ⑤③, 4,10,Ａダイワミストレス, 73,吉田隼, 0.3, 67,  -2,*  9, 1,  2.0, ⑧⑦, 4,10,Ｄサトノプレジデント, 76,古川吉, 0.3, 68,  -5,   5, 2,  3.5,④④③
 5, 6,Ｂトドロック, 66,黛弘人, 0.9, 52, -10,*  5, 3,  4.0, ⑧⑥, 5, 3,Ｃサザンドリｰム, 53,横山和, 0.3, 42,  -2,* -8, 7, 13.7, ⑩⑦, 5, 3,Ｃイッセキニチョウ, 66,勝浦正, 0.4, 67,  -2,   8, 5, 14.4, ⑦⑥, 5, 8,Ｋスｰパｰボルト, 52,嶋田純, 0.8, 64,  -9,   5,10, 97.7,⑪⑩⑩
 6, 7,Ｈグロスヴァｰグ, 45,横山和, 1.5, 51,  -4,  -4, 8, 56.6, ⑤⑤, 6, 9,Ｆクリノエルブルｰス, 50,宮崎北, 0.5, 41,   0, -11, 6,  8.0, ⑧⑧, 6, 9,Ｆマックスストレイン, 64,木幡初, 0.5, 66,  -1,   5, 8, 24.7, ⑤④, 6, 1,Ｂエｰブフウジン, 79,中舘英, 0.9, 62,  -7,   1, 3,  5.2,⑤⑤⑧
 7, 5,Ｅカネトシエフォｰト, 61,長岡禎, 1.5, 48,  -9,  -1, 4, 10.5, ⑥⑧, 7,14,Ｊアドマイヤノブナガ, 40,中井裕, 0.5, 41,   2, -14,11, 48.2, ⑦⑨, 7, 4,Ｄカノヤミノリ, 65,古川吉, 0.6, 65,  -4,   8, 4, 12.5, ⑨⑧, 7, 2,Ｈキタサンパイロット, 66,藤岡康, 0.9, 65, -10,   8, 9, 21.1,⑫⑫⑫
 8, 4,Ｊエヴォトウショウ, 28,古川吉, 1.8, 46,  -9,  -3, 9, 69.5, ⑦⑦, 8,15,Ａワイメアウェｰブ, 59,松山弘, 0.6, 41,*  5, -18, 4,  6.6, ④⑥, 8, 1,Ｇアスタｰウィング, 64,丸田恭, 0.9, 60, -15,* 14,12, 44.8, ⑮⑫, 8, 7,Ｉクリノメダリスト, 63,宮崎北, 0.9, 64,  -8,   4, 8, 19.7,⑨⑨⑪
