13年 9月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆトゥインクリング, 51,北村宏,, 58,*  6,*-11, 3,  6.8,⑩⑥②, 1, 5, オンワｰドシェルタ,,山本康,,,,, 9, 47.0,①①①, 1,13,Ｈダノンアイガｰ, 67,柴山雄,, 74,   8,   1, 2,  8.7,⑥④②, 1,12,Ｂタマブラックホｰル, 78,石橋脩,, 78,  -2,* 16, 1,  2.3, ⑬⑫
 2,12,Ｌヒムカ, 34,大野拓, 0.0, 60,   4,* -9,10, 49.9,⑧⑧④, 2,12, エアペイシェンス,,高田潤,214.4,,,, 1,  1.9,④②②, 2, 4,Ｋバイタルフォルム, 66,勝浦正, 0.0, 73,* 10,  -2,10, 41.4,②①①, 2, 5,Ｃジェイケイホｰム, 76,江田照, 0.2, 76,*  9,   4, 5,  9.2, ③③
 3, 3,Ａダノンミシガン, 66,三浦皇, 0.2, 59,   4,* -9, 1,  4.3,⑭⑪⑧, 3, 1, ボストンプラチナ,,江田勇,214.8,,,, 8, 30.4,⑥④③, 3,15,Ｂトウショウカムイ, 74,石橋脩, 0.6, 70,* 10,  -6, 5, 11.8,③③③, 3,10,Ｇクレバｰアポロ, 74,田辺裕, 0.2, 75,   4,   9,11, 64.4, ⑨⑧
 4,14,Ｎラクｰドｰル,  8,丸山元, 0.3, 57,*  6, -13,12,118.6,⑪⑦③, 4,14, ゴｰルデンガッツ,,中村将,215.6,,,, 4, 11.7,⑪⑨⑥, 4, 2,Ａエルヘイロｰ, 75,三浦皇, 0.6, 72,   3,*  7, 8, 16.9,⑫⑪⑪, 4, 3,Ａカリスマサンスカイ, 82,高倉稜, 0.3, 74,  -2,* 13, 2,  5.6, ⑫⑬
 5,10,Ｂライトオブホｰプ, 59,柴山雄, 1.0, 53,*  7, -21, 4,  7.0,②②①, 5, 2, トウシンボルト,,平沢健,215.9,,,, 2,  5.3,⑧⑪⑨, 5, 1,Ｅオリオンザムｰン, 71,田辺裕, 0.6, 71,   1,* 10, 3,  9.4,⑭⑬⑬, 5,11,Ｈフォルテリコルド, 74,武士沢, 0.4, 75,   2,   9, 4,  8.2, ⑩⑪
 6, 1,Ｄルヴェソンヴェｰル, 56,内田博, 1.0, 53,   4, -16, 5,  7.9,⑫⑩⑦, 6, 7, シンボリルルド,,原田和,216.0,,,,12,142.5,⑩⑬⑫, 6, 8,Ｊジュルヴォアソング, 66,田中勝, 1.0, 67,   4,   1, 7, 16.1,⑨⑨⑦, 6, 2,Ｊシャイニイチカ, 71,伴啓太, 0.7, 72,   1,   7,13,243.5, ⑪⑩
 7, 2,Ｊキンショｰウズシオ, 45,江田照, 1.2, 52,   4, -18, 6,  9.1,⑦⑨⑨, 7,10, サンレイランキング,,難波剛,216.2,,,,13,162.9,⑬⑫⑪, 7,10,Ｇロゼオ, 68,長岡禎, 1.5, 67,  -4,* 12,14,248.8,⑮⑮⑭, 7, 1,Ｅエリモフェザｰ, 74,黛弘人, 0.8, 71,   6,   2, 8, 18.5, ⑦⑥
 8, 7,Ｍイタリアンフェッテ, 33,丸田恭, 1.6, 50,   2, -15,11, 72.7,⑯⑯⑬, 8,13, トｰセンマグナム,,五十嵐,216.3,,,, 3,  5.7,②③④, 8,12,Ｄファイブタブレット, 72,戸崎圭, 1.6, 63,*  9, -13, 1,  1.7,④⑤④, 8, 8,Ｋウインプロスパｰ, 71,三浦皇, 1.0, 69,   7,  -2, 6, 13.3, ④④
