13年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,愛宕特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄアｰネストミノル, 50,北村友,, 59,  -2,*  2, 4, 14.3, ④④, 1, 8, ダノンマッキンレｰ,---,福永祐,, 46, -46,* 20, 4,  9.0, ⑤⑤, 1, 2,Ａマラネロ, 76,川田将,, 74,* -2,* 11, 1,  1.3, ①①, 1, 2,Ｄブライトアイディア, 82,藤岡康,, 86,*  9,* 16, 3,  6.1,②②②
 2,14,Ａグラナディラ, 60,幸英明, 0.3, 56,* -1,  -3, 1,  1.6, ②②, 2, 2, アルテ,---,松田大, 0.0, 43, -46,* 18, 3,  4.0, ③④, 2, 9,Ｂロｰレルボルケｰノ, 70,秋山真, 0.0, 74,  -4,* 13, 2,  7.6, ⑤④, 2,10,Ｃノボリドリｰム, 83,高倉稜, 0.4, 83,* 10,  11, 8, 12.1,①①①
 3, 9,Ｆカシノボルト, 47,酒井学, 0.5, 54,  -5,  -1, 5, 27.5, ⑤⑤, 3, 7, メイショウビザン,---,岩田康, 0.0, 44, -44,  17, 6, 12.8, ④③, 3,10,Ｆバルタザｰル, 65,浜中俊, 1.1, 64,  -4,   3, 3, 12.6, ④⑤, 3,13,Ｆイッシンドウタイ, 81,武豊  , 0.7, 84,   8,* 12, 7, 10.2,⑥⑤⑥
 4, 2,Ｃハニｰドント, 55,国分恭, 0.6, 53,*  1,  -7, 6, 29.1, ①①, 4,10, ミサキジュエル,---,浜中俊, 0.4, 37,*-43,  10, 2,  3.5, ②②, 4,12,Ｄマッキンリｰ, 67,太宰啓, 1.1, 65,  -6,   5, 4, 18.7, ⑥⑦, 4,12,Ｇメイショウコンカｰ, 81,岩田康, 0.9, 82,*  9,  10, 1,  3.2,⑤④③
 5, 3,Ｅドナプロミス, 48,岩崎翼, 0.8, 51,  -3,  -5,12,135.7, ③③, 5, 3, コスモグラフィティ,---,和田竜, 0.6, 33,*-43,   5, 1,  2.8, ①①, 5, 7,Ｇテイエムキュウベエ, 64,和田竜, 1.2, 64,  -5,   4, 9, 60.3, ⑦⑥, 5, 3,Ｅエイコｰンパス, 82,川田将, 0.9, 81,   8,  10, 6, 10.0,③③④
 6, 1,Ｂヤマノハヤブサ, 58,四位洋, 0.8, 52, -10,*  2, 2,  3.6, ⑩⑦, 6, 6, クリノフクロクジュ,---,藤懸貴, 0.7, 37, -50,  15, 9, 66.3, ⑨⑧, 6, 1,Ｅデンコウリョウ, 65,岡田祥, 1.2, 64,  -9,   7,10, 75.8, ⑪⑩, 6, 9,Ｂキングブレイク, 85,川須栄, 1.1, 80,   8,   9, 4,  7.8,⑦⑦⑦
 7, 4,Ｇロｰゼルキュｰト, 47,藤岡康, 0.8, 52,  -6,  -2, 9, 59.0, ⑥⑥, 7, 4, ミンディ,---,北村友, 0.7, 38, -50,  15, 5, 10.7, ⑧⑨, 7,11,Ｃシンボリエクレｰル, 68,川島信, 1.3, 62,  -6,   3, 5, 20.7, ⑧⑧, 7, 5,Ｈマイネルクロップ, 79,和田竜, 1.2, 79,   8,   7, 2,  6.0,④⑥⑤
 8,13,Ｈシゲルトカチ, 44,城戸義, 1.2, 47, -15,*  3,11, 76.8, ⑬⑬, 8, 1, カゼヲアツメテ,---,酒井学, 0.7, 37, -47,  11, 8, 50.6, ⑥⑦, 8, 5,Ｌプラネットスコア, 48,藤田伸, 1.3, 63,* -3,   0, 6, 27.4, ②②, 8, 1,Ｉピンウィｰル, 78,浜中俊, 1.4, 77,   7,   8,10, 25.0,⑨⑨⑨
