13年 6月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 7,14,Ｊエｰシンヘディング, 55,小牧太, 1.6, 59,* -2,  -2,13,117.9,⑥③③,,,,,,,,,,,,, 7,15,Ｋドリｰムチャｰジ, 70,デムｰ, 1.5, 71,   5,   6,14, 92.3,⑭⑬⑫, 7, 6,Ｈナリタクリスタル, 85,幸英明, 0.5, 88,  10,   9,14,123.2,⑦⑪⑨
 8, 1,Ｈアスカノトゥｰレ, 58,熊沢重, 2.5, 57,  -4,  -6,14,150.7,⑤⑦⑧,,,,,,,,,,,,, 8, 5,Ｃアクシｰバンダム, 79,松山弘, 1.7, 71,   3,   9, 4,  7.6,⑯⑮⑮, 8,12,Ｍメイショウウズシオ, 78,四位洋, 0.5, 85,  10,   8, 8, 45.1,⑧⑧⑧
 9,11,Ｍアクレイムド, 42,デムｰ, 2.5, 53,  -5,  -5, 9, 27.5,⑦⑧⑩,,,,,,,,,,,,, 9, 1,Ｇセトブリッジ, 74,岩田康, 1.7, 68,*  8,  -3, 5,  8.5,③③③, 9,11,Ｅトランスワｰプ, 87,大野拓, 0.5, 86,   9,  12, 5,  8.7,⑫⑬⑫
10, 5,Ｌデンコウシラヌイ, 50,太宰啓, 2.6, 56,  -6,  -2,15,304.9,⑬⑬⑪,,,,,,,,,,,,,10, 4,Ｉタイソンバロｰズ, 72,小牧太, 1.8, 68,   6,   2, 9, 22.7,⑩⑪⑨,10,15,Ｂダイワファルコン, 90,北村宏, 0.7, 81,  11,   0, 2,  4.1,⑪④④
11, 8,Ｃエアｰウェｰブ, 66,国分恭, 2.6, 53,  -8,   0, 7, 18.5,⑩⑭⑮,,,,,,,,,,,,,11,14,Ｆタマノペルセウス, 74,太宰啓, 2.5, 66,   6,  -4, 3,  6.2,⑫⑩⑧,11, 3,Ｏトップゾｰン, 76,北村友, 1.0, 82,   6,   9,13,105.8,⑭⑯⑮
12,10,Ｇオｰスミアイビス, 58,和田竜, 2.7, 54,  -7,  -4, 8, 22.7,⑪⑪⑫,,,,,,,,,,,,,12, 8,Ｍシュガｰシャック, 68,松田大, 2.6, 61,   7,  -9,12, 50.5,④④⑦,12, 1,Ｎモズ, 76,国分恭, 1.2, 76,* 13,  -8,11, 58.8,①②②
13,16, オｰプンディｰル,---,岩田康, 4.1, 42,  -4, -21,10, 44.7,⑧⑥⑦,,,,,,,,,,,,,13,11,Ｌウォｰタｰデュｰク, 68,大野拓, 2.7, 65,   3,   3,15,159.2,⑮⑯⑯,13, 2,Ｐビッグウィｰク, 73,秋山真, 1.3, 77,  12,  -6,15,142.2,③⑤⑤
14,15,Ｎルｰベル, 41,菱田裕, 4.8, 39,  -7, -22,16,595.3,⑯⑫⑬,,,,,,,,,,,,,14,16,Ｊロｰレルベロボｰグ, 72,菱田裕, 2.9, 62,   6,  -9, 8, 19.8,⑤⑥⑩,14, 5,Ｉロｰドオブザリング, 82,川田将, 1.8, 72,  10, -11,10, 58.2,⑯⑥⑪
15, 9,Ｏスマｰトホルス, 37,岩崎翼, 5.5, 34, -10, -21,11, 51.6,⑭⑯⑯,,,,,,,,,,,,,15, 7,Ｏウェｰブオｰキッド, 67,藤岡康, 3.1, 60,   5,  -7,13, 91.4,⑪⑫⑬,15, 8,Ｋコスモファントム, 80,和田竜, 2.0, 69,  11, -17, 9, 49.1,⑥⑦⑦
16,13,Ｋインペリウム, 53,藤岡康, 5.8, 31,  -4, -35,12, 60.5,④⑤⑨,,,,,,,,,,,,,16,13,Ｐコｰダリｰ, 57,川須栄, 4.2, 55,   7, -19,16,197.4,⑧⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,070円 複勝:03=220円 07=110円 02=200円 枠連:460円",,,,,,,,,,,,単勝:440円 複勝:04=220円 02=200円 枠連:0円,,,,,,,,,,,,"単勝:1,060円 複勝:10=300円 12=170円 03=940円 枠連:1,340円",,,,,,,,,,,,"単勝:1,160円 複勝:10=400円 09=780円 07=200円 枠連:16,060円",,,,,,,,,,,
馬連:840円 ワイド:03-07=390円 02-03=780円 02-07=350円,,,,,,,,,,,,馬連:790円 ワイド:02-04=270円 03-04=590円 02-03=560円,,,,,,,,,,,,"馬連:1,900円 ワイド:10-12=640円 03-10=3,590円 03-12=1,690円",,,,,,,,,,,,"馬連:17,070円 ワイド:09-10=4,250円 07-10=940円 07-09=1,710円",,,,,,,,,,,
"馬単:2,680円 3連複:1,950円 3連単:14,450円",,,,,,,,,,,,"馬単:1,820円 3連複:1,730円 3連単:9,310円",,,,,,,,,,,,"馬単:4,860円 3連複:17,110円 3連単:90,260円",,,,,,,,,,,,"馬単:29,790円 3連複:21,780円 3連単:199,150円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,戎橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｈフィオリｰト, 52,北村宏,, 53,  -4,  -4, 8, 43.6, ⑥⑤, 1, 3,Ａヤマイチパｰトナｰ, 73,武豊  ,, 73,   7,*  8, 2,  3.6,⑨⑧⑧, 1, 7,Ａアグネスマチュア, 69,藤田伸,, 70,  -1,   0, 1,  2.9, ⑤⑤, 1, 4,Ａタガノジョイナｰ, 77,岩田康,, 70,  -3,* 13, 1,  2.2, ⑬⑬
 2,14,Ｂトウカイビジョン, 61,川田将, 0.0, 54,  -7,* -1, 1,  2.1, ⑩⑩, 2,13,Ｂサンライズウェイ, 71,岩田康, 0.0, 74,   8,*  4, 1,  1.6,⑦⑥⑥, 2, 9,Ｆジョｰアカリン, 67,福永祐, 0.0, 72,  -7,*  7, 7, 16.4, ⑫⑪, 2, 7,Ｈサイズミックレディ, 70,四位洋, 0.1, 69,*  6,   0, 9, 38.8, ①①
 3,13,Ａエｰシンザピｰク, 64,ウィリ, 0.1, 55,  -5,  -4, 2,  4.1, ⑦⑥, 3, 1,Ｄチェイスザゴｰルド, 60,松山弘, 0.3, 67,   7,*  3, 3,  9.5,⑤⑦⑦, 3,15,Ｃサンキストロｰド, 68,藤岡康, 0.0, 70,  -4,   3, 2,  5.6, ⑪⑧, 3,10,Ｍアップアンカｰ, 64,岡田祥, 0.2, 67,   2,   4,15,336.1, ⑤⑤
 4, 5,Ｍヴィトレスク, 40,菱田裕, 0.1, 55,  -8,*  2, 9, 81.3, ⑫⑪, 4,12,Ｇプライドキッズ, 56,池添謙, 0.5, 66,*  9,  -9, 7, 46.2,①①①, 4, 8,Ｉカノヤミノリ, 64,和田竜, 0.0, 70,   1,  -1,12, 34.6, ④④, 4,12,Ｊサトノアビリティ, 66,デムｰ, 0.4, 66,   0,   4, 2,  4.2, ⑨⑦
 5, 3,Ｄバイオレットアロｰ, 57,国分優, 0.2, 53,* -2,  -8, 4,  8.6, ②②, 5,10,Ｅモズダイコ, 58,ウィリ, 0.7, 63,   8,  -6, 5, 16.6,⑥⑤⑤, 5, 2,Ｎヒｰラ, 62,小林徹, 0.1, 72, -11,* 10,16,130.5, ⑯⑯, 5, 1,Ｅアドマイヤシェル, 71,小牧太, 0.4, 67,  -6,* 13, 5, 14.9, ⑮⑮
 6, 6,Ｆハギノエルドラド, 55,岩田康, 0.2, 53,  -3,  -5, 6, 22.4, ⑤④, 6, 7,Ｊモモイロアゲハ, 46,北村宏, 1.4, 58,   5,  -9, 8, 48.8,⑪⑩⑨, 6, 4,Ｏドラゴンサクラ, 61,北村宏, 0.1, 69,  -5,   3, 3,  6.2, ⑨⑩, 6,11,Ｄハッピｰストｰリｰ, 74,藤岡康, 0.4, 65,*  4,   0,12, 51.3, ③③
 7, 4,Ｊオンワｰドマイケル, 48,熊沢重, 0.2, 57, -10,*  3,15,446.5, ⑬⑬, 7, 8,Ｃトウカイルｰチェ, 64,北村友, 1.5, 57,*  9, -20, 4, 15.4,④③③, 7,13,Ｄシゲルオレンジ, 68,酒井学, 0.3, 66,*  6, -10, 4,  8.4, ①①, 7, 3,Ｂメイショウオオカゼ, 75,池添謙, 0.5, 65,  -1,   5, 3,  7.4, ⑩⑩
 8,11,Ｌシゲルカメレオンザ, 42,川須栄, 0.5, 50,* -3, -10,13,297.7, ④③, 8, 2,Ｈマノアラニ, 53,太宰啓, 2.1, 52,   8, -27, 9, 79.2,③④④, 8, 1,Ｇマルシゲサムライ, 66,水口優, 0.3, 66,  -3,  -1,14, 92.6, ⑦⑦, 8, 8,Ｉエｰシンクルゼ, 69,和田竜, 0.5, 66,   3,   0, 6, 15.6, ④④
 9, 7,Ｇペプチドマンボウ, 55,和田竜, 0.7, 49,  -6,  -8, 5, 17.5, ⑨⑦, 9, 4,Ｉサトノトレジャｰ, 52,和田竜, 2.3, 52,   6, -20, 6, 38.3,⑧⑨⑩, 9, 6,Ｂノアノア, 69,中井裕, 0.5, 63,  -5,  -2, 8, 19.3, ⑩⑫, 9,14,Ｌメイショウムロト, 65,福永祐, 0.6, 65,   0,   4,10, 43.7, ⑧⑨
10,12,Ｅシゲルスコピウス, 57,城戸義, 0.7, 47,  -6,  -9, 7, 27.5, ⑧⑨,10,11,Ｆカネトシアクション, 57,中井裕, 2.7, 48,   4, -21,11,169.2,⑫⑫⑪,10, 3,Ｈカシノエルフ, 65,国分優, 0.5, 64,  -5,  -2,10, 25.1, ⑧⑨,10, 5,Ｋスマｰトマｰズ, 66,北村友, 0.6, 66,  -5,  10,14,288.0, ⑭⑭
11,15,Ｋワンダｰパラジｰノ, 44,岩崎翼, 0.9, 47, -13,* -1,16,722.6, ⑮⑮,11, 9,Ｌテイエムパラディｰ, 33,城戸義, 2.8, 46,   0, -15,14,590.4,⑭⑭⑭,11,11,Ｊサンライズサルｰテ, 64,川田将, 0.6, 62,  -2,  -6,11, 30.8, ⑥⑥,11, 9,Ｃゴｰルデンオブジェ, 74,国分優, 0.8, 63,*  5,  -4, 7, 18.8, ②②
12,16,Ｎダンツクレイン, 37,松山弘, 1.1, 46, -11,  -4,12,126.0, ⑭⑭,12, 5, ドミニクバロｰズ,---,浜中俊, 2.8, 46,* 10, -39,10, 84.0,②②②,12,14,Ｋビｰマイラブ, 64,古川吉, 0.6, 61,*  3, -12, 5, 12.1, ③②,12,15,Ｇアルカナ, 70,高倉稜, 1.0, 62,  -9,* 12,11, 48.9, ⑯⑯
13, 2,Ｃサトノエクセル, 58,デムｰ, 1.1, 44,* -2, -16, 3,  4.7, ①①,13, 6,Ｍメイショウヒエイ, 31,岩崎翼, 3.7, 40,   1, -30,12,287.9,⑬⑬⑬,13, 5,Ｌカルナヴァレ, 63,太宰啓, 0.8, 59,*  2, -13,15,117.0, ②③,13,16,Ｆキョウワリベラル, 71,武豊  , 1.1, 61,  -1,   1, 4,  9.6, ⑫⑫
14, 1,Ｉタガノシェルム, 50,水口優, 1.8, 40,  -8, -14,11,118.2, ⑪⑫,14,14,Ｋナムラサムライ, 41,原田敬, 3.8, 40,   2, -36,13,466.5,⑩⑪⑫,14,10,Ｐメイケイペガムｰン, 53,国分恭, 1.1, 55,  -7,  -8, 9, 22.8, ⑬⑭,14, 6,Ｎヒシアメジスト, 60,熊沢重, 1.7, 58,   2,  -7, 8, 26.8, ⑦⑧
15,10, メイショウイカルス,---,秋山真, 2.2, 35,* -3, -24,10,104.7, ③⑧,,,,,,,,,,,,,15,16,Ｅディｰプジュジュ, 67,上村洋, 1.8, 45,  -6, -18, 6, 15.8, ⑭⑬,15, 2,Ｐアクアブルｰウェイ, 52,中井裕, 1.7, 57,   2,  -7,13,273.3, ⑥⑥
