13年 9月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芦屋川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂトラストフェアリｰ, 57,中井裕,, 61,* -6,   3, 2,  4.3, ④④, 1,15,Ａワｰスムｰン, 72,中井裕,, 66,  -9,* 16, 1,  2.9,⑪⑥⑥, 1, 9,Ｂマｰベラスバロン, 77,幸英明,, 78,   4,* 16, 7, 19.4,⑨⑦⑦, 1, 9,Ｂロンド, 80,藤岡康,, 78, -20,* 23, 1,  2.7, ⑪⑪
 2, 6,Ａグラナディラ, 59,幸英明, 0.2, 57,* -5,  -1, 1,  3.2, ①①, 2,10,Ｌワンダｰフロレゾン, 39,酒井学, 0.0, 64,* -7,  15, 9,112.5,⑤③③, 2, 8,Ａセイスコｰピオン, 78,川田将, 0.0, 77,   4,* 15, 2,  5.4,⑤⑥⑤, 2, 8,Ｄヤマノレオ, 74,和田竜, 0.2, 72,* -7,   7, 8, 30.2, ②②
 3, 1,Ｃコパノハリｰ, 55,福永祐, 0.3, 56, -16,* 10, 3,  4.5, ⑪⑩, 3,12,Ｇリアンカフェ, 50,太宰啓, 0.0, 65,* -7,  13, 3,  4.2,①①①, 3,15,Ｇタガノギャラクシｰ, 72,小牧太, 0.3, 74,*  4,  10, 6, 13.2,⑥④②, 3, 7,Ｍワｰルンガ, 61,松山弘, 0.3, 71,* -7,   6, 6, 17.9, ①①
 4, 9,Ｅヒカリセット, 49,森一馬, 0.6, 53,* -6,  -4, 8, 20.1, ②②, 4, 5,Ｄビｰビｰトレイタｰ, 60,幸英明, 0.1, 65,  -9,* 18, 6,  9.9,⑭⑫⑦, 4,14,Ｋゴｰイングベル, 69,岩崎翼, 0.6, 72,   3,  11,14,155.7,⑧⑨⑧, 4, 6,Ｆルナフォンタｰナ, 72,幸英明, 0.3, 74, -16,  15, 2,  3.3, ⑩⑦
 5,14,Ｉオｰトロンシャン, 47,池添謙, 0.7, 52, -13,   3,10, 39.9, ⑧⑥, 5,14,Ｃアルテミスハｰト, 62,岩田康, 0.2, 61,* -8,  13, 2,  3.9,⑦⑤④, 5,10,Ｃマッシヴプリンス, 77,藤田伸, 0.7, 72,*  5,   5, 1,  2.0,①①①, 5, 5,Ｈカシノランナウェイ, 70,国分優, 0.4, 73, -17,  15, 9, 36.3, ⑨⑩
 6, 5,Ｎハニｰドント, 33,酒井学, 1.0, 50,* -7,  -5,14, 78.7, ③③, 6,11,Ｋテイエムパラディｰ, 40,国分恭, 0.9, 58, -11,  15,14,358.9,⑯⑬⑪, 6, 3,Ｉヒドゥンブレイド, 70,福永祐, 0.8, 71,   2,  11, 5, 12.2,⑩⑩⑪, 6, 4,Ａワキノブレイブ, 81,四位洋, 0.4, 70, -12,  10, 3,  4.8, ⑤⑤
 7,15,Ｆミスズモンブラン, 49,菱田裕, 1.3, 46, -14,  -2,11, 58.2, ⑦⑧, 7, 2,Ｅカｰヴィシャス, 60,武豊  , 1.0, 58,* -7,   7, 4,  8.2,②④⑤, 7,13,Ｆトゥルｰフレンド, 73,国分恭, 0.8, 71,   2,  11, 8, 34.0,⑫⑪⑨, 7, 2,Ｉサトノプレシャス, 64,岩田康, 0.4, 70,  -9,   7, 5, 17.6, ③③
 8,11,Ｌアスタｰクレバｰ, 41,古川吉, 1.3, 48, -22,*  6, 9, 29.0, ⑬⑪, 8, 8,Ｂプリンセスフロｰラ, 62,浜中俊, 1.0, 56,* -6,   6, 5,  8.5,③②②, 8, 2,Ｎヴァルティカル, 65,岩田康, 0.8, 73,   1,* 14, 4,  9.6,⑭⑬⑬, 8, 3,Ｌカゼニタツライオン, 61,小坂忠, 0.6, 68, -16,  11, 7, 26.8, ⑧⑨
