13年 7月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3380m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａデスティニｰラブ, 51,田辺裕,, 50, -11,*  6, 1,  1.6, ⑦⑥, 1, 4, カシマシンセイ,,森一馬,,,,, 4, 10.6,④③③, 1,12,Ｃサルジェンツチェリ, 64,武士沢,, 61,  -4,*  1, 4,  6.1,⑪⑥⑤, 1,11,Ｂルミナスウイング, 84,横山典,, 71,   0,* 12, 4,  5.5, ⑩⑦
 2, 4, クラウンデュナミス,---,松岡正, 0.1, 48,* -4,  -2, 2,  4.0, ②②, 2, 9, トウシンボルト,,難波剛,228.1,,,, 2,  4.4,⑨④④, 2, 3,Ｂマイネルオルカｰン, 66,柴田大, 0.1, 58,  -4,*  2, 1,  3.7,⑫⑧⑨, 2,16,Ｄアルベルティ, 81,田中勝, 0.0, 72,   2,  10, 7, 15.7, ⑦④
 3, 2,Ｂレイズアセイル, 49,江田照, 0.2, 46, -10,   2, 6, 16.5, ⑥⑦, 3, 8, ボストンプラチナ,,上野翔,229.3,,,, 8, 21.7,⑪⑩⑩, 3, 2,Ａエクセレンテ, 66,横山典, 0.7, 52,  -4,  -3, 3,  5.3,⑤⑦⑥, 3, 9,Ｉフォルテリコルド, 76,武士沢, 0.1, 72,   0,* 11, 8, 15.8, ⑪⑧
 4,11,Ｃコスモアメシスト, 48,柴田大, 0.3, 46,  -7,  -2, 3,  9.2, ⑤④, 4,14, トｰセンオｰパス,,横山義,229.4,,,, 7, 16.5,⑥⑥⑥, 4,15,Ｅアポロンバロｰズ, 59,石橋脩, 0.7, 55,  -5,  -2, 6, 14.5,⑬⑨⑫, 4, 7,Ａレギス, 84,石橋脩, 0.3, 70,  -2,* 11, 1,  4.2, ⑫⑭
 5, 1,Ｄシゲルウゼン, 40,戸崎圭, 0.6, 41, -14,   1, 7, 44.4, ⑧⑨, 5, 5, セイエイ,,高野和,229.8,,,, 6, 14.6,⑫⑨⑨, 5, 1,Ｄサｰマウント, 64,田辺裕, 0.7, 55,  -5,* -1, 2,  3.8,⑮⑫⑪, 5, 5,Ｏジェイケイホｰム, 71,江田照, 0.3, 70,  -1,  11,11, 53.3, ⑧⑤
 6, 8, クリノヨウキヒ,---,長岡禎, 0.7, 40,  -6,  -8, 8, 80.6, ③③, 6,13, ウォｰクラウン,,林満明,229.9,,,, 9, 23.0,⑦⑧⑦, 6, 7,Ｆシャインエフェクト, 56,松岡正, 1.2, 50,* -3, -11, 8, 21.1,①①①, 6,12,Ｅアキノモｰグル, 80,伊藤工, 0.3, 70,  -3,* 12, 9, 27.0, ⑬⑫
 7, 7, ガｰネットアイ,---,嘉藤貴, 1.0, 38,  -6, -10, 5, 14.1, ④⑤, 7, 2, トｰセンマグナム,,五十嵐,230.2,,,, 1,  3.1,①①①, 7,14,Ｇコミュニティ, 56,花田大, 1.2, 51,* -3, -10,14,192.0,②②②, 7, 3,Ｐアポロノカンザシ, 64,西村太, 0.4, 70,*  4,   6,13, 70.6, ③②
 8, 6,Ｅイエロｰストｰン, 37,武士沢, 1.3, 32,* -2, -20, 4, 10.9, ①①, 8, 3, リリｰスバｰジョン,,金子光,230.3,,,,13, 39.8,⑧⑦⑧, 8, 6,Ｌエｰシンハルシオン, 46,山崎亮, 1.3, 51,  -6,  -6,13,123.6,⑦⑩⑦, 8,13,Ｃルチャドルアスｰル, 82,平野優, 0.7, 67,*  6,   1, 3,  5.2, ①①
