13年 7月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不知火特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅハッシュ, 48,藤岡康,, 56,   1,  -6, 6, 23.7, ④④, 1, 4,Ａブルｰボリウッド, 68,藤懸貴,, 74,*  4,*  8, 4,  6.1,②②①, 1,11,Ｂワンダｰコロアｰル, 82,武豊  ,, 75,   5,* 11, 2,  2.6,⑬⑥④, 1, 3,Ａドリｰムトレイン, 83,幸英明,, 75,   6,* 12, 4,  5.8,⑦⑧⑧
 2, 7,Ｄシゲルカワチ, 51,川田将, 0.2, 54,*  2, -10, 2,  4.4, ③③, 2, 5,Ｄトウカイインパルス, 64,幸英明, 1.4, 64,*  3,  -3, 1,  2.4,⑦③②, 2, 6,Ｎメイショウクロシオ, 62,熊沢重, 0.6, 75,   3,* 11,14, 86.3,⑦⑬⑪, 2, 7,Ｂハｰバｰコマンド, 81,松山弘, 0.0, 73,   7,  10, 2,  4.2,⑥⑥⑥
 3, 6,Ａエイシンソルティｰ, 63,酒井学, 0.3, 51,  -2,  -7, 1,  1.9, ⑥⑤, 3, 6,Ｂコマノアｰティスト, 67,川田将, 1.6, 63,   2,  -3, 2,  3.2,⑤④④, 3, 8,Ｇトニｰポケット, 72,浜中俊, 0.9, 67,   6,   2, 3,  7.3,⑮⑤③, 3, 6,Ｃレインフォｰル, 79,武豊  , 0.1, 72,* 11,   3, 3,  4.3,①①①
 4,14,Ｂスマｰトエビデンス, 52,武豊  , 0.3, 54,*  6, -15, 3,  5.7, ①①, 4, 7,Ｃマムティ, 65,松山弘, 2.4, 57,   0,  -5, 3,  5.2,⑨⑥⑥, 4,12,Ｉサｰランスロット, 68,藤懸貴, 0.9, 67,*  7,   0,15, 97.5,②②②, 4,10,Ｍタガノエンブレム, 63,川田将, 0.3, 71,   6,   8, 8, 38.4,⑧⑨⑨
 5,11,Ｌエイシンヤノゴトク, 33,小牧太, 0.4, 48, -10,*  0, 8, 41.3, ⑪⑩, 5,10,Ｆシゲルカメレオンザ, 53,高倉稜, 2.9, 53,  -5,  -1, 5, 31.5,⑮⑬⑩, 5,10,Ｈジャマイカジョｰ, 71,幸英明, 1.0, 68,   4,   5, 5, 23.8,⑫⑪⑦, 5,12,Ｇヒロノプリンス, 74,藤岡康, 0.3, 69,   7,   4, 5, 10.5,⑤⑤④
 6,12,Ｊブルｰヴァルキリｰ, 36,幸英明, 0.7, 49,*  4, -17, 7, 33.0, ②②, 6, 1,Ｏドリｰムルｰツ, 37,畑端省, 3.0, 52,   2, -14, 9, 59.2,④⑤⑤, 6,13,Ｅオｰバｰヘッド, 74,川田将, 1.1, 67,   4,   4, 6, 27.3,⑭⑫⑧, 6, 1,Ｄアルバタックス, 79,浜中俊, 0.3, 68,   7,   3, 1,  3.5,③④③
 7, 2,Ｋカシノステイタス, 34,太宰啓, 0.7, 44, -11,* -3,14,275.4, ⑩⑪, 7,11,Ｋパｰプルヘイロｰ, 49,酒井学, 3.3, 52,  -2, -10, 8, 52.0,⑫⑩⑪, 7, 7,Ｊアザゼル, 67,和田竜, 1.2, 66,   4,   3,10, 59.9,⑨⑩⑩, 7, 5,Ｋサンライズマルス, 69,国分優, 0.3, 70,*  9,   1, 7, 15.0,②②②
 8, 5,Ｆベラフォレスタ, 46,浜中俊, 0.8, 42, -20,*  3, 4, 11.0, ⑮⑬, 8,16,Ｈアラタマセット, 51,国分恭, 3.3, 51,  -3,  -9,14,220.3,⑭⑪⑨, 8, 4,Ａタガノトネｰル, 86,鮫島良, 1.5, 64,*  8,  -6, 1,  2.4,①①①, 8, 8,Ｉドリｰムマジシャン, 72,国分恭, 0.4, 68,   6,   6,12, 87.6,⑨⑦⑦
