13年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾝｶﾞﾎﾟｰﾙﾀｰﾌｸﾗﾌﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａグランプリブレイド, 52,浜中俊,, 52,* -5, -11, 1,  2.7, ①①, 1, 2, エｰシンイグアス,,黒岩悠,,,,, 7, 35.6,⑥④④, 1,16,Ｈアイファｰファルコ, 68,北村友,, 77,*  9,   4, 8, 16.9,②②①, 1, 2,Ａラストインパクト, 83,川田将,, 80,  -6,* 19, 1,  1.4,④④③
 2, 5,Ｍワクワクキリシマ, 14,小坂忠, 0.2, 51, -19,*  0,13,268.0, ⑩⑩, 2, 5, ビッグウィｰク,,小坂忠,189.9,,,, 2,  2.9,①①①, 2,12,Ｋポポルブフ, 67,小牧太, 0.0, 76,*  7,   6, 6,  8.0,⑧⑤②, 2, 9,Ｆクイｰンリヴィエラ, 71,武豊  , 0.2, 77,* -4,  15, 2,  6.9,②②②
 3, 8,Ｂアラタマシャトル, 50,幸英明, 0.4, 48, -13,* -8, 3,  4.2, ⑦③, 3, 7, シシャモフレンド,,白浜雄,190.2,,,, 4, 15.4,⑤③③, 3,15,Ｄアドマイヤツヨシ, 70,川田将, 0.1, 78,   4,* 12, 1,  4.3,⑪⑪⑨, 3, 7,Ｅヒロノプリンス, 72,国分恭, 0.3, 74,* -4,  12, 3,  8.2,①①①
 4,11,Ｉコスモフラッグ, 37,中井裕, 0.4, 48, -11, -11, 5, 20.4, ④⑤, 4, 6, メイショウブシドウ,,高田潤,190.3,,,, 5, 17.8,③⑤⑤, 4, 6,Ｂベンジャミン, 71,池添謙, 0.3, 75,   5,   5, 3,  5.8,⑩⑨⑦, 4,10,Ｉメイショウシレトコ, 67,国分優, 0.4, 78,  -7,* 18,10, 67.0,⑥⑧⑤
 5, 6,Ｃエイシンヤノゴトク, 46,小牧太, 0.7, 44,* -8, -17, 2,  2.9, ②②, 5, 4, エｰシンジｰライン,,西谷誠,190.6,,,, 1,  1.8,②②②, 5, 8,Ｇヤマニンプｰドレ, 69,岩崎翼, 0.3, 73,   5,   4, 5,  7.6,⑥⑧⑥, 5, 5,Ｂロｰドランパｰト, 78,浜中俊, 0.6, 73,  -7,  15, 4, 14.1,⑦⑦⑦
 6, 7,Ｋシンゼンタイガ, 34,武幸四, 1.1, 38, -20, -11,10, 67.9, ⑫⑫, 6, 1, ネオファッショ,,難波剛,192.2,,,, 8, 56.3,⑦⑦⑦, 6,14,Ｒスミデロキャニオン, 49,幸英明, 0.4, 76,   3,* 11, 7, 14.8,⑭⑭⑫, 6, 6,Ｊメイショウブシン, 66,北村友, 0.6, 76,  -9,* 18, 7, 27.3,⑧⑨⑩
 7,10,Ｆタマモライト, 42,池添謙, 1.1, 39, -16, -14, 4, 10.3, ⑨⑧, 7, 8, トップミノル,,熊沢重,192.3,,,, 3,  6.4,④⑥⑥, 7,11,Ｊスズカキングダム, 67,藤岡康, 0.7, 70,   4,   3, 9, 21.6,⑨⑩⑩, 7, 3,Ｃスズカアンペｰル, 76,藤岡康, 0.7, 70,  -6,  10, 8, 52.7,③③④
 8, 2,Ｇトップザサブライ, 40,国分恭, 1.3, 36, -16, -17,12,117.9, ⑧⑨, 8, 3, サンレイランキング,,森一馬,199.8,,,, 6, 32.5,⑧⑧⑧, 8, 9,Ｉドラゴネッティ, 67,武豊  , 0.7, 74,   0,* 13, 4,  7.4,⑱⑰⑱, 8, 8,Ｈドリｰムマジシャン, 69,幸英明, 0.9, 69,  -7,   9, 9, 65.6,⑨⑥⑥
 9,12,Ｄバンブｰカッサｰノ, 44,岩崎翼, 1.3, 35,  -9, -24, 7, 31.7, ③④,,,,,,,,,,,,, 9,18,Ｃネオリアライズ, 70,国分恭, 0.8, 72,   0,* 12,11, 31.7,⑰⑱⑮, 9, 1,Ｄヤマニンアｰマｰ, 75,田中健, 1.1, 66,  -7,   6, 5, 23.5,⑤⑤⑧
10, 3,Ｈトップランナウェイ, 37,岡田祥, 1.3, 36, -13, -19,11, 90.1, ⑥⑦,,,,,,,,,,,,,10, 3,Ａゲットハッピｰ, 72,浜中俊, 1.0, 65,*  7,  -8, 2,  5.5,④④④,10, 4,Ｇスｰパｰオｰビット, 69,小牧太, 1.1, 69,  -7,   9, 6, 26.9,⑩⑩⑨
11, 1,Ｊクリノプリムラ, 36,国分優, 1.3, 37, -14, -18, 6, 30.6, ⑤⑥,,,,,,,,,,,,,11, 1,Ｑコスモインパクタｰ, 52,国分優, 1.3, 68,   1,   2,13,119.4,⑯⑯⑰,,,,,,,,,,,,
12, 9,Ｌカツザクラ, 32,北村友, 1.5, 33, -24, -12, 8, 38.1, ⑬⑬,,,,,,,,,,,,,12, 2,Ｎナリタウィッシュ, 65,森一馬, 1.3, 65,   3,  -1,10, 30.7,⑫⑫⑬,,,,,,,,,,,,
