13年 4月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆプラネットスコア, 53,北村友,, 66,* 12,  -8, 8, 23.5, ①①, 1, 3, シゲルキョクチョウ,,草野太,,,,, 3,  5.6,①①①, 1, 9,Ｃスペルヴィア, 75,川田将,, 71,*  1,   1, 3, 14.2,①①①, 1, 4,Ｄロングロウ, 85,デムｰ,, 78,* 18,  -7, 1,  2.3,①②②
 2, 9,Ａカトラス, 65,熊沢重, 0.1, 65,   4,* -1, 3,  5.4, ⑩⑨, 2, 5, ビヨンドマックス,,植野貴,214.9,,,, 8, 13.7,③③②, 2, 2,Ｇランフォｰジン, 69,藤田伸, 0.4, 70,  -1,   2, 5, 19.4,⑥⑦⑥, 2, 8,Ａエｰシンリボルバｰ, 87,幸英明, 0.2, 79,* 18,  -7, 2,  2.8,②③③
 3, 4,Ｃバルトロメオ, 60,岩田康, 0.1, 64,* 10,  -7, 2,  4.6, ③③, 3, 1, タマモユニヴァｰス,,北沢伸,215.1,,,, 6, 12.3,⑧⑥③, 3, 3,Ａブランクヴァｰス, 78,浜中俊, 0.4, 68,*  0,  -1, 1,  1.5,⑧⑧④, 3, 9,Ｃマイネルバイカ, 85,和田竜, 0.3, 80,  16,  -6, 4, 10.3,⑤⑤⑤
 4, 3,Ｅアスタｰストｰム, 57,秋山真, 0.2, 63,* 11,  -9, 5, 15.9, ②②, 4, 6, メイショウヨウドウ,,西谷誠,215.5,,,, 1,  2.7,⑤④④, 4, 1,Ｅスリｰロブロイ, 70,太宰啓, 0.5, 70,  -1,*  3, 9, 84.8,⑩⑩⑨, 4, 3,Ｂジョｰメテオ, 87,岩田康, 0.5, 76,* 19, -13, 3,  8.7,⑩①①
 5,15,Ｇメイショウオトワカ, 53,武幸四, 0.2, 62,  -2,*  3,10, 43.8, ⑭⑬, 5, 9, ユウタｰチェイサｰ,,金子光,215.6,,,, 2,  5.3,⑩⑦⑥, 5, 5,Ｄメイショウテッサイ, 72,小牧太, 0.6, 69,  -3,*  4, 4, 17.5,⑦⑥⑧, 5, 2,Ｅコウユｰヒｰロｰ, 85,国分恭, 0.5, 77,  12,*  1,10, 50.3,⑪⑪⑨
 6,13,Ｌリｰジェンシｰ, 44,川須栄, 0.7, 57,   6,  -9, 7, 21.0, ⑧⑥, 6,10, シｰライフ,,小坂忠,215.8,,,, 4, 10.8,②⑤⑤, 6,10,Ｂアドマイヤバラｰド, 76,岩田康, 0.7, 65,* -1,  -6, 2,  2.9,⑤⑤②, 6,11,Ｈミッキｰバラｰド, 84,川須栄, 0.8, 76,* 18, -13, 8, 32.2,⑧④④
 7,14,Ｈハニｰバニｰ, 52,浜中俊, 0.7, 55,   1,  -5, 6, 19.4, ⑫⑩, 7, 8, ボンバルディエｰレ,,蓑島靖,216.6,,,,10, 24.7,⑦⑧⑦, 7, 8,Ｆサンライズアポロン, 69,松岡正, 1.1, 62,*  0, -10, 8, 82.1,③④⑤, 7, 7,Ｇステキナシャチョウ, 84,大下智, 1.0, 74,  14,  -8,11, 59.1,⑨⑧⑦
 8,11,Ｉホシプリエｰル, 51,デムｰ, 0.8, 55,   6, -10,13, 72.4, ⑦⑧, 8,11, センシズバイオ,,白浜雄,216.8,,,, 5, 12.1,⑨⑨⑧, 8, 7,Ｈフェｰルボｰ, 65,熊沢重, 1.4, 59,  -2, -11, 7, 79.3,④③⑦, 8, 5,Ｉヤマニンシャスｰル, 84,田中健, 1.0, 75,  10,*  0,12,151.3,⑫⑫⑪
