13年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小郡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂマイネヴァリエンテ, 60,幸英明,, 64,* -1,* -1, 1,  2.6, ①①, 1, 3, カゼカオル,,北沢伸,,,,, 6, 19.0,⑥②②, 1,14,Ａチェイスザゴｰルド, 67,川田将,, 68,   1,*  0, 1,  2.8,⑯⑮⑧, 1,10,Ｄラヴァｰズポイント, 71,酒井学,, 73,*  8,   3, 3, 11.6, ②②
 2,10,Ｅブルｰヴァルキリｰ, 48,太宰啓, 0.6, 56,* -2,  -8, 8, 31.1, ②②, 2, 8, アラタマユニバｰス,,中村将,191.7,,,, 2,  3.8,②①①, 2,11,Ｄユニヴァｰザライド, 62,武豊  , 0.1, 65,   4,* -8, 3,  4.7,⑨⑦④, 2, 2,Ａピエナアプロｰズ, 75,武豊  , 0.2, 71,* 10,  -1, 1,  2.0, ①①
 3, 7,Ｃハッピｰロングラン, 50,川田将, 0.7, 56,  -3,  -7, 2,  3.6, ④④, 3, 2, ファイヤｰ,,熊沢重,193.8,,,, 1,  1.9,③④④, 3,16,Ｅコスミックワンダｰ, 61,池添謙, 0.3, 66,   4,* -8, 4,  7.4,⑫⑫⑥, 3, 6,Ｃニシノモンクス, 71,熊沢重, 0.2, 71,  -7,* 15, 7, 24.5, ⑭⑨
 4, 4,Ａロスヴァイセ, 61,松山弘, 0.9, 52,  -8,  -6, 3,  5.4, ⑥⑤, 4, 4, メイショウタｰビン,,田村太,194.3,,,, 7, 36.7,⑤③③, 4, 1,Ｂダノンシンフォニｰ, 65,松山弘, 0.5, 63,   4, -11, 2,  3.6,⑪⑩⑦, 4,16,Ｅスリｰキャピトル, 69,国分優, 0.2, 72,  -1,   9, 5, 19.3, ⑪⑧
 5,13,Ｆピエナブラウニｰ, 47,武豊  , 0.9, 52, -10,* -4, 4,  5.5, ⑨⑨, 5, 1, スズカジェネラル,,林満明,194.3,,,, 4,  7.8,⑦⑦⑤, 5, 4,Ｃヴァルティカル, 63,小牧太, 0.7, 62,   2,  -9, 6, 19.1,⑮⑭⑪, 5,17,Ｂドリｰムマｰクス, 73,小牧太, 0.3, 70,   6,   1, 2,  3.3, ⑤⑤
 6, 6,Ｊベラフォレスタ, 41,北村友, 0.9, 52, -11,* -4, 5, 15.7, ⑧⑧, 6, 7, テｰオｰゼウス,,黒岩悠,195.9,,,, 8, 48.5,④⑥⑥, 6, 9,Ｉダノンホｰネット, 58,太宰啓, 0.9, 59,   3, -15,12,113.5,⑩⑪⑨, 6,18,Ｆベルライン, 69,藤岡康, 0.5, 67,   2,   3, 4, 15.1, ⑧⑦
 7, 2,Ｇニシノチャステティ, 46,池添謙, 1.0, 51,  -4, -12, 6, 22.7, ③③, 7, 6, ハクユウサンサン,,蓑島靖,197.1,,,, 5, 18.9,①⑤⑦, 7,18,Ｈカミングアップ, 59,鮫島良, 1.1, 57,   0, -10,13,179.2,⑱⑰⑫, 7, 1,Ｇサｰシスリｰフ, 67,鮫島良, 0.6, 65,   4,  -1, 8, 30.2, ④④
 8, 3,Ｄコウエイユニバｰス, 49,高倉稜, 1.2, 47,  -5, -13, 7, 26.6, ⑤⑥, 8, 5, エｰシングルｰオン,,西谷誠,197.1,,,, 3,  6.0,⑧⑧⑧, 8,15,Ｆラムレット, 60,幸英明, 1.2, 56,*  7, -30, 7, 26.6,⑤③③, 8,15,Ｈアドマイヤクｰガｰ, 67,川田将, 0.8, 64, -14,* 15, 6, 21.4, ⑱⑱
