13年10月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａトゥザワｰルド, 62,川田将,, 57, -23,*  9, 1,  1.3, ⑤⑤, 1, 4, アシュヴィン,,林満明,,,,, 4, 12.2,②③③, 1, 9,Ｃロッカデバルディ, 76,浜中俊,, 80,* 10,  11, 5,  8.5,④②①, 1, 2,Ｄエディン, 83,藤田伸,, 90,* -6,  24, 2,  5.4,①①①
 2, 7,Ｆキラノカリスマ, 31,国分優, 0.1, 58,*-20,   5, 5, 23.6, ②②, 2, 5, マイネルフィエスタ,,熊沢重,196.7,,,, 1,  1.7,③②②, 2, 2,Ｂハッピｰモｰメント, 76,川田将, 0.0, 82,   9,  16, 1,  2.9,③③③, 2,14,Ｎコウエイオトメ, 78,池添謙, 0.2, 94, -10,* 33, 9, 37.3,⑮⑬⑬
 3, 4,Ｃカレンヴィットリア, 57,福永祐, 0.2, 55,*-21,   4, 2,  4.2, ④④, 3, 9, シゲルソウウン,,平沢健,196.9,,,, 9, 38.7,④④④, 3,11,Ｄトｰセンギャラリｰ, 76,武豊  , 0.4, 81,   5,* 20, 2,  3.9,⑪⑩⑩, 3, 9,Ｂピクシｰプリンセス, 84,秋山真, 0.3, 88,  -7,  25, 1,  2.8,⑦⑧⑦
 4, 6,Ｂハギノハイブリッド, 62,武豊  , 0.4, 52,*-21,   2, 3,  8.4, ③③, 4, 7, メルシｰサイレンス,,植野貴,197.6,,,, 8, 22.5,⑧⑥⑤, 4, 1,Ｅランフォｰジン, 76,藤田伸, 0.6, 79,   5,  16, 6, 19.9,⑧⑨⑦, 4, 7,Ｏエスカナｰル, 78,四位洋, 0.3, 90,  -8,* 29, 8, 27.5,⑫⑫⑪
 5, 3,Ｇイゾラベッラ, 25,岩田康, 0.4, 49,*-20,  -3, 6, 39.1, ①①, 5, 3, レッドアｰヴィング,,西谷誠,197.9,,,, 6, 18.7,⑤①①, 5, 8,Ａアドマイヤディｰプ, 79,四位洋, 0.6, 75,   9,   7, 3,  4.1,⑦④④, 5,10,Ａエｰティｰタラント, 88,酒井学, 0.3, 93, -10,* 33, 6, 17.7,⑭⑮⑭
 6, 8,Ｅミンネゼンガｰ, 45,和田竜, 0.4, 53, -23,   5, 4, 20.8, ⑦⑥, 6, 1, ビコｰピリラニ,,黒岩悠,200.0,,,, 2,  5.2,⑦⑦⑦, 6, 3,Ｆサンライズウェイ, 75,福永祐, 0.9, 74,   6,   7, 4,  6.8,⑥⑦⑤, 6, 5,Ｉタニノエポレット, 80,松山弘, 0.4, 87,  -7,  24,11, 73.1,⑥⑦⑨
 7, 2,Ｄジェニファｰ, 46,幸英明, 0.5, 54, -24,   5, 8,125.5, ⑥⑦, 7,12, アルゴリズム,,小坂忠,200.5,,,, 3,  9.5,⑥⑧⑧, 7,10,Ｈフォントルロイ, 74,岩田康, 1.2, 73,   4,  11, 8, 31.6,⑩⑪⑪, 7, 1,Ｋシルクランスロット, 79,武豊  , 0.4, 85,* -6,  21,10, 40.2,③③⑤
 8, 1,Ｈアガペｰ, 21,熊沢重, 1.8, 36, -27,  -9, 7, 72.1, ⑧⑧, 8,11, キレイナダケデス,,森一馬,200.9,,,,10, 53.4,⑩⑨⑨, 8, 6,Ｇプロフェッサｰ, 74,北村友, 1.3, 70,   7,   2, 7, 29.1,⑤⑤⑥, 8, 4,Ｊマイネルメダリスト, 79,和田竜, 0.4, 85,* -6,  20, 7, 18.0,⑧⑥④
,,,,,,,,,,,, 9, 2, タツパｰシヴ,,田村太,201.8,,,,12, 96.9,⑪⑪⑩, 9, 4,Ｊマンハッタンコｰド, 66,和田竜, 1.4, 69,   5,   4,10,147.8,⑨⑧⑧, 9,15,Ｅヴィクトリｰスタｰ, 82,浜中俊, 0.6, 86,  -7,  23, 5,  7.5,⑩⑩⑩
,,,,,,,,,,,,10,13, カシマシャドウ,,上野翔,204.1,,,,13,191.2,⑫⑫⑫,10, 5,Ｋブライティアトップ, 59,幸英明, 1.6, 65,* 10, -12, 9, 66.8,①①②,10,13,Ｈスマｰトリバティｰ, 80,岩田康, 0.7, 84,  -7,  20, 4,  6.8,⑪⑪⑧
,,,,,,,,,,,,11, 6, ヤラマイカ,,五十嵐,204.5,,,, 5, 14.8,①⑤⑥,11, 7,Ｉビックケン, 67,国分優, 1.7, 66,   6,  -3,11,207.9,②⑥⑨,11, 3,Ｃジェントルマン, 83,福永祐, 0.7, 82,* -6,  17, 3,  5.4,⑤⑤⑥
,,,,,,,,,,,,12,10, ヨイチピｰス,,石神深,205.4,,,,14,215.0,⑭⑬⑬,,,,,,,,,,,,,12, 6,Ｇフミノヤマビコ, 81,国分優, 0.8, 84,  -8,  21,14,111.0,⑨⑨⑫
,,,,,,,,,,,,13, 8, ナムラコンカｰ,,難波剛,205.6,,,, 7, 21.9,⑨⑩⑪,,,,,,,,,,,,,13,12,Ｍタガノキャプテン, 78,国分恭, 0.9, 76,* -6,  11,15,140.6,②②②
,,,,,,,,,,,,14,14, ピｰスフルアｰス,,中村将,207.0,,,,11, 66.5,⑬⑭⑭,,,,,,,,,,,,,14,11,Ｌツルミプラチナム, 79,北村友, 0.9, 79,* -6,  13,13, 91.6,④④③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｆメイショウジンム, 81,小牧太, 1.0, 84, -10,  23,12, 76.2,⑬⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,
単勝:130円 複勝:05=100円 07=250円 04=110円 枠連:0円,,,,,,,,,,,,"単勝:1,220円 複勝:04=270円 05=110円 09=660円 枠連:520円",,,,,,,,,,,,単勝:850円 複勝:09=210円 02=130円 11=140円 枠連:470円,,,,,,,,,,,,単勝:540円 複勝:02=210円 14=760円 09=150円 枠連:820円,,,,,,,,,,,
"馬連:1,100円 ワイド:05-07=290円 04-05=120円 04-07=390円",,,,,,,,,,,,"馬連:830円 ワイド:04-05=350円 04-09=4,140円 05-09=1,490円",,,,,,,,,,,,"馬連:1,280円 ワイド:02-09=400円 09-11=490円 02-11=250円",,,,,,,,,,,,"馬連:11,660円 ワイド:02-14=3,120円 02-09=470円 09-14=1,810円",,,,,,,,,,,
"馬単:1,240円 3連複:660円 3連単:2,840円",,,,,,,,,,,,"馬単:2,490円 3連複:8,500円 3連単:53,700円",,,,,,,,,,,,"馬単:3,110円 3連複:1,180円 3連単:10,760円",,,,,,,,,,,,"馬単:18,330円 3連複:11,630円 3連単:92,020円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-34,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,室町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
