13年11月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霊山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａフレンチフェロｰ, 53,木幡初,, 53,   1,  -7, 1,  1.8, ⑤⑤, 1, 4,Ａアグネスダリム, 77,丸田恭,, 68,   2,* 14, 1,  2.4,⑧⑦⑤, 1, 8,Ｃカフヴァｰル, 71,川須栄,, 76,   5,  10, 2,  5.8, ⑥⑤, 1, 4,Ｄランフォｰジン, 77,川須栄,, 83,  -7,  25, 3,  4.4,④⑤④
 2, 6,Ｎクラウンシンホニｰ, 34,津村明, 0.0, 49,  -9,*  1, 9, 35.8, ⑨⑨, 2,14,Ｌパｰティブロッサム, 62,中井裕, 0.3, 70,*  4,   7, 9, 46.4,③③③, 2, 6,Ｋビｰマイラブ, 61,村田一, 0.2, 73,   8,   3,12, 28.8, ③②, 2, 7,Ｂルミナスレッド, 78,黛弘人, 0.0, 80,* -6,  22, 1,  4.2,③④③
 3, 9,Ｃコスモクラヴィス, 47,高倉稜, 0.1, 50,   0,  -8, 7, 24.6, ③③, 3,13,Ｊキｰプザサミット, 63,横山和, 0.6, 63,*  4,   3, 3,  7.1,①②②, 3,16,Ｄブルｰピアス, 70,菱田裕, 0.3, 72,* 11,   0, 6, 11.2, ①①, 3, 8,Ｅスリｰヴェロｰチェ, 73,吉田隼, 0.1, 78,* -6,  19, 2,  4.4,②③⑤
 4, 4,Ｂロｰドメビウス, 49,吉田隼, 0.1, 50,  -1,  -7, 4,  8.2, ④④, 4,11,Ｄクロカミノオトメ, 71,丸山元, 0.7, 66,  -2,* 14, 5, 11.1,⑬⑬⑫, 4,13,Ａラパｰジュ, 74,丸田恭, 0.3, 71,  -8,* 18, 1,  4.2, ⑮⑭, 4, 1,Ｊモンプレジｰル, 65,伊藤工, 0.1, 91, -11,* 38,11, 43.6,⑦⑪⑨
 5,14,Ｉエｰスワン, 40,丹内祐, 0.3, 49,  -2,  -8, 6, 22.8, ⑥⑥, 5,15,Ｂアメリ, 77,吉田隼, 0.7, 65,   2,   6, 2,  4.0,④⑤⑥, 5, 3,Ｆモエレマリｰア, 66,横山和, 0.4, 69,  -1,  10,10, 19.1, ⑨⑧, 5, 5,Ｃトｰセンウィンドウ, 77,丸山元, 0.5, 85, -11,* 32, 9, 24.8,⑪⑫⑫
 6, 7,Ｄケイジｰジュピタｰ, 47,岩部純, 0.4, 45, -10,* -1, 2,  6.6, ⑫⑩, 6,12,Ｃアプレレクｰル, 73,岡田祥, 0.8, 66,  -3,* 14, 7, 18.0,⑭⑭⑮, 6,12,Ｊガッダムアスカ, 61,津村明, 0.5, 69,   4,   3, 7, 11.5, ⑦⑥, 6,12,Ａキネオストロング, 80,丸田恭, 0.6, 77, -10,  23, 7, 13.0,⑧⑧⑧
 7, 3,Ｊウｰルｰシュヴァル, 39,横山和, 0.6, 47,*  3, -14, 8, 30.0, ②②, 7, 1,Ｋディレットリｰチェ, 63,川須栄, 0.9, 64,   1,   6, 4,  9.9,⑥⑧⑦, 7, 9,Ｍトウシンヴィｰナス, 60,田中健, 0.8, 66,  -3,   8,13, 44.3, ⑪⑪, 7,10,Ｋフミノポｰルスタｰ, 65,上村洋, 0.7, 70,* -6,   9, 6, 10.3,①②②
 8,11,Ｅトラストサムライ, 45,田中博, 0.6, 43, -11,* -3, 5, 10.3, ⑬⑫, 8, 8,Ｅテイケイフロックス, 71,菱田裕, 0.9, 61,*  6,  -2, 6, 13.4,⑦①①, 8,10,Ｉクロンドロｰリエ, 64,杉原誠, 0.9, 64,  -9,* 11, 8, 11.7, ⑯⑮, 8, 3,Ｉバリロｰチェ, 65,村田一, 0.8, 78, -10,  23, 8, 21.3,⑨⑨⑩
 9,12,Ｋカルネアデス, 37,丸田恭, 0.6, 43,  -6,  -7,11, 94.2, ⑧⑧, 9,10,Ｆサンデｰスイセイ, 67,柴山雄, 1.0, 66,  -3,* 13, 8, 29.7,⑮⑮⑭, 9, 7,Ｈアラカメジョウ, 65,的場勇, 1.1, 61,   9,  -8, 4,  9.2, ④④, 9, 2,Ｆロｰリングストｰン, 71,津村明, 0.9, 66,* -6,   5, 5,  8.8,⑫①①
10, 1,Ｇイロリ, 41,中井裕, 0.8, 47,*  2, -16, 3,  8.0, ①①,10, 7,Ｈアルディｰトプリエ, 65,津村明, 1.4, 60,   2,   0,11, 60.2,⑤④④,10, 2,Ｅヴェリタスロｰズ, 70,城戸義, 1.2, 59,  -4,   2, 9, 16.3, ⑩⑩,10, 9,Ｈレッドエルザ, 67,横山和, 1.3, 72, -10,  18,10, 39.5,⑩⑩⑪
11,13,Ｐアポロダイナスティ, 26,西田雄, 0.8, 42, -10,  -5,10, 68.5, ⑪⑪,11, 9,Ｎレディメイアン, 46,上村洋, 1.6, 62,  -1,   5,12, 62.1,⑪⑫⑬,11, 5,Ｇデイジｰバロｰズ, 65,柴山雄, 1.2, 59,  -8,   6,11, 23.9, ⑫⑫,11, 6,Ｇテイエムオペラドン, 70,高倉稜, 1.4, 64,  -7,   5, 4,  8.0,⑥⑥⑥
12, 2,Ｌブラックソヴリン, 37,山崎亮, 0.9, 42,  -4, -11,12, 94.7, ⑦⑦,12, 6,Ｍサニｰロック, 61,山崎亮, 1.6, 59,   0,   3,14,284.1,⑫⑪⑨,12,14,Ｂコウヨウチャンス, 71,吉田隼, 1.4, 57,   6, -10, 3,  6.4, ⑧⑨,12,11,Ｌサトノフェニックス, 50,中井裕, 1.5, 66,  -9,   8,12, 48.9,⑤⑦⑦
13, 5,Ｏダムキナ, 27,原田和, 1.1, 38, -13,  -5,16,319.5, ⑭⑬,13, 5,Ｏベルベットメドウ, 42,嘉藤貴, 1.8, 56,   0,   2,13,252.5,⑩⑩⑩,13, 4,Ｐプラティｰヌ, 53,花田大, 1.6, 54,  -6,  -1,16,209.7, ⑬⑬,,,,,,,,,,,,
14, 8,Ｍレッドロｰズキング, 36,黛弘人, 1.1, 38, -14,  -4,14,240.9, ⑯⑯,14, 2,Ｉトｰブプリンセス, 63,城戸義, 1.9, 57,   0,   0,15,471.8,⑨⑨⑪,14,15,Ｎアイサレジョウズ, 59,原田和, 1.8, 52,   7, -16,15,207.9, ⑤⑦,,,,,,,,,,,,
15,10,Ｆシゲルシモウサ, 42,伴啓太, 1.4, 35, -12,  -9,15,258.1, ⑮⑮,15, 3,Ｇテイクザサン, 67,鮫島良, 2.3, 57,   2,  -5,10, 50.5,②⑥⑧,15, 1,Ｌレッドサｰガ, 61,中井裕, 1.9, 51,* 11, -22, 5, 10.7, ②③,,,,,,,,,,,,
16,15,Ｈリコリッチ, 40,菱田裕, 2.0, 30,  -9, -17,13,104.6, ⑩⑭,,,,,,,,,,,,,16,11,Ｏアラディロｰザ, 56,黛弘人, 2.1, 48,  -6,  -7,14,207.1, ⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-3),,,,,,,,,,,
"単勝:180円 複勝:16=120円 06=710円 09=670円 枠連:3,310円",,,,,,,,,,,,単勝:240円 複勝:04=140円 14=960円 13=310円 枠連:540円,,,,,,,,,,,,"単勝:580円 複勝:08=280円 06=830円 16=420円 枠連:2,250円",,,,,,,,,,,,単勝:440円 複勝:04=150円 07=160円 08=170円 枠連:460円,,,,,,,,,,,
"馬連:4,310円 ワイド:06-16=1,560円 09-16=960円 06-09=8,310円",,,,,,,,,,,,"馬連:3,220円 ワイド:04-14=1,800円 04-13=470円 13-14=6,300円",,,,,,,,,,,,"馬連:7,520円 ワイド:06-08=2,540円 08-16=1,210円 06-16=5,260円",,,,,,,,,,,,馬連:760円 ワイド:04-07=350円 04-08=370円 07-08=300円,,,,,,,,,,,
"馬単:6,340円 3連複:24,510円 3連単:109,180円",,,,,,,,,,,,"馬単:5,050円 3連複:13,280円 3連単:63,910円",,,,,,,,,,,,"馬単:13,420円 3連複:25,090円 3連単:128,320円",,,,,,,,,,,,"馬単:1,650円 3連複:1,000円 3連単:5,620円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島放送賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
