13年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアドマイヤスパｰズ, 70,小牧太,, 59,* -5,*  9, 1,  2.1, ②②, 1, 1, トｰセンマグナム,,五十嵐,,,,, 1,  4.4,①①①, 1,12,Ｆカノン, 72,岩崎翼,, 77,   8,*  9, 3,  9.6,⑤⑤③, 1,16,Ｅキラウエア, 86,小牧太,, 83,   7,* 14, 5, 11.1,⑥⑥⑥
 2, 4,Ｃブラックシャリオ, 60,岩崎翼, 0.0, 59,  -6,* 10, 3,  5.8, ④③, 2, 6, トウシンボルト,,難波剛,210.3,,,, 6,  9.7,⑩⑧⑦, 2, 7,Ｅブライトエルフ, 72,鮫島良, 1.0, 72,   6,*  6, 9, 33.7,⑬⑫⑨, 2,10,Ｇダイヤノゲンセキ, 85,田中健, 0.0, 82,   6,* 13, 4,  5.8,⑤⑤⑤
 3,11,Ｅヴィトレスク, 57,高倉稜, 0.4, 57,  -6,*  8, 4,  9.3, ⑤⑤, 3, 4, アグネスミヌエット,,森一馬,210.5,,,,10, 22.8,③④③, 3, 6,Ｇナムラアピア, 69,国分優, 1.2, 69,* 10,  -4, 2,  9.5,②②②, 3, 4,Ａユｰロビｰト, 89,浜中俊, 0.1, 81,*  8,  10, 3,  5.5,③③③
 4,12,Ｂサンライズムｰン, 63,藤岡康, 0.8, 52,* -5,   2, 2,  3.9, ③④, 4, 3, ボストンプラチナ,,上野翔,210.6,,,,12, 63.5,⑧⑦⑤, 4, 5,Ｃシｰズガレット, 74,森一馬, 1.4, 68,   5,*  3,10, 85.1,⑭⑬⑩, 4,13,Ｄコウユｰヒｰロｰ, 87,国分恭, 0.5, 79,   5,  11, 6, 14.3,⑬⑫⑩
 5, 3,Ｇクモンリュウシシン, 50,岡田祥, 0.9, 52,* -4,   0,10,134.6, ①①, 5, 7, ビｰアウェイク,,高野和,210.6,,,, 2,  5.6,⑤⑤④, 5, 9,Ｎマルヨフレンドリｰ, 53,小坂忠, 1.5, 71,*  9,  -5,13,240.1,③③④, 5,14,Ｋタガノジンガロ, 82,川田将, 0.5, 80,   5,  12, 9, 27.6,⑩⑩⑪
 6, 1,Ｄロイヤルレイド, 57,太宰啓, 0.9, 54,  -7,   3, 6, 12.3, ⑥⑥, 6,13, カシマシンセイ,,山本康,210.8,,,, 9, 20.3,②②②, 6,13,Ａサイモンガｰランド, 77,高倉稜, 1.5, 66,   8,  -3, 1,  1.5,⑨⑧⑤, 6, 1,Ｈトｰセンケイトゥｰ, 83,鮫島良, 0.6, 81,   4,* 13, 7, 15.0,⑭⑭⑬
 7,10, エルクイｰン,---,熊沢重, 1.2, 52, -10,   4, 7, 46.5, ⑩⑧, 7,11, スズカマジェスタ,,北沢伸,211.0,,,, 4,  6.5,⑨⑥⑧, 7, 1,Ｂアランロド, 74,中井裕, 1.9, 67,   4,   2, 6, 19.6,⑮⑭⑬, 7, 3,Ｆジョウノボヘミアン, 85,太宰啓, 0.7, 79,*  9,   3,12, 66.1,②②②
 8,15,Ｆナムラシンバ, 55,浜中俊, 1.3, 49, -11,   4, 5, 11.7, ⑪⑪, 8,14, アドマイヤテンクウ,,西谷誠,211.5,,,, 8, 12.0,⑬⑫⑫, 8, 4,Ｄディアアプロｰズ, 73,小牧太, 1.9, 63,* 10, -11, 8, 30.5,①①①, 8, 6,Ｃスズカルｰセント, 87,藤岡康, 0.8, 76,   7,   5, 1,  3.3,④④④
