13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｍヌｰヴェルミシオン, 27,鮫島良, 2.9, 33,  -9, -13, 9, 45.5, ⑫⑫,12,12,Ｌサマｰレイラ, 42,田中健, 5.1, 30,* -4, -40,11,102.8,②②①,12, 1, レムミラス,---,北村友, 0.7, 40, -25,  -5, 9, 30.8, ⑧⑨,12, 8,Ｎランミネルバ, 71,酒井学, 1.7, 71,   6,   3,12,103.2,⑦⑦⑦
13,14,Ｄテイケイマテリアル, 43,藤懸貴, 3.1, 29,  -7, -19, 6, 29.3, ⑨⑧,13, 2,Ｅエタｰナルトルｰス, 57,四位洋, 5.2, 32,* -3, -40, 3,  9.4,①①③,13, 4, ドリｰムノｰト,---,浜中俊, 1.4, 31, -25, -13, 8, 28.5, ⑩⑩,13, 1,Ｊサンマルボス, 75,太宰啓, 1.8, 72,   5,   5,14,210.6,⑩⑩⑩
14, 6,Ｈカネトシメティス, 35,松山弘, 4.2, 20,  -7, -28, 5, 12.2, ⑦⑨,,,,,,,,,,,,,14, 5, ゴルトエルゼ,---,池添謙, 1.5, 31, -27, -12, 4, 12.2, ⑫⑫,14,14,Ｈスクウェルチャｰ, 77,浜中俊, 3.1, 59,*  8, -13, 5, 10.9,①①①
15,12,Ｌシゲルブシュウ, 28,菱田裕, 5.0, 13,  -4, -39,14,365.9, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:360円 複勝:10=160円 15=130円 02=230円 枠連:490円,,,,,,,,,,,,"単勝:150円 複勝:04=110円 13=1,410円 08=570円 枠連:1,960円",,,,,,,,,,,,"単勝:240円 複勝:12=160円 09=1,620円 14=710円 枠連:1,150円",,,,,,,,,,,,"単勝:330円 複勝:07=160円 05=300円 02=200円 枠連:1,040円",,,,,,,,,,,
馬連:520円 ワイド:10-15=280円 02-10=780円 02-15=510円,,,,,,,,,,,,"馬連:4,600円 ワイド:04-13=1,500円 04-08=610円 08-13=11,700円",,,,,,,,,,,,"馬連:9,210円 ワイド:09-12=3,430円 12-14=1,440円 09-14=11,450円",,,,,,,,,,,,"馬連:1,930円 ワイド:05-07=690円 02-07=430円 02-05=950円",,,,,,,,,,,
