13年 9月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
13,11,Ｄエイシンスペｰシア, 39,秋山真, 1.9,  1, -31,  -9, 9, 45.1, ⑭⑭,13,14, サウンドモニカ,---,松山弘, 2.9, 22, -40, -10,14,218.0, ⑮⑭,13,14, リリｰアタッカｰ,,森一馬,217.3,,,,13,175.0,⑭⑬⑬,,,,,,,,,,,,
14, 6,Ｍイチザダイオウ, 17,岩崎翼, 2.1, 18,  -9, -34,14,506.5, ⑦⑩,14, 3, ハギノマルゲリｰタ,---,菱田裕, 3.1, 18, -38, -15, 7, 30.2, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 7, ナムラショコラ,---,国分恭, 3.4, 14, -41, -17,15,285.4, ⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,
"単勝:7,110円 複勝:12=860円 13=130円 09=140円 枠連:1,240円",,,,,,,,,,,,"単勝:320円 複勝:08=150円 15=290円 09=190円 枠連:1,030円",,,,,,,,,,,,単勝:390円 複勝:05=120円 01=120円 12=160円 枠連:330円,,,,,,,,,,,,"単勝:290円 複勝:02=160円 10=990円 04=350円 枠連:8,720円",,,,,,,,,,,
"馬連:4,430円 ワイド:12-13=1,860円 09-12=2,180円 09-13=270円",,,,,,,,,,,,"馬連:1,900円 ワイド:08-15=590円 08-09=370円 09-15=860円",,,,,,,,,,,,馬連:470円 ワイド:01-05=220円 05-12=400円 01-12=360円,,,,,,,,,,,,"馬連:9,360円 ワイド:02-10=2,210円 02-04=680円 04-10=6,420円",,,,,,,,,,,
"馬単:11,980円 3連複:5,600円 3連単:51,650円",,,,,,,,,,,,"馬単:3,050円 3連複:2,850円 3連単:13,170円",,,,,,,,,,,,"馬単:980円 3連複:1,040円 3連単:4,010円",,,,,,,,,,,,"馬単:12,650円 3連複:23,080円 3連単:110,340円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａコウユｰアンドレ, 61,幸英明,, 63,   1,* 10, 3,  5.0,⑧⑦⑨, 1, 2,Ａブライトアイディア, 82,藤岡康,, 77,*  3,* 16, 1,  1.6,②②①, 1, 1,Ｇサンダラス, 47,松田大,, 65,  -8,* 15, 7, 25.9, ⑨⑨, 1, 2,Ｂキンシザイル, 72,浜中俊,, 65,   1,*  6, 1,  2.2, ④④
 2, 4,Ｂジュｰンメイ, 59,森一馬, 1.0, 53,*  2,  -2, 2,  4.9,③④③, 2, 8,Ｂミッキｰクリスエス, 81,藤懸貴, 0.0, 77,   2,* 18, 2,  5.9,④③③, 2, 4,Ｅウインフルブルｰム, 51,和田竜, 0.0, 62,  -4,   7, 1,  2.5, ③④, 2,16,Ａロｰレルボルケｰノ, 75,秋山真, 0.4, 61,  -1,   4, 4,  9.2, ⑦⑥
 3,11,Ｃデンコウアカツキ, 54,浜中俊, 1.2, 51,*  3,  -5, 5,  7.6,④③②, 3, 4,Ｄラガｰライオン, 77,熊沢重, 1.2, 74,   2,   9, 3,  6.6,③⑤④, 3, 9,Ａマイネルメリエンダ, 64,幸英明, 0.1, 62,* -2,   3, 3,  5.8, ②②, 3, 3,Ｈスズカブリザｰド, 65,鮫島良, 0.5, 62,  -3,   5,10, 52.5, ⑧⑧
 4,15,Ｄシゲルペガススザ, 53,酒井学, 1.2, 54,   2,  -1, 4,  6.5,⑤⑤⑤, 4, 1,Ｃゴｰルデンアタック, 78,幸英明, 1.2, 70,   2,   9, 4,  7.9,⑧⑨⑦, 4, 7,Ｂフェルメッツァ, 52,高倉稜, 0.3, 59,  -3,   3, 2,  3.2, ⑤⑤, 4, 8,Ｆタイキマｰシャ, 66,森一馬, 0.5, 61,   2,   0, 8, 32.9, ③③
 5, 6,Ｊペガサスムｰン, 49,岡田祥, 1.5, 51,  -4,*  5, 6, 14.8,⑮⑮⑭, 5, 3,Ｅグリッタｰテイル, 69,酒井学, 1.5, 68,   0,  10, 8, 50.3,⑩⑪⑪, 5, 6,Ｈシャンパｰニュ, 46,松山弘, 0.8, 52,  -5,  -3, 4,  7.1, ⑧⑥, 5,12,Ｇシゲルアケビ, 65,藤懸貴, 0.6, 60,  -8,*  9, 7, 19.7, ⑪⑫
 6,14,Ｅアラタシャチョウ, 51,城戸義, 1.5, 50,   0,  -2, 7, 22.8,⑪⑫⑦, 6, 7,Ｇジョナパランセ, 68,中井裕, 1.5, 70,   0,   9, 6, 29.2,⑨⑩⑩, 6, 5,Ｆオｰルステイ, 47,北村友, 0.9, 50,* -2,  -9, 6, 17.0, ①①, 6, 4,Ｍウォｰタｰメジャｰ, 57,菱田裕, 0.6, 60,  -5,*  6,15,311.8, ⑨⑨
 7, 9,Ｈヘヴンリｰムｰン, 49,太宰啓, 1.8, 51,   0,  -4, 8, 24.7,⑩⑩⑥, 7,10,Ｆマイネルボンド, 69,和田竜, 2.1, 62,   2,   1, 7, 35.5,⑪⑥⑥, 7, 3,Ｉアｰスウィンド, 43,浜中俊, 1.1, 49,  -5,  -6, 8, 35.4, ⑦⑧, 7, 6,Ｅサンライズネガノ, 69,川田将, 0.7, 60,   1,   0, 2,  4.2, ⑤⑤
 8,10,Ｋダノンラッシュ, 48,松山弘, 1.9, 46,*  4, -12,11, 64.0,①①①, 8, 5,Ｊキタサンヤマビコ, 52,小林徹, 2.1, 63,   2,   2,10,152.2,⑤⑦⑧, 8, 2,Ｄジャックトマメノキ, 51,岩田康, 1.3, 48,  -6,  -7, 5, 12.5, ⑥⑦, 8, 7,Ｉハｰフウェイ, 63,藤岡康, 1.0, 58,  -8,*  7,11, 83.8, ⑭⑬
 9, 3,Ｌエキサイトゲｰム, 46,岩田康, 2.1, 47,   1,  -8, 1,  3.1,⑥⑥⑧, 9, 9,Ｈタムロトップステイ, 58,北村友, 2.1, 61,   2,   0, 5, 12.9,⑥④⑤, 9, 8,Ｃクリノジュロウジン, 52,太宰啓, 2.3, 32,  -3, -28, 9, 87.2, ④③, 9,15,Ｋキョウワアｰサｰ, 61,中井裕, 1.1, 57,  -6,   3, 3,  8.9, ⑩⑩
10, 5,Ｇテナンゴ, 50,川須栄, 2.2, 47,   0,  -7,10, 53.4,⑫⑨⑪,10,11,Ｋエスケイティアラ, 49,水口優, 2.2, 62,*  4,  -2,11,268.0,①①②,,,,,,,,,,,,,10,11,Ｎフミノフォｰチュン, 55,国分優, 1.2, 55,  -1,  -3,12, 94.7, ⑥⑦
11, 7,Ｍマイネルラメｰル, 45,中井裕, 2.5, 47,   1, -11, 9, 41.0,⑦⑧⑩,11, 6,Ｉメイショウカルマン, 55,菱田裕, 3.5, 52,   1,  -9, 9, 98.6,⑦⑧⑨,,,,,,,,,,,,,11,14,Ｃエリモタフネス, 72,太宰啓, 1.6, 53,*  9, -16, 5,  9.3, ①①
12,13,Ｎパｰプルチャペル, 44,北村友, 2.7, 42,  -2,  -8,15,248.1,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｌメイショウヒメユリ, 59,川島信, 1.6, 53,  -6,   0,13,129.2, ⑫⑪
13, 1,Ｏバｰレスク, 43,松田大, 2.7, 43,  -2,  -8,14,158.3,⑬⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｏクラウンビション, 52,高倉稜, 2.0, 47, -10,  -1,14,274.5, ⑬⑭
14,16,Ｉシルバｰペガサス, 49,水口優, 3.5, 38,*  3, -24,13,150.8,②②④,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｐジオパｰクキリシマ, 27,水口優, 3.2, 37, -12, -10,16,494.8, ⑮⑮
15,12,Ｆプルチネルラ, 51,中村将, 4.2, 33,  -3, -17,12, 70.6,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｊレイナチャｰム, 62,熊沢重, 3.5, 37,*  3, -28, 9, 49.8, ②②
16, 8,Ｐアグネスディアナ, 28,藤懸貴, 4.3, 32,  -3, -21,16,421.1,⑨⑪⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｄシゲルユズ, 69,和田竜,70.3,70.3---, -66, ---, 6, 15.4, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
