13年 4月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,燧ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａラロｰザブル, 61,勝浦正,, 67,*  1,* 14, 4,  6.8,⑬③③, 1, 7,Ｄリッシンロケット, 62,藤岡康,, 61,*  1,*  1, 1,  4.5, ③③, 1,14,Ｄツｰオブアス, 71,西村太,, 64,* -2,  10, 4,  9.3,②②②, 1, 3,Ｂカｰマイン, 78,高倉稜,, 70,   7,*  6, 4,  7.2,⑦⑥⑤
 2,13,Ｊスリｰヨｰク, 52,中井裕, 0.2, 68,*  1,* 12, 5, 11.1,②②②, 2, 2,Ｆバクシンパワｰ, 60,城戸義, 0.0, 61,*  1,*  0, 6, 13.1, ②②, 2, 7,Ｂサンデｰスイセイ, 73,嶋田純, 0.1, 65,  -5,* 15, 3,  8.7,⑮⑫⑬, 2, 5,Ａマイネルテンクウ, 81,丹内祐, 0.2, 67,*  8,   0, 1,  3.6,⑤③③
 3, 3,Ｃヴェルフェン, 58,丸田恭, 1.5, 57,  -4,* 11, 1,  4.2,⑫⑬⑨, 3,12,Ｅヴェアリアスロｰズ, 60,丸山元, 0.2, 60,  -1,*  2, 4,  5.3, ⑤⑤, 3, 6,Ｇリアライズクレア, 70,高倉稜, 0.1, 64,* -1,   8, 2,  4.1,⑫①①, 3, 2,Ｊモｰレツ, 69,中井裕, 0.2, 67,   6,   2, 6, 11.6,③⑤②
 4, 7,Ｉキングスクルｰザｰ, 53,藤岡康, 2.0, 54,  -1,   2, 7, 16.1,⑦⑥⑥, 4,15,Ｂエリモタフネス, 65,津村明, 0.5, 56,*  4,  -7, 3,  4.7, ①①, 4,15,Ｍサマｰティアラ, 60,柴山雄, 0.1, 67,  -6,* 17,11, 44.3,⑪⑭⑭, 4,13,Ｆスタｰトセンス, 72,大野拓, 0.4, 68,   5,*  8, 5, 11.0,⑭⑬⑪
 5,11,Ｌワッペンジュニア, 49,丸山元, 2.3, 52,  -2,   2, 2,  5.0,⑥⑧⑦, 5, 4,Ａユウヅキ, 67,丸田恭, 0.9, 51,  -3,  -4, 2,  4.6, ④④, 5,13,Ａタニセンヴォイス, 74,吉田隼, 0.2, 65,* -2,   9, 1,  3.5,①④③, 5,10,Ｃバンダムラディウス, 77,丸田恭, 0.4, 66,   5,*  5, 2,  4.1,⑪⑩⑧
 6, 4,Ｅプラチナレイン, 57,大野拓, 2.4, 51,  -2,  -1, 3,  5.2,⑨⑦⑧, 6,11,Ｃゼンノビッグワン, 65,高倉稜, 1.2, 48,  -6,  -4, 5,  5.5, ⑧⑥, 6, 2,Ｅメジロカトリｰヌ, 70,黛弘人, 0.3, 65,  -4,  12, 7, 10.3,⑥⑩⑧, 6, 6,Ｇカネトシカトリｰヌ, 72,西田雄, 0.5, 65,   6,   2,13, 60.1,⑨⑧⑦
 7, 2,Ｇアｰリｰボｰイ, 55,伴啓太, 2.5, 50,  -4,   0, 9, 18.3,⑩⑪⑩, 7, 8,Ｊハイカム, 41,松田大, 1.9, 41, -11,  -6,14,245.2, ⑩⑩, 7, 9,Ｊマリントウショウ, 66,大野拓, 0.3, 64,  -3,  10, 8, 16.8,⑤⑥⑤, 7, 8,Ｈケイアイジｰニアス, 70,吉田隼, 0.6, 65,   5,   3, 7, 18.3,⑩⑪⑫
 8,15,Ｋカシマルフィ, 50,柴山雄, 2.7, 48,*  0,  -6,12, 44.5,③④④, 8, 1,Ｇクリノハンニバル, 47,原田和, 2.0, 42,  -8,  -9,12, 77.8, ⑨⑧, 8, 4,Ｃメテオｰリカ, 71,古川吉, 0.6, 65,  -4,   9, 6, 10.2,⑭⑨⑩, 8, 9,Ｍセルリアンディンゴ, 66,古川吉, 0.6, 63,*  8,  -8,14,133.0,①①①
