13年 6月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 6月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,遊楽部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｉブラックフライデｰ, 52,菱田裕,, 59,   0,  -1, 7, 26.4,⑤⑦⑥, 1, 2,Ｅラストタキオン, 58,川須栄,, 66,  -9,* 18, 1,  3.3,⑭⑭⑫, 1, 3,Ａイｰスタｰパレｰド, 81,荻野琢,, 73,* 12,   7, 1,  1.8,①①①, 1, 5,Ｂエアジェルブロワ, 78,吉田隼,, 76,* 10,  -4, 3,  5.5,④②②
 2, 1,Ｅキセキノチャンス, 57,吉田隼, 0.1, 58,  -3,*  2, 6, 22.4,⑩⑩⑩, 2,12,Ｂミッキｰマンデｰ, 66,秋山真, 0.2, 59,* -1,  -1, 3,  4.5,④③③, 2, 7,Ｂセンキ, 80,津村明, 0.5, 71,   7,* 11, 2,  3.1,⑧⑤⑤, 2, 7,Ｊスタｰリットスカイ, 67,柴山雄, 0.2, 74,   9,  -4, 9, 32.3,⑥⑤④
 3, 7,Ａヒミノオオタカ, 72,松田大, 0.1, 56,   2,  -5, 1,  1.5,④③③, 3, 9,Ａスリｰベラミ, 66,松田大, 0.3, 58,  -2,   1, 2,  3.8,⑤⑤④, 3, 2,Ｍアスタｰピｰス, 59,古川吉, 1.1, 68,   9,   2, 5, 18.3,④②②, 3, 1,Ａアラドヴァル, 84,勝浦正, 0.4, 74,   8,* -2, 1,  3.0,⑩⑩⑨
 4, 2,Ｄエルフショット, 60,古川吉, 0.3, 58,   0,  -3, 5, 16.4,⑥⑧⑦, 4, 5,Ｇマルイチワンダｰ, 54,古川吉, 0.6, 55,*  1,  -9, 7, 36.3,①①①, 4,12,Ｋマイネルバウンス, 62,丹内祐, 1.1, 68,   9,   3, 7, 35.2,③④④, 4, 8,Ｉフラゴリｰネ, 67,川須栄, 0.5, 73,* 11, -10, 7, 19.3,⑤③⑤
 5, 8,Ｊエｰティｰダンガン, 42,上村洋, 0.3, 58,   1,  -5, 9, 64.5,⑦④④, 5,13,Ｆスウィｰトアゲン, 56,横山和, 0.7, 56,  -8,*  5, 9, 44.7,⑩⑬⑩, 5, 8,Ｉピュアダイヤモンド, 70,黛弘人, 1.3, 61,   9,   1,12, 81.9,②③③, 5,11,Ｇスリｰアフロディテ, 69,荻野琢, 0.6, 69,   8,  -7, 2,  4.8,⑨⑧⑥
 6, 9,Ｈセイミニスタｰ, 52,村田一, 0.4, 56,   0,  -4, 4, 14.6,③⑥⑧, 6,14,Ｌマｰヴェリックス, 48,吉田隼, 0.7, 55,  -5,  -1, 6, 20.6,⑧⑧⑦, 6, 6,Ｄデルマエビス, 72,吉田隼, 1.3, 66,   7,   5, 9, 44.9,⑦⑥⑥, 6, 9,Ｋキョウワレイ, 66,上村洋, 0.6, 70,   6,  -4,14,154.4,⑧⑨⑪
 7, 5,Ｂドリｰムワン, 62,勝浦正, 0.4, 56,  -1,  -2, 2,  6.0,⑨⑨⑨, 7,15,Ｎマイネルハイネス, 47,菱田裕, 0.7, 54,  -2,  -5, 8, 36.5,⑥⑥⑤, 7, 4,Ｇナリタタイフｰン, 71,丸田恭, 1.5, 62,   7,   3,10, 54.1,⑤⑦⑦, 7, 2,Ｄダノンビｰナス, 74,丸山元, 0.8, 68,   5,  -4, 8, 31.8,⑬⑫⑬
 8, 6,Ｆレッドエンブレム, 53,田中博, 0.5, 54,*  3, -11, 8, 30.4,⑧②②, 8,11,Ｊリリｰロｰズ, 48,宮崎北, 0.9, 55,  -6,   1,15,468.6,⑪⑪⑨, 8,13,Ｃリワｰドレブロン, 73,横山和, 1.6, 63,   7,   2,11, 76.0,⑥⑧⑧, 8, 3,Ｌウアジェト, 64,秋山真, 1.0, 66,   8, -13,10, 35.4,①⑦⑦
 9, 3,Ｃファインユニバｰス, 62,横山和, 0.6, 52,*  3, -12, 3,  6.8,①①①, 9, 1,Ｃポｰルシッタｰ, 61,藤田伸, 1.0, 54,  -6,  -1, 4,  5.8,⑬⑫⑬, 9, 5,Ｊペガサスフラッシュ, 67,菱田裕, 1.7, 66,   4,   7, 6, 23.9,⑩⑪⑪, 9,15,Ｆピクシｰホロウ, 73,菱田裕, 1.2, 63,* 12, -24, 5,  8.3,③①①
10, 4,Ｇフリｰマインド, 53,川須栄, 2.1, 45,   1, -19,10, 67.9,②⑤⑤,10,16,Ｄタカラプリンス, 60,丸山元, 1.1, 49,  -5,  -7, 5,  8.1,⑨⑨⑧,10, 9,Ｅロレｰヌクロス, 71,秋山真, 1.8, 61,   6,   2, 4, 16.0,⑨⑩⑩,10,10,Ｅワタシマッテルワ, 73,松田大, 1.4, 62,   6, -14,11, 36.0,⑪⑬⑫
,,,,,,,,,,,,11, 6,Ｍロｰドピス, 48,伴啓太, 1.4, 50, -10,   2,13,190.0,⑮⑮⑮,11,11,Ｈゲマインシャフト, 71,川須栄, 2.6, 56,   6,  -6, 8, 36.6,⑪⑨⑨,11, 6,Ｃセシリア, 75,丸田恭, 1.5, 60,* 11, -23, 4,  8.0,②④③
,,,,,,,,,,,,12, 4,Ｏミッションコｰド, 47,柴山雄, 1.9, 41,  -3, -19,10, 79.6,⑦⑦⑥,12, 1,Ｌマンボマｰチ, 60,木幡初, 2.6, 58,   2,   3,13,246.3,⑫⑫⑫,12, 4,Ｍアガサ, 60,津村明, 1.6, 61,   5, -14,13,148.6,⑭⑭⑭
,,,,,,,,,,,,13,10,Ｉプｰドルデコｰル, 50,荻野琢, 2.1, 37,*  0, -29,11, 98.3,②②②,,,,,,,,,,,,,13,14,Ｎフジドリｰム, 59,丹内祐, 1.8, 61,  -4,*  4,15,277.6,⑮⑮⑮
,,,,,,,,,,,,14, 7,Ｈスｰサンタイガｰ, 53,上村洋, 2.7, 33,  -3, -31,12,130.8,⑫⑩⑪,,,,,,,,,,,,,14,12,Ｏダブルファンタジｰ, 55,大野拓, 1.9, 56,   9, -27,12, 41.2,⑦⑥⑧
,,,,,,,,,,,,15, 3,Ｋテルミニスト, 48,菅原隆, 3.1, 30,  -3, -38,14,199.8,③④⑭,,,,,,,,,,,,,15,13,Ｈマコトサンパギｰタ, 68,藤田伸, 3.2, 46,   6, -41, 6, 13.5,⑫⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,
"単勝:2,640円 複勝:10=460円 01=420円 07=110円 枠連:5,480円",,,,,,,,,,,,単勝:330円 複勝:02=150円 12=150円 09=140円 枠連:660円,,,,,,,,,,,,単勝:180円 複勝:03=110円 07=120円 02=310円 枠連:190円,,,,,,,,,,,,"単勝:550円 複勝:05=190円 07=610円 01=160円 枠連:1,660円",,,,,,,,,,,
"馬連:14,720円 ワイド:01-10=2,510円 07-10=650円 01-07=590円",,,,,,,,,,,,馬連:920円 ワイド:02-12=360円 02-09=360円 09-12=330円,,,,,,,,,,,,馬連:210円 ワイド:03-07=130円 02-03=640円 02-07=680円,,,,,,,,,,,,"馬連:3,290円 ワイド:05-07=2,220円 01-05=420円 01-07=1,310円",,,,,,,,,,,
"馬単:29,550円 3連複:4,840円 3連単:91,690円",,,,,,,,,,,,"馬単:1,290円 3連複:1,090円 3連単:5,100円",,,,,,,,,,,,"馬単:380円 3連複:1,250円 3連単:4,620円",,,,,,,,,,,,"馬単:11,710円 3連複:6,340円 3連単:55,100円",,,,,,,,,,,
