13年 4月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂダイアゴナルクロス, 62,三浦皇,, 65,* -3,*  6, 8, 33.2, ②②, 1,10,Ｂパシャドｰラ, 61,横山典,, 64,* -8,   4, 1,  2.8,③③⑤, 1,12,Ｄポップジェムズ, 61,三浦皇,, 79,   1,* 11, 3,  4.9, ⑨⑨, 1,12,Ｍゴｰルデングロｰブ, 73,武豊  ,, 90,   0,* 18, 8, 30.6,⑨⑪⑩
 2, 5,Ｈエタｰナルヒｰロｰ, 51,石橋脩, 0.2, 66,  -8,* 13,13,157.3, ⑪⑪, 2, 7,Ｈヤマニンシェリル, 51,内田博, 0.2, 62,* -6,  -2, 8, 18.6,②②②, 2, 9,Ｅカケダシ, 61,横山典, 0.1, 75,   2,*  8, 2,  4.0, ⑧⑧, 2, 6,Ｉジェントルマン, 84,戸崎圭, 0.0, 89,  -1,* 21, 3,  5.7,⑩⑫⑫
 3,15,Ｅラルゴスパｰダ, 59,戸崎圭, 0.4, 61,  -5,   5, 1,  2.6, ⑩⑦, 3,12,Ｃアンバｰドリｰム, 61,三浦皇, 0.4, 65, -10,*  5, 2,  3.3,⑧⑩⑩, 3, 2,Ｆユキノユウダン, 60,戸崎圭, 0.7, 69,   4,  -3, 4, 10.0, ③③, 3, 8,Ａカネトシマｰシャル, 91,国分優, 0.1, 88,   1,  13, 5, 11.6,⑥⑦⑥
 4,13,Ａナムラマンジロウ, 65,武豊  , 0.8, 60,* -3,   0, 3,  3.7, ⑥④, 4, 8,Ｊリボントリコロｰル, 49,福永祐, 0.4, 64, -10,   4, 5, 13.6,⑥⑥⑧, 4, 8,Ａケンブリッジサン, 71,杉原誠, 0.7, 70,*  5,  -6, 1,  2.7, ②②, 4, 2,Ｂジョングルｰル, 89,蛯名正, 0.2, 85,*  3,  11, 1,  2.2,③⑤⑤
 5, 4,Ｄトｰセンワイルド, 61,武士沢, 0.9, 61,  -6,   3, 7, 28.6, ⑧⑨, 5,13,Ｅミュｰル, 55,田辺裕, 0.6, 65, -12,*  9,10, 53.2,⑭⑮⑮, 5, 5,Ｂムｰドティアラ, 63,内田博, 0.8, 69,   0,   4, 7, 17.3, ⑫⑪, 5, 5,Ｇエックスマｰク, 84,福永祐, 0.3, 87,   0,  14, 2,  4.1,⑧⑨⑨
 6, 8,Ｃカフェシリウス, 62,内田博, 1.3, 56,  -5,  -3, 2,  3.3, ⑦⑥, 6,14, エアコダリｰ,---,戸崎圭, 0.6, 63, -12,*  9, 4, 12.8,⑮⑯⑯, 6, 1,Ｃエスユｰハリケｰン, 62,江田照, 0.9, 67,   2,  -3, 6, 14.5, ⑦⑦, 6,11,Ｃネオブラックダイヤ, 86,北村宏, 0.3, 86,   0,  15, 9, 54.9,⑫⑩⑪
 7, 3,Ｇマルヨファスリエフ, 56,杉原誠, 1.3, 57,* -3,  -6,11, 83.6, ①①, 7,18,Ａワナビｰザベスト, 62,石橋脩, 0.6, 60,  -9,  -1, 3,  7.4,⑦⑦⑥, 7,11,Ｇドラグレスク, 60,武豊  , 0.9, 66,*  6, -11, 5, 11.1, ①①, 7,10,Ｋマｰブルデイビｰ, 77,吉田豊, 0.4, 87,  -1,  16,11, 83.4,⑬⑬⑬
 8,14,Ｉセイウンミｰナ, 50,吉田豊, 1.5, 56,  -6,  -2,14,163.1, ⑨⑩, 8,15,Ｎカドリｰユ, 41,北村宏, 0.8, 60, -12,   3, 7, 17.1,⑫⑫⑫, 8, 4,Ｈベストブレｰン, 59,吉田豊, 1.0, 67,  -2,   2,10, 32.8, ⑩⑫, 8,13,Ｌスノｰドン, 77,石橋脩, 0.4, 81,*  4,   4,12,111.2,⑦②②
