13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 1月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 1,Ｋウォｰタｰシュｰト, 49,佐久間, 2.9, 45,  -8,  -8,14,131.4, ⑫⑫,,,,,,,,,,,,,13,14,Ｏエｰティｰオヤブン, 55,幸英明, 2.0, 55,  -5,   0, 8, 20.3, ⑪⑫,,,,,,,,,,,,
14,15,Ｎタイキサクセション, 43,横山和, 3.5, 38,  -9, -14,11, 68.3, ⑬⑬,,,,,,,,,,,,,14,10,Ｇカシノチョッパｰ, 69,小牧太, 2.1, 55, -10,   4, 9, 22.3, ⑯⑮,,,,,,,,,,,,
15,11,Ｍヤマイチフォルｰテ, 44,小林徹, 4.2, 30, -13, -17,16,480.1, ⑮⑮,,,,,,,,,,,,,15, 6,Ｎアスタｰポメリｰ, 59,和田竜, 3.0, 49,   4, -17,12, 77.9, ④⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｌキｰメｰル, 61,小林徹, 3.3, 44,  -3, -14,16,328.3, ⑩⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,
単勝:340円 複勝:16=130円 02=130円 03=200円 枠連:610円,,,,,,,,,,,,単勝:140円 複勝:06=110円 08=180円 11=350円 枠連:400円,,,,,,,,,,,,単勝:430円 複勝:16=150円 01=150円 15=200円 枠連:410円,,,,,,,,,,,,単勝:340円 複勝:04=150円 08=410円 01=230円 枠連:300円,,,,,,,,,,,
馬連:680円 ワイド:02-16=260円 03-16=610円 02-03=410円,,,,,,,,,,,,"馬連:490円 ワイド:06-08=240円 06-11=480円 08-11=1,150円",,,,,,,,,,,,馬連:850円 ワイド:01-16=340円 15-16=570円 01-15=460円,,,,,,,,,,,,"馬連:3,450円 ワイド:04-08=1,010円 01-04=440円 01-08=1,050円",,,,,,,,,,,
"馬単:1,410円 3連複:1,390円 3連単:7,140円",,,,,,,,,,,,"馬単:660円 3連複:2,050円 3連単:4,700円",,,,,,,,,,,,"馬単:1,680円 3連複:1,890円 3連単:9,340円",,,,,,,,,,,,"馬単:4,910円 3連複:4,560円 3連単:28,710円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1600m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,牛若丸ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,京都牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａゲｰムフェイス, 75,浜中俊,, 72,*  7,*  7, 1,  1.3,②②②, 1, 4,Ｃレッドジゼル, 60,岩田康,, 64,  -4,* -5, 1,  3.0, ③③, 1, 3, テイエムハリアｰ,,白浜雄,,,,, 1,  1.7,①①①, 1, 4,Ａハナズゴｰル, 90,浜中俊,, 92,   9,* 16, 1,  1.7, ⑫⑪
 2, 9,Ｈダイシンプロト, 50,池添謙, 0.3, 72,*  7,*  5, 6, 19.4,①①①, 2, 7,Ｂリオグランデ, 65,川田将, 0.0, 65,* -1,  -9, 5, 10.6, ①①, 2, 2, コスモソユｰズ,,五十嵐,212.4,,,, 7, 34.0,④③④, 2, 8,Ｃエｰシンメンフィス, 86,川須栄, 0.4, 88,   7,* 13, 2,  6.9, ⑭⑭
 3, 1,Ｊファｰザモア, 49,小牧太, 2.1, 57,*  6,  -9,10, 82.8,⑪④③, 3,14,Ｇシンネン, 57,ビュイ, 0.1, 62,* -1,  -9, 4,  6.4, ②②, 3, 9, スマｰトステｰジ,,横山義,213.1,,,, 5, 21.1,⑤④③, 3,10,Ｈベストクルｰズ, 82,川田将, 0.4, 87,   9,   9,10, 40.8, ⑩⑨
 4, 2,Ｅマイネルゲイナｰ, 55,三浦皇, 2.2, 58,   4,  -4, 9, 70.7,⑧⑨⑧, 4, 3,Ａサンセットスカイ, 66,浜中俊, 0.6, 57,  -5,  -9, 3,  5.8, ⑥⑦, 4,11, マサライト,,植野貴,213.4,,,,12,109.0,⑦⑤⑤, 4, 5,Ｂクィｰンズバｰン, 87,藤岡佑, 0.4, 86,* 13,   1, 5, 16.3, ①①
 5, 4,Ｃブレイヴフィｰト, 59,秋山真, 2.5, 56,   5,  -9, 3, 14.4,⑨⑦⑦, 5, 6,Ｄロングロｰア, 59,三浦皇, 0.8, 56,  -8,* -8, 8, 16.8, ⑨⑧, 5, 8, ダイシングロウ,,西谷誠,214.2,,,, 2,  3.4,②②②, 5, 6,Ｇサクラクロｰバｰ, 83,幸英明, 0.5, 87,   9,   9, 8, 22.4, ⑨⑫
 6, 6,Ｉダノンエトワｰル, 50,岩田康, 3.1, 51,   6, -16, 4, 14.9,⑤⑥④, 6, 1,Ｎセントアモｰレ, 42,荻野琢, 1.5, 48, -12, -10,14,153.3, ⑮⑭, 6,12, アグネスハイヤｰ,,林満明,214.4,,,, 6, 24.8,⑩⑨⑨, 6,12,Ｋアプリコットフィズ, 79,武豊  , 0.5, 86,   9,   7, 9, 30.7, ⑪⑩
 7, 5,Ｌクリノマッキンリｰ, 48,国分恭, 3.2, 53,   1,  -6,13,230.7,⑬⑬⑫, 7,15,Ｆフュｰチャステップ, 58,ルメｰ, 1.5, 47,  -8, -19, 6, 12.9, ⑧⑨, 7, 4, オウケンウッド,,石神深,214.6,,,, 8, 43.4,③⑥⑥, 7, 1,Ｆアカンサス, 84,三浦皇, 0.9, 82,* 12,  -1, 6, 17.0, ④④
 8,16,Ｄシャガｰルバロｰズ, 56,川田将, 3.4, 52,   4, -14, 2,  8.7,⑦⑩⑩, 8,10,Ｈエｰシンザホット, 57,和田竜, 1.7, 44,  -5, -26, 2,  5.7, ⑦⑥, 8,13, シゲルジュウヤク,,中村将,214.6,,,, 3, 13.2,⑨⑦⑦, 8, 9,Ｍフラワｰロック, 78,岩田康, 1.1, 78,* 13,  -7,11, 46.0, ②②
 9,13,Ｇスマｰトレバレッジ, 51,武豊  , 3.8, 47,   4, -19, 7, 46.3,⑥⑧⑨, 9,12,Ｉドラゴンサクラ, 56,池添謙, 1.7, 45,  -5, -26, 9, 31.3, ④⑤, 9, 1, サンレイランキング,,黒岩悠,216.0,,,,11, 95.6,⑪⑩⑩, 9,14,Ｉエｰシンリタｰンズ, 82,和田竜, 1.2, 77,* 11,  -6, 7, 20.5, ⑤⑤
10, 7,Ｂジリオン, 60,和田竜, 4.1, 47,   1, -17, 5, 15.3,⑫⑫⑪,10,11,Ｍジョウショｰピアス, 45,国分恭, 1.9, 44, -12, -17,16,254.5, ⑭⑫,10, 7, パゴダ,,高野和,219.3,,,,14,197.1,⑧⑧⑧,10, 7,Ｅアスカトップレディ, 84,酒井学, 1.3, 78,   7,   0, 4, 14.6, ⑬⑬
11, 3,Ｆディルムッド, 53,幸英明, 4.2, 44,   6, -26,11,153.5,③⑤⑥,11, 5,Ｅゴｰルデンリｰフ, 58,国分優, 2.1, 42, -12, -20,11, 38.8, ⑬⑮,11, 5, スズマｰシャル,,浜野谷,220.2,,,,10, 83.1,⑫⑪⑪,11, 3,Ｄレディアルバロｰザ, 85,ルメｰ, 1.3, 75,  10,  -6, 3, 10.3, ⑦⑧
12, 8,Ｏダイゴヒリュウ, 31,酒井学, 4.5, 48,  -1, -13,15,376.7,⑯⑮⑭,12, 8,Ｌハッピｰポケット, 45,武豊  , 2.3, 39, -11, -25,10, 35.7, ⑫⑪,,,,,,,,,,,,,12,13,Ｊシｰスナイプ, 80,藤田伸, 1.3, 76,* 11,  -7,13,119.4, ⑧⑥
