13年 4月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 4月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春光ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂビｰインラプチャｰ, 59,田中勝,, 56,  -7,*  5, 4,  7.7, ⑨⑪, 1,11, ナイク,,江田勇,,,,, 4, 14.0,③②①, 1, 9,Ａエンドレスノット, 72,蛯名正,, 67,*  3,  12, 1,  1.7, ④④, 1,14,Ｄサンライズブレット, 85,松山弘,, 86,  10,  12, 2,  3.3, ⑦⑧
 2,13,Ａアウレオｰラ, 60,吉田豊, 0.3, 53,  -4,  -4, 3,  4.3, ③③, 2,13, ガニオン,,金子光,200.7,,,, 2,  3.2,①①②, 2, 2,Ｃピオニエトウショウ, 71,内田博, 0.0, 68,*  5,  11, 6, 11.5, ①①, 2, 3,Ｂオｰルドパサデナ, 86,横山典, 0.1, 82,   9,* 14, 1,  2.3, ⑩⑩
 3,16,Ｆキャラ, 52,三浦皇, 0.6, 49,* -2,  -9,11, 63.3, ①①, 3, 3, ビｰビｰマイセン,,山本康,202.0,,,, 7, 20.5,⑦⑤⑤, 3, 8,Ｅラブリｰスタｰ, 69,福永祐, 0.3, 65,   2,  11, 4, 10.0, ⑥⑤, 3, 7,Ａビンテｰジチャｰト, 88,勝浦正, 0.1, 85,   5,* 19, 6, 19.7, ⑮⑮
 4, 1,Ｇソフトライム, 52,田辺裕, 0.6, 51,  -6,  -1, 9, 43.9, ⑪⑩, 4, 4, アスタｰコリント,,林満明,202.2,,,, 3,  4.9,④③③, 4, 7,Ｂピュアマインド, 71,戸崎圭, 0.5, 63,  -2,* 14, 5, 10.1, ⑩⑩, 4,10,Ｌスズカヴィグラス, 79,蛯名正, 0.2, 84,   9,  12, 3,  5.4, ⑨⑨
 5, 9, コウジンコラボ,---,江田照, 0.7, 52,  -9,*  2,14,261.7, ⑬⑬, 5, 5, ランブリングロｰズ,,石神深,202.4,,,, 5, 14.2,⑤④④, 5,10,Ｉベルストｰリｰ, 65,勝浦正, 0.6, 63,  -3,* 14,10, 90.1, ⑫⑫, 5, 8,Ｆダブルスタｰ, 83,柴田善, 0.3, 81,   8,  13, 4, 11.5, ⑬⑪
 6, 7,Ｄウエスタンアタック, 55,北村友, 0.8, 50,  -4,  -5,10, 44.2, ⑥⑥, 6, 6, サニｰサイレンス,,高野和,202.9,,,, 6, 19.5,⑧⑧⑧, 6,12,Ｄアポロパレス, 70,柴田善, 0.7, 61,   0,  10, 2,  7.6, ⑧⑧, 6, 9,Ｊタイガｰスラム, 80,田辺裕, 0.8, 77,* 17,  -7, 7, 27.0, ①①
 7,15,Ｌアネモステラス, 44,高倉稜, 1.0, 48,  -4,  -7, 5, 22.6, ⑦⑦, 7, 9, カワキタバルク,,鈴木慶,204.0,,,,12,217.8,⑨⑥⑥, 7, 4,Ｌメテオレイン, 63,田辺裕, 0.7, 61,*  3,   5, 9, 85.6, ②②, 7, 6,Ｍディｰエスコンドル, 79,江田照, 0.9, 78,  12,   2,10, 54.4, ⑤⑤
 8,12,Ｃホｰリｰチャリス, 56,北村宏, 1.0, 47,  -4, -10, 2,  4.3, ⑤④, 8,14, アミフジガガ,,小野寺,205.4,,,, 8, 79.6,⑩⑩⑨, 8, 5,Ｆフランスギャル, 69,吉田豊, 0.8, 62,  -3,* 13, 3,  8.1, ⑪⑪, 8, 5,Ｃクリュギスト, 85,内田博, 1.2, 75,  12,  -3, 5, 18.7, ④④
