13年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅテルミドｰル, 42,嘉藤貴,, 51,*  0,*  1, 5,  8.3, ①①, 1, 4, ブレイクチャンス,,浜野谷,,,,, 1,  2.6,①①①, 1, 6,Ｊサクライスピラｰト, 48,戸崎圭,, 68,*  5,   6, 2,  4.5, ①①, 1,10,Ｂダイワズｰム, 79,北村宏,, 81,*-12,  27, 3,  4.5,④③③
 2, 1,Ａベルプラｰジュ, 53,吉田豊, 0.1, 49,  -7,*  6, 4,  5.2, ⑥⑤, 2,11, オリオンザアルファ,,鈴木慶,182.3,,,, 4,  6.9,③③③, 2,16,Ｆストップザジョｰク, 54,田中勝, 0.8, 60,*  4,   1, 7, 16.0, ②⑤, 2, 1,Ａブリッジクライム, 80,横山典, 0.0, 82, -14,* 31, 1,  2.4,⑨⑦⑦
 3, 3,Ｃキョウエイダルク, 51,内田博, 0.2, 48,* -3,*  0, 3,  5.1, ②②, 3, 5, プレミアムパス,,五十嵐,182.4,,,, 2,  3.1,④④④, 3,14,Ａシャツカストライン, 63,内田博, 0.9, 59,*  3,   0, 1,  2.3, ③②, 3, 7,Ｇプレイ, 72,柴田大, 0.1, 79,*-11,  23, 4,  8.6,①①①
 4, 8,Ｉシゲルトオトウミ, 34,石橋脩, 0.9, 38,  -7,  -5, 8, 21.4, ⑦⑦, 4, 1, ヨドノエｰス,,草野太,182.4,,,, 8, 26.6,⑤⑤⑤, 4, 9,Ｅアキノアッパｰ, 55,石橋脩, 1.1, 57, -15,* 14, 5, 11.4, ⑬⑫, 4, 6,Ｅリルバイリル, 78,戸崎圭, 0.2, 80, -15,  30, 5,  9.4,⑧⑧⑧
 5,10,Ｆディアキンカク, 41,戸崎圭, 1.3, 32,* -4, -14, 2,  4.0, ④③, 5, 7, トｰセンタイガｰ,,小野寺,182.6,,,, 3,  6.2,⑥⑥⑥, 5,12,Ｇラフアウトラウド, 54,柴田大, 1.1, 57,  -1,   3,10, 80.4, ⑥⑥, 5, 9,Ｄトｰセンマルス, 78,内田博, 0.2, 84, -16,* 33, 6, 12.3,⑩⑩⑩
 6, 7,Ｊマイネウェリナ, 30,田辺裕, 1.5, 31, -12,  -7,10, 55.4, ⑪⑨, 6, 2, リアルクラシック,,上野翔,183.4,,,, 5, 14.5,②②②, 6,11,Ｄベルウッドジンプウ, 56,柴田善, 1.2, 56,   3,  -1, 8, 33.6, ⑤③, 6, 4,Ｃチェリｰメドゥｰサ, 79,田辺裕, 0.6, 74, -13,  22, 2,  4.4,⑤④⑤
 7,13,Ｄクラウンシンホニｰ, 45,田中勝, 1.5, 30, -11,  -9, 7, 21.4, ⑨⑩, 7, 8, リバｰオリエンタル,,大江原,183.6,,,, 9, 40.9,⑨⑧⑧, 7,13,Ｂホワイトコｰヒｰ, 58,北村宏, 1.3, 56,   3,  -2, 6, 12.2, ④④, 7, 3,Ｆトｰセンインディ, 73,江田照, 0.9, 71, -13,  19, 9, 92.7,③⑤④
 8,14,Ｍハイクロス, 21,西村太, 1.6, 29, -11, -10,11, 96.4, ⑩⑧, 8, 6, プロジェクトブルｰ,,山崎亮,183.7,,,, 6, 18.6,⑦⑦⑦, 8, 3,Ｉショウワダンディ, 50,田辺裕, 1.3, 54,  -4,   3, 4,  8.5, ⑦⑦, 8, 5,Ｈスｰパｰオｰビット, 72,吉田豊, 1.1, 70, -15,  19, 8, 62.2,⑦⑨⑨
