13年 7月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 7月 6日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,基坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂプラチナティアラ, 40,木幡初,, 59,*-12,*  3, 3,  5.4, ①①, 1, 3,Ａヴェイパｰコｰン, 68,勝浦正,, 68,*  4,   0, 1,  4.1,①①①, 1,12,Ａケイティｰズハｰト, 74,岩田康,, 76,*  4,* 10, 3,  4.7,①①①, 1,10,Ａブランダムｰル, 71,四位洋,, 74,  -8,* 19, 1,  2.8, ⑥③
 2, 6,Ａマイネジュラメント, 48,丹内祐, 0.8, 47, -16,  -3, 2,  2.6, ④②, 2, 6,Ｄレッドルｰファス, 62,四位洋, 0.6, 62,*  3,  -4, 2,  4.4,②②②, 2, 7,Ｍハヤブサペコチャン, 55,丸田恭, 0.3, 72,*  4,*  8, 9, 98.0,②②②, 2, 3,Ｇタイヨウパフュｰム, 59,秋山真, 0.4, 69,* -3,  11, 9, 74.5, ②②
 3, 3,Ｃアスカクイン, 40,丸山元, 1.2, 42, -22,  -4, 4, 14.5, ⑤⑤, 3,10,Ｇミスズブライアンズ, 58,松田大, 0.9, 62,  -1,*  3,12, 62.4,⑨⑧⑦, 3, 6,Ｅピュアダイヤモンド, 68,黛弘人, 1.1, 65,   2,   5, 5, 11.4,③④④, 3, 5,Ｉナカナカ, 59,岩田康, 0.6, 66,  -8,  11, 3,  5.2, ⑤④
 4, 4, シュヴァリエ,---,川島信, 1.4, 41, -14, -14, 1,  1.8, ②③, 4, 5,Ｆシャルパンテ, 59,上村洋, 0.9, 61,   0,  -1, 9, 21.8,⑤⑥⑥, 4, 3,Ｆコスモレイラ, 68,丹内祐, 1.2, 70,   2,   5, 8, 27.0,⑥⑦⑥, 4,12,Ｊダブルスパｰク, 57,菱田裕, 0.6, 65,  -7,   9,11, 85.1, ③⑤
 5, 5,Ｄラブゲｰム, 26,城戸義, 1.6, 38, -14, -16, 5, 33.8, ③④, 5,11,Ｊキネオストロング, 54,川須栄, 1.1, 59,   0,  -5, 4,  6.0,⑩⑤⑤, 5, 1,Ｄシンワウォッカ, 71,吉田隼, 1.3, 68,   0,   7, 6, 16.3,⑨⑪⑪, 5, 6,Ｂピグマリオン, 70,川須栄, 0.8, 65, -16,* 16, 2,  2.9, ⑨⑨
,,,,,,,,,,,, 6, 8,Ｅカシノオパｰル, 61,岩田康, 1.2, 62,  -1,   0,10, 22.4,⑦⑨⑧, 6, 4,Ｂスカｰレル, 72,三浦皇, 1.3, 68,   2,   4, 2,  3.6,⑧⑧⑦, 6, 7,Ｄマカゼコイカゼ, 67,竹之下, 0.9, 62, -15,  13, 5, 15.8, ⑩⑩
,,,,,,,,,,,, 7, 9, ジュｰルドトネｰル,---,大野拓, 1.3, 60,  -4,*  3, 5, 10.4,⑬⑭⑫, 7, 8,Ｉフィｰルドメジャｰ, 64,古川吉, 1.4, 68,   3,   1, 7, 24.0,④③③, 7, 2,Ｅレッドストラｰダ, 65,古川吉, 1.0, 60, -13,   9, 8, 40.7, ⑦⑦
,,,,,,,,,,,, 8,16,Ｋデスティニｰシチｰ, 51,秋山真, 1.5, 59,  -5,*  5, 8, 20.9,⑮⑮⑭, 8,13,Ｈシナｰラ, 66,菱田裕, 1.6, 67,   3,   0, 4,  6.4,⑦⑥⑤, 8,11,Ｃタニノマイルストン, 69,吉田隼, 1.0, 62, -19,* 16, 7, 29.4, ⑫⑪
