11年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,花園ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｌジョウノバッカス, 40,小牧太,, 59,* -5,*  2,10, 74.2,⑧③③, 1,12, ワイドバッハ,---,藤岡佑,, 62,   0,* -3, 8, 16.2, ⑧⑦, 1, 5,Ｂロｰマンレジェンド, 78,岩田康,, 74,*  1,* 16, 1,  1.9,②②②, 1, 6,Ａプリンセスペスカ, 89,幸英明,, 87,* 16,   5, 2,  4.5,⑤⑤⑤
 2, 9,Ａヘッドサクセッサｰ, 61,福永祐, 0.3, 58,* -4,  -2, 1,  1.2,③②②, 2, 3, イｰグルタイム,---,北村友, 0.4, 59,*  5, -11, 1,  4.1, ①①, 2, 8,Ｆトップオブカハラ, 73,池添謙, 0.6, 71,  -2,* 18, 4, 11.1,⑨⑨⑨, 2,11,Ｐアグネスミヌエット, 77,国分恭, 0.1, 88,  11,* 15,15,215.1,⑭⑬⑫
 3, 7,Ｄグレｰトチャｰルズ, 56,秋山真, 0.4, 57,  -6,*  2, 3, 14.2,⑫⑦⑧, 3, 6, ラプタｰフィリｰ,---,小牧太, 0.4, 54,  -9,*  2, 7, 14.4, ⑪⑪, 3, 6,Ｅオｰヴァｰジョイド, 74,酒井学, 0.8, 69,   0,  12, 5, 17.6,⑦⑥⑦, 3, 5,Ｌウインドミネｰタｰ, 84,和田竜, 0.2, 86,* 17,   2, 7, 16.9,③②②
 4, 4,Ｉコスモエスプレッソ, 45,北村友, 0.7, 55,* -4,  -3, 9, 70.4,④④④, 4, 5, キタサンテンニョ,---,芹沢純, 0.7, 56,*  3, -12,10, 38.8, ②②, 4, 1,Ｄメイショウカルロ, 75,武豊  , 0.8, 69,   1,  12, 2,  2.6,③⑤③, 4,14,Ｃクリュギスト, 88,川田将, 0.3, 85,  14,   5, 3,  4.6,⑥⑥⑦
 5, 1,Ｂペプチドキングピン, 61,和田竜, 0.9, 53,* -4,  -8, 4, 15.7,①①①, 5, 4, ピサノベッテル,---,池添謙, 0.8, 55,   1, -11, 4,  5.9, ④⑤, 5, 2,Ａマｰリンシチｰ, 78,佐藤哲, 0.9, 68,   0,  13, 7, 29.9,⑧⑦⑥, 5, 7,Ｇゴッドエンブレム, 85,浜中俊, 0.3, 85,  15,   4,11, 49.8,④④④
 6, 8,Ｆドリｰムプログラム, 48,幸英明, 1.8, 48,  -7,  -9, 7, 60.9,⑪⑪⑩, 6, 1, アルティザン,---,幸英明, 0.9, 53,*  2, -13, 9, 18.6, ③③, 6,10,Ｋタガノシュｰマン, 64,国分恭, 1.5, 63,*  2,   3, 9, 67.9,①①①, 6, 3,Ｆフォｰティファイド, 85,岩田康, 0.3, 85,  14,   5, 5, 12.3,⑧⑧⑥
 7, 6,Ｊダンツフォｰカス, 43,川田将, 2.0, 47,  -6, -11, 5, 29.5,②⑧⑫, 7,16, ハヤブサフォルテ,---,渡辺薫, 1.7, 43, -19,* -1,12,154.9, ⑯⑭, 7, 3,Ｈセトノハリケｰン, 66,北村友, 1.5, 65,  -3,  11, 8, 55.3,⑩⑪⑩, 7,10,Ｂエアペイシェンス, 88,福永祐, 0.4, 86,  11,* 12, 4, 11.7,⑫⑫⑪
 8, 5,Ｋスペクトルジｰン, 42,藤懸貴, 2.0, 47,  -8,  -8,13,425.5,⑨⑬⑬, 8, 2, パｰプルベスト,---,国分優, 1.9, 42, -11,  -9,15,222.6, ⑫⑫, 8, 4,Ｊタガノルナリロ, 66,福永祐, 1.6, 65,  -1,   7, 6, 29.7,⑥⑧⑧, 8, 9,Ｋキャプテンマジン, 84,北村友, 0.5, 84,  13,   7, 9, 27.8,⑩⑨⑨
