11年11月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月 5日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯田上特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａジョｰマダガスカル, 63,川須栄,, 52,  -8,*  6, 1,  2.0, ④③, 1, 8,Ａマルコフジ, 75,川須栄,, 70,   4,   8, 2,  3.6, ⑧⑧, 1, 6,Ｅタイトロｰプ, 69,勝浦正,, 72,*  6,  11, 5, 10.1,②②②, 1, 3,Ａヤマニンシャスｰル, 77,中舘英,, 74,  -5,* 22, 2,  4.0,⑦⑦⑦
 2, 9,Ｇメイショウジビュス, 42,松山弘, 0.3, 50,* -5,   1, 3, 10.1, ②②, 2, 9,Ｉコマンドパワｰ, 64,高倉稜, 0.3, 65,  -3,* 13, 6, 15.3, ⑫⑬, 2, 4,Ａニュｰレジェンド, 75,吉田隼, 0.1, 71,   4,  13, 1,  1.7,③③③, 2, 8,Ｂサダルメリク, 74,古川吉, 0.1, 70,* -3,  18, 1,  2.6,③④③
 3, 1,Ｂトキノワイルド, 51,平野優, 0.8, 46,* -4,  -4, 2,  3.2, ①①, 3, 5,Ｌイチドラゴン, 59,畑端省, 0.3, 69,   9,   1,11,130.5, ②②, 3, 3,Ｂサｰノ, 73,太宰啓, 0.5, 69,   4,  12, 4,  9.4,④④④, 3, 4,Ｇマリブスタｰ, 70,川須栄, 0.4, 68,* -4,  14, 4,  6.2,②②②
 4, 2,Ｃエスペラｰル, 45,丸田恭, 1.0, 43, -16,*  6, 9, 51.8, ⑪⑪, 4,11,Ｈキルシュバウム, 65,丸田恭, 0.4, 66,   2,   8, 7, 26.4, ⑩⑩, 4, 7,Ｆエアギベオン, 68,松山弘, 0.5, 71,   2,* 15, 3,  6.6,⑧⑧⑦, 4, 7,Ｃメイショウテキｰラ, 74,高倉稜, 0.4, 71,  -4,  17, 3,  5.4,⑥⑥⑤
 5,15,Ｄグレン, 44,吉田隼, 1.2, 42, -13,   0, 7, 21.2, ⑨⑧, 5,12,Ｃタイキルネサンス, 74,大野拓, 0.5, 66,* 10,  -2, 3,  4.1, ④④, 5, 8,Ｇラルゴ, 64,津村明, 0.6, 68,   3,  10, 6, 11.9,⑤⑤⑤, 5, 5,Ｄアキノグロｰブ, 73,大野拓, 0.5, 69,  -5,  18, 6, 13.5,⑧⑧⑧
 6, 8,Ｈボｰイフレンド, 39,松田大, 1.4, 43, -10,  -3, 5, 14.8, ⑦⑦, 6, 1,Ｆメイショウテッペイ, 65,森一馬, 0.6, 63,  -1,   7, 9, 39.6, ⑪⑪, 6, 2,Ｃタガノキャプテン, 72,高倉稜, 1.1, 67,   1,  10, 7, 64.4,⑦⑦⑧, 6, 2,Ｈヒノモトイチバン, 67,津村明, 0.7, 67,  -4,  14, 9, 51.0,④③④
 7, 4,Ｆブラックリベリオン, 42,大野拓, 1.9, 36, -14,  -4, 4, 13.3, ⑩⑩, 7, 4,Ｄセトノジャｰニｰ, 68,柴山雄, 0.8, 64,* 10,  -4, 5, 14.2, ③③, 7, 1,Ｄアキノモｰグル, 70,川須栄, 1.2, 62,*  6,   0, 2,  5.8,①①①, 7, 1,Ｉピヴォワｰヌ, 34,太宰啓, 0.9, 64,* -3,  10, 7, 20.4,①①①
 8, 3,Ｅサマｰヴィクトリア, 44,太宰啓, 2.0, 34, -22,   2, 8, 32.2, ⑭⑬, 8, 3,Ｅラッシュザワｰク, 67,平野優, 0.9, 61,   1,   3, 4, 12.6, ⑨⑨, 8, 5,Ｈヨシステップ, 62,大野拓, 2.3, 56,   4,  -4, 8, 92.9,⑥⑥⑥, 8, 6,Ｆコイスキャｰレ, 71,柴山雄, 1.3, 62,  -5,   9, 8, 47.5,⑤⑤⑥
