11年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ2100m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,晩秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｈティティカカ, 49,丸山元,, 59,*  0,  -4, 8, 17.0, ③③, 1, 1, アサティスボｰイ,,穂苅寿,,,,, 3,  4.8,⑦③③, 1, 3, ヴァリアシオン,---,メンデ,, 57, -24,* 11, 1,  1.9, ③④, 1, 3,Ｃコスタパルメｰラ, 82,吉田豊,, 81,* 10,   9, 2,  3.5,①①①
 2,10,Ｍスパｰクオンアイス, 46,デムｰ, 0.0, 56,*  0,  -5, 1,  3.5, ②②, 2, 3, ホｰカｰシｰホｰク,,金子光,206.7,,,, 7, 26.9,①①①, 2,11, ナカヤマアンジュ,---,柴田善, 0.3, 56, -27,* 11, 7, 23.8, ⑩⑩, 2,12,Ｉオメガスカイツリｰ, 78,横山典, 0.0, 82,   8,* 13, 1,  3.0,⑩⑤⑥
 3, 7,Ｃフジキラメキ, 53,横山典, 0.1, 59, -10,* 12, 7, 15.5, ⑯⑯, 3, 5, ブルｰマｰテル,,五十嵐,206.8,,,, 1,  1.9,④②②, 3, 7, アンバサドゥｰル,---,津村明, 0.4, 51, -24,   7, 8, 41.7, ⑤⑤, 3,15,Ｅパクサ, 82,武士沢, 0.2, 82,   6,* 15, 4,  9.7,⑬⑬⑪
 4, 3,Ｂダイワフェリス, 53,武士沢, 0.1, 58,  -2,  -2, 2,  4.8, ⑦⑥, 4, 6, トｰセンオｰパス,,横山義,206.8,,,, 2,  4.7,⑥⑦④, 4, 1, リバｰオリエンタル,---,吉田豊, 0.4, 53, -27,* 10, 4,  7.4, ⑧⑧, 4,13,Ｆキャッツインブｰツ, 82,メンデ, 0.5, 79,*  8,   7, 8, 24.1,④③④
 5, 8,Ｋタニセンヴォイス, 47,武豊  , 0.1, 59,  -1,  -4, 4,  6.2, ⑤⑤, 5,14, スｰパｰティチャｰ,,大江原,206.8,,,, 9, 36.6,⑨⑧⑥, 5, 5, グラスメジャｰ,---,蛯名正, 0.7, 46,*-22,  -4, 2,  5.3, ②②, 5, 8,Ａキャトルマン, 83,柴山雄, 0.8, 78,   7,   9,14,119.6,⑧⑩⑨
 6, 5,Ｇトゥルｰマｰトル, 49,吉田豊, 0.4, 55,   0,  -5, 6, 13.8, ④④, 6, 4, アイノカゼ,,平沢健,207.1,,,, 8, 27.7,②④⑦, 6, 6, ヤマニンネレイス,---,柴山雄, 0.7, 46,*-23,  -2,10, 48.8, ④③, 6,14,Ｇアルファオリオン, 81,田中勝, 1.3, 75,   5,   8,12, 83.0,⑫⑫⑫
 7, 4,Ｆセイカフォルトゥナ, 49,石橋脩, 0.7, 53,*  0, -11, 9, 30.4, ①①, 7,13, メジロサンノウ,,江田勇,208.2,,,, 6, 20.4,⑬⑪⑩, 7, 4, アポロマｰベリック,---,武豊  , 0.9, 42,*-22,  -7, 3,  7.4, ①①, 7,16,Ｈルシャンベルタン, 79,丸山元, 1.4, 76,   4,   9, 7, 19.9,⑮⑮⑮
 8,14,Ｌコスモディクタット, 46,柴田大, 0.8, 58,  -5,  -2,12, 74.4, ⑬⑫, 8, 8, ハツノボリ,,山本康,208.3,,,,14,166.4,⑧⑨⑧, 8, 2, マホウノランプ,---,武士沢, 1.2, 43, -28,   1,12,186.1, ⑫⑫, 8, 6,Ｎプロヴィデンス, 75,三浦皇, 1.4, 74,   7,   3, 6, 12.3,⑪⑨⑧
