11年12月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011ｺﾞｰﾙﾃﾞﾝ ｻﾄﾞﾙ ﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｐハタノヴァンクｰル, 37,四位洋,, 70,*  2,*  3, 2,  4.0,⑬④②, 1, 7, タッチマイハｰト,,小坂忠,,,,, 2,  3.4,①①①, 1, 4,Ｅタガノキャプテン, 64,国分恭,, 81,* -7,* 18, 6, 52.4,②②②, 1,15,Ｄオｰセロワ, 75,吉原寛,, 74,*  9,   5, 6, 10.6, ①①
 2,16,Ｇブリスコｰラ, 53,岩田康, 0.7, 65,   0,*  2, 7, 18.7,⑧⑧⑦, 2,12, ディアプリンシパル,,北沢伸,203.1,,,, 4,  7.0,⑤⑤④, 2, 1,Ａネオブラックダイヤ, 78,川田将, 0.0, 81,* -7,* 18, 2,  3.3,④④③, 2, 4,Ｋキョウエイアシュラ, 72,メンデ, 0.1, 75,   5,* 12, 7, 12.7, ⑧⑧
 3,15,Ａマラネロ, 69,武豊  , 0.9, 64,   1,* -2, 1,  2.6,③⑤⑤, 3,11, テイエムライジン,,難波剛,203.2,,,, 5, 13.1,⑦⑥⑤, 3, 2,Ｃアドマイヤカｰリン, 73,岩田康, 0.2, 81,* -7,* 18, 1,  1.7,①③④, 3,12,Ｇシャイニｰホｰク, 74,横山典, 0.1, 73,   5,*  9, 1,  4.3, ⑥⑥
 4, 8,Ｃスマｰトステラ, 65,蛯名正, 1.2, 61,*  3,  -8, 4,  7.4,②①①, 4, 9, オンワｰドデュｰク,,熊沢重,203.6,,,, 1,  3.0,②②②, 4, 3,Ｄマイティｰジュニア, 67,吉原寛, 0.3, 79,* -7,  16, 5, 14.2,⑤⑥⑤, 4, 5,Ｍドレッドノｰト, 71,プレブ, 0.2, 73,* 10,   4, 4,  7.9, ②②
 5,10,Ｆキタサンシンガｰ, 56,小牧太, 1.6, 58,   1,  -8, 5, 14.4,⑫⑦⑥, 5, 2, アスカノバッハ,,白浜雄,204.7,,,, 3,  5.2,⑩⑨⑨, 5, 5,Ｂシンボリボルドｰ, 77,横山典, 0.5, 79,  -8,* 18, 3,  6.5,⑥⑤⑥, 5, 1,Ｅニジブルｰム, 74,岩田康, 0.3, 71,   7,   5, 5,  8.3, ④④
 6,12,Ｅブライトポジｰ, 60,北村友, 2.3, 54,*  3, -16,12,182.1,⑤③④, 6, 8, ニシノラブキング,,中村将,205.0,,,, 8, 32.3,④③③, 6, 6,Ｆクｰガｰストリｰト, 60,デムｰ, 0.8, 71,* -5,   5, 4, 10.3,③①①, 6, 6,Ｃリアルハヤテ, 75,川田将, 0.4, 73,   6,   7,10, 35.5, ⑦⑦
 7,11,Ｊシゲルスイカ, 49,中村将, 2.6, 53,  -2, -10,13,197.6,⑪⑩⑩, 7,10, キクノセンヒメ,,今村康,205.1,,,, 9, 51.1,⑥⑦⑥,,,,,,,,,,,,, 7, 8,Ｆスティルゴｰルド, 74,ムルタ, 0.5, 70,   3,   8, 8, 13.5, ⑩⑨
 8, 9,Ｉナイク, 50,川島信, 2.7, 53,  -3,  -7,11,179.3,⑭⑭⑫, 8, 6, フミノフェイマス,,岩崎祐,205.8,,,,14,249.0,⑧⑧⑦,,,,,,,,,,,,, 8,13,Ｉメルシｰヨｰク, 73,蛯名正, 0.5, 71,   5,   7, 9, 16.8, ⑪⑩
 9, 7,Ｂカｰバ, 69,福永祐, 2.8, 51,*  2, -21, 3,  4.4,⑥②③, 9, 4, アラタマポケット,,水出大,205.8,,,,11, 77.8,⑪⑩⑩,,,,,,,,,,,,, 9,11,Ａテイラｰバｰトン, 80,ドミン, 0.5, 69,*  8,   1, 2,  4.4, ③③
10,14,Ｈジョウショｰサニｰ, 52,国分恭, 2.8, 51,   0, -15, 8, 36.2,⑨⑥⑧,10, 5, ウォｰタｰリコシェ,,田嶋翔,209.7,,,,13,152.9,⑫⑫⑪,,,,,,,,,,,,,10, 2,Ｂホクセツダンス, 77,ノレン, 0.5, 69,   7,   3, 3,  7.5, ⑤⑤
11, 5,Ｍドラゴンフライ, 41,吉原寛, 3.9, 45,  -2, -20,10,120.1,⑮⑪⑪,11,13, エスジｰストリｰム,,林満明,210.0,,,, 6, 14.6,③④⑧,,,,,,,,,,,,,11, 9,Ｌアルｰリングムｰン, 71,池添謙, 0.6, 70,   0,* 12,14, 58.0, ⑮⑭
