11年10月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａケビンドゥ, 55,川須栄,, 57,*  6,* -1, 1,  2.7, ①①, 1,11,Ｅパライバトルマリン, 71,宮崎北,, 71,*  7,*  5, 6, 11.0, ①①, 1, 2,Ｉゴｰルデングロｰブ, 66,高倉稜,, 81,  14,*  4, 8, 17.1, ⑫⑩, 1, 3,Ｃメイショウスピｰド, 70,吉田隼,, 72,*  5,   5, 8, 29.9,②②②
 2,10,Ｃミヤジガンバレ, 51,柴山雄, 1.1, 45,   2,  -7,11, 49.5, ⑦⑤, 2,15,Ａシャトルアップ, 75,杉原誠, 0.3, 69,*  6,   3, 3,  5.4, ②②, 2,11,Ｃエスカナｰル, 71,中舘英, 0.0, 81,* 17,* -3, 2,  3.9, ⑤④, 2, 2,Ｉジョンブルクリス, 65,中舘英, 0.2, 70,*  5,   0, 4,  6.9,①①①
 3, 4,Ｈウインガイア, 44,津村明, 1.2, 45,   1,  -6,10, 43.7, ⑧⑧, 3, 1,Ｃリバｰサルブロｰ, 74,木幡初, 0.4, 68,   5,   4, 5,  9.4, ④④, 3,12,Ｇレイクメリット, 67,木幡初, 0.6, 73,  16,  -9, 5, 10.3, ⑧⑥, 3, 5,Ｂシンボリニｰス, 74,大野拓, 0.2, 73,   1,* 11, 3,  5.8,③③③
 4, 2,Ｄコスモディクタット, 49,丹内祐, 1.3, 44,  -1,* -5, 5, 11.5, ⑩⑩, 4, 2,Ｉウォｰタｰサウンド, 66,吉田隼, 0.7, 65,   3,   3,12, 44.2, ⑧⑧, 4, 8,Ｄジュヴェビアン, 71,松山弘, 0.8, 72,  16,  -9, 7, 12.1, ⑦⑨, 4, 8,Ｅメイショウオオワシ, 68,柴山雄, 0.8, 68,   0,   9, 7, 22.0,⑨⑧⑧
 5, 3,Ｍメイショウバロン, 35,古川吉, 1.6, 40,   2, -12, 4,  7.4, ⑥⑦, 5, 7,Ｈブロックコｰド, 67,丸田恭, 0.9, 63,  -2,*  6, 7, 16.2, ⑪⑪, 5, 7,Ｂモエレアイドル, 72,田辺裕, 0.8, 73,  15,  -6, 3,  6.9, ⑮⑮, 5, 4,Ｇミケランジェロ, 66,宮崎北, 0.8, 68,   0,   9, 9, 86.2,⑥⑦⑦
 6,14,Ｌスピｰディｰドｰタ, 35,田辺裕, 1.6, 43,*  5, -14, 2,  4.1, ③③, 6, 9,Ｄエヴァ, 73,村田一, 1.0, 63,  -1,   4, 2,  4.2, ⑩⑨, 6, 1,Ｅメジロカトリｰヌ, 70,黛弘人, 0.8, 74,  13,  -5, 6, 10.5, ⑪⑫, 6,10,Ａエイシンブイダンス, 76,田辺裕, 0.8, 66,   1,   4, 1,  2.5,⑦⑥⑤
 7, 9,Ｆシｰキングザスタｰ, 47,吉田隼, 1.7, 42,*  5, -15, 6, 17.5, ②②, 7, 8,Ｂニシノブイシェｰプ, 74,勝浦正, 1.1, 62,*  6,  -3, 1,  3.9, ③③, 7, 4,Ｆセミニョン, 68,平野優, 1.0, 70,  14, -10, 9, 32.8, ⑥⑧, 7, 1,Ｊサイドアタック, 65,藤岡康, 0.8, 66,   1,   4, 2,  3.3,④④⑥
 8, 6,Ｉドルモン, 43,嘉藤貴, 1.8, 37,  -5,  -7, 7, 22.5, ⑬⑫, 8,10,Ｇエステｰラブ, 68,田辺裕, 1.2, 61,  -4,*  6, 8, 19.1, ⑭⑭, 8,16,Ｌオｰクヒルパｰク, 62,藤岡康, 1.2, 67,  16, -18,10, 34.6, ④⑤, 8, 9,Ｄガリアｰノ, 68,丸田恭, 0.9, 68,   0,   9, 5, 11.6,⑩⑨⑨
 9,11,Ｊキングスバｰン, 42,的場勇, 1.9, 39,  -4,  -9,12, 68.9, ⑫⑬, 9, 4,Ｌカノヤキャプテン, 58,松山弘, 1.3, 60,   3,  -2,15,139.6, ⑦⑦, 9, 9,Ｋクレバｰホｰク, 63,大野拓, 1.3, 69,  15, -15,11, 35.7, ⑬⑬, 9, 7,Ｈゼロｰソ, 65,赤木高, 0.9, 68,  -1,* 12, 6, 20.9,⑧⑩⑩
10,12,Ｎヤングエイト, 33,高倉稜, 2.0, 38,  -5,  -7, 8, 25.2, ⑭⑭,10, 6,Ｊナリタシｰズン, 65,西村太, 1.3, 60,   4,  -3, 4,  7.9, ⑥⑥,10,14,Ａシルクプロミス, 74,吉田隼, 1.7, 64,* 19, -29, 4,  8.9, ②②,10, 6,Ｆスペｰスシャトル, 68,西田雄, 1.6, 58,   1,  -7,10,129.8,⑤⑤④
