11年11月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛揚特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂサンマルリジイ, 51,松山弘,, 44,*  3, -11, 1,  3.2,①①①, 1, 1,Ｃヤマチョウフェア, 73,津村明,, 73,*  6,   6, 2,  2.9,①①①, 1,18,Ｋシｰクレットベｰス, 68,高倉稜,, 76,   3,*  8, 9, 24.8, ⑭⑭, 1, 8,Ｂリネンパズル, 73,村田一,, 76,  -1,*  8, 2,  4.6,   
 2, 2,Ａエｰシンフルハウス, 60,津村明, 0.2, 43,   1,* -8, 3,  3.9,⑤⑥⑤, 2, 4,Ｅヒノモトイチバン, 71,国分優, 0.0, 76,   3,* 13, 8, 52.9,③⑤⑤, 2,11,Ｉアルトゥバン, 69,松山弘, 0.0, 75,   4,*  5,11, 33.1, ⑧⑧, 2, 7,Ｃテイエムアモｰレ, 72,小林慎, 0.0, 76,*  3,   5, 9, 19.1,   
 3,10,Ｃスパｰクオンアイス, 46,川須栄, 0.4, 41,*  3, -13, 2,  3.5,③②②, 3, 8,Ａキンショｰダンデｰ, 79,川須栄, 0.1, 74,   4,  10, 1,  2.2,④④③, 3,16,Ｃメイショウセトウチ, 74,田嶋翔, 0.1, 75,*  7,   1, 3,  5.5, ⑤⑤, 3,11,Ａメリｰチャン, 75,柴山雄, 0.2, 73,*  6,   1, 1,  3.5,   
 4, 4,Ｄウィッシュガバナｰ, 46,荻野琢, 0.7, 43,   0,* -9, 6, 14.1,⑥⑦⑦, 4, 6,Ｄシｰズガレット, 72,藤懸貴, 0.2, 72,*  6,   5, 3,  6.8,⑧②②, 4,10,Ｈインプレッシヴデイ, 69,木幡初, 0.1, 74,   1,*  9,15, 90.3, ⑮⑮, 4,16,Ｍグリュｰネワルト, 65,中舘英, 0.2, 74,  -1,   5, 5, 13.4,   
 5, 6,Ｋタマモチャチャチャ, 23,吉田隼, 1.0, 39,   0, -11, 5, 14.0,⑦⑧⑨, 5, 2,Ｈメイショウボヌス, 68,高倉稜, 0.4, 73,   2,* 12, 7, 32.0,⑤⑥⑥, 5, 1,Ｅランパスインベガス, 72,川須栄, 0.2, 74,   4,   3, 2,  4.4, ⑦⑦, 5, 2,Ｇサンマルヘイロｰ, 69,大野拓, 0.2, 74,  -1,   5, 8, 18.1,   
 6, 9,Ｌファニｰフェイス,-37,国分優, 1.5, 35,*  2, -21, 9, 53.0,⑨③③, 6, 9,Ｆシベリアンファクト, 71,西田雄, 0.9, 70,   0,  11, 4, 12.3,⑨⑨⑨, 6, 9,Ａドリｰムバスケット, 75,大野拓, 0.4, 72,*  8,  -7, 1,  4.2, ②②, 6,17,Ｈブラウンマシｰン, 69,酒井学, 0.3, 72,  -5,   6, 4, 11.0,   
 6, 7,Ｆボｰナラテルツァ, 42,中舘英, 1.5, 36,  -2, -13, 4,  7.9,⑪⑨⑧, 7,10,Ｂディアトゥドリｰム, 74,村田一, 1.1, 69,   2,   6, 5, 14.0,⑥⑦⑦, 7, 8,Ｇキャニオンブラウン, 71,松田大, 0.4, 71,   4,   0,10, 31.5, ⑪⑩, 7,12,Ｊスギノブロッサム, 68,高倉稜, 0.3, 74, -18,* 16,13, 35.9,   
 8, 1,Ｉホクセツロｰズ, 37,丹内祐, 2.2, 33,  -4, -15,12,115.4,⑫⑫⑫, 8,11,Ｇワキノブライアン, 69,太宰啓, 1.3, 68,  -2,  10, 6, 15.1,⑩⑩⑩, 8,14,Ｄサトノペガサス, 74,丸田恭, 0.5, 69,   0,*  5, 5, 13.7, ⑰⑰, 8, 6,Ｐフレイヤ, 61,丹内祐, 0.4, 70,  -5,   5,15, 51.2,   
 9, 3,Ｈプロｰシャ, 37,平野優, 2.2, 31,   0, -25,10, 64.4,④④④, 9, 5,Ｋリリｰスバｰジョン, 54,丸田恭, 1.4, 66,   0,   7, 9, 68.2,⑦⑧⑧, 9, 5,Ｌセレスロンディｰ, 67,横山和, 0.5, 69,   4,  -3, 8, 19.0, ⑥⑥, 9,18,Ｌフレデフォｰト, 67,吉田隼, 0.6, 68,  -1,   0, 3,  6.2,   
10, 5,Ｊカシノシャムロック, 33,高倉稜, 3.4, 23,  -4, -26, 7, 21.1,⑩⑪⑪,10, 3,Ｉワンダｰストラ, 66,水口優, 1.4, 65,   3,  -1,10, 84.5,②③④,10,13,Ｊハイフィｰルド, 69,酒井学, 0.5, 70,   3,   2, 7, 17.7, ⑬⑬,10,10,Ｋフラッパｰミク, 68,古川吉, 0.6, 66,*  3,  -3,10, 28.4,   
11, 8,Ｅオンワｰドリベルタ, 43,大野拓, 3.5, 22,   1, -35, 8, 25.8,②⑤⑥,11, 7,Ｊサニｰダニエル, 59,平野優, 5.2, 42,  -3, -22,11,143.6,⑪⑪⑪,11,17,Ｍヒルトップシｰン, 65,国分優, 0.6, 68,   4,  -3,14, 73.4, ⑩⑪,11, 4,Ｆヘイハチキング, 70,川須栄, 0.6, 68,   2,  -2, 6, 14.7,   
12,11,Ｇケイツｰナンナ, 40,千葉直, 3.7, 22,  -3, -30,11,103.6,⑧⑩⑩,,,,,,,,,,,,,12,12,Ｂマイネルマルシェ, 75,丹内祐, 0.9, 66,*  7, -13, 4,  5.7, ③③,12, 9,Ｄメジロガストン, 71,黛弘人, 0.6, 68, -10,   6, 7, 15.6,   
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｏシゲルシャチョウ, 61,太宰啓, 1.1, 61,   2,  -7,13, 45.0, ⑫⑫,13, 5,Ｉオｰルエモｰション, 69,西田雄, 0.7, 67,  -9,   4,11, 34.0,   
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｆマイネルゴラッソ, 72,津村明, 1.1, 61,   5, -13, 6, 16.4, ④④,14,15,Ｏブラウニｰサンクス, 61,丸田恭, 1.1, 60,  -8,  -1,16, 62.1,   
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｎトｰホウカクテル, 62,吉田隼, 1.3, 62,  -3,  -1,17,128.8, ⑱⑱,15, 3,Ｎフレンドサンポウ, 61,横山和, 1.1, 59, -13,   1,17,169.8,   
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｒトリステｰザ, 27,的場勇, 1.6, 57,   4, -17,18,242.0, ⑨⑨,16,14,Ｅダｰクシャナオｰ, 70,太宰啓, 1.2, 57,*  6, -13,14, 45.6,   
,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｑトップスマイル, 58,中舘英, 1.8, 58,   1, -12,16,123.7, ⑯⑯,17, 1,Ｑキチロクアナン, 58,二本柳, 1.4, 55, -21,   2,18,379.7,   
,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｐナリタキングロｰド, 59,村田一, 1.9, 51,*  8, -31,12, 39.8, ①①,18,13,Ｒクラウンフィデリオ, 55,宮崎北, 1.4, 54, -13,  -3,12, 34.8,   
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,
単勝:320円 複勝:12=120円 02=130円 10=130円 枠連:460円,,,,,,,,,,,,"単勝:290円 複勝:01=140円 04=400円 08=110円 枠連:10,660円",,,,,,,,,,,,"単勝:2,480円 複勝:18=630円 11=590円 16=240円 枠連:1,200円",,,,,,,,,,,,"単勝:460円 複勝:08=180円 07=470円 11=140円 枠連:4,700円",,,,,,,,,,,
馬連:490円 ワイド:02-12=220円 10-12=240円 02-10=360円,,,,,,,,,,,,"馬連:8,850円 ワイド:01-04=1,560円 01-08=210円 04-08=1,120円",,,,,,,,,,,,"馬連:30,140円 ワイド:11-18=7,640円 16-18=1,690円 11-16=1,960円",,,,,,,,,,,,"馬連:4,150円 ワイド:07-08=1,170円 08-11=320円 07-11=1,240円",,,,,,,,,,,
"馬単:880円 3連複:670円 3連単:2,860円",,,,,,,,,,,,"馬単:11,030円 3連複:3,500円 3連単:37,250円",,,,,,,,,,,,"馬単:67,090円 3連複:45,720円 3連単:403,470円",,,,,,,,,,,,"馬単:7,430円 3連複:3,890円 3連単:31,000円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒埼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
