11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 7,Ｋバトルオスマン, 27,国分恭, 2.2, 33,  -9, -13,10,101.1,⑨⑪⑫,11,13,Ｃプリサイストップ, 75,高倉稜, 1.4, 61,  11, -12, 3,  6.6, ⑤⑤,,,,,,,,,,,,,11, 1,Ｊショウナンタイリン, 64,浜中俊, 1.0, 64,*  5,  -8,10, 73.9, ①①
12, 8,Ｅアキノサフラン, 46,酒井学, 3.0, 25,  -6, -32,13,233.5,⑤⑦⑨,12, 5,Ｌデンコウウインディ, 62,大下智, 1.5, 57,   4,  -7,13,250.9, ⑬⑪,,,,,,,,,,,,,,,,,,,,,,,,
13, 2,Ｈメイショウバクフウ, 41,池添謙, 3.6, 20, -10, -31, 8, 18.6,⑫⑬⑬,13,12,Ｊレスタｰビｰト, 65,ピンナ, 2.0, 57,* 13, -20, 7, 24.9, ③④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,14,Ｍバルデッツァ, 61,酒井学, 2.1, 54,  10, -18, 9, 50.5, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｏディアセイレｰン, 41,藤岡康, 3.6, 40,   5, -26,15,416.5, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,180円 複勝:12=400円 03=330円 01=210円 枠連:6,990円",,,,,,,,,,,,"単勝:4,420円 複勝:02=710円 09=120円 03=210円 枠連:530円",,,,,,,,,,,,"単勝:830円 複勝:04=250円 05=190円 02=180円 枠連:2,570円",,,,,,,,,,,,単勝:670円 複勝:10=210円 07=200円 08=350円 枠連:700円,,,,,,,,,,,
"馬連:7,960円 ワイド:03-12=1,710円 01-12=1,340円 01-03=930円",,,,,,,,,,,,"馬連:4,210円 ワイド:02-09=1,010円 02-03=1,990円 03-09=360円",,,,,,,,,,,,"馬連:2,440円 ワイド:04-05=810円 02-04=720円 02-05=430円",,,,,,,,,,,,"馬連:1,510円 ワイド:07-10=700円 08-10=940円 07-08=960円",,,,,,,,,,,
"馬単:17,020円 3連複:13,730円 3連単:131,760円",,,,,,,,,,,,"馬単:10,330円 3連複:6,610円 3連単:68,710円",,,,,,,,,,,,"馬単:5,080円 3連複:3,890円 3連単:26,670円",,,,,,,,,,,,"馬単:3,060円 3連複:6,210円 3連単:31,230円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
