11年 8月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:18,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBC賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄシルクティソナ, 52,秋山真,, 56,*  2,  -1, 4,  6.1, ①①, 1, 4,Ａサウスノｰブル, 66,津村明,, 63,   0,*  0, 2,  4.6, ⑤⑤, 1, 5,Ｅテンペスタ, 67,柴山雄,, 72,   1,*  8, 6, 12.1, ⑤⑤, 1,15,Ｈダイワナイト, 74,吉田隼,, 82,   5,  10, 3,  7.4, ③③
 2, 5,Ａエゾムサシ, 55,柴山雄, 0.1, 54,*  1,   0, 1,  2.9, ②②, 2, 8, プラネット,---,黛弘人, 0.1, 61,  -7,*  5, 8, 24.0, ⑭⑮, 2,12,Ｃワイズドリｰム, 71,池添謙, 0.1, 72,   5,   5, 5,  7.2, ④③, 2, 6,Ｉダンシングロイヤル, 73,浜中俊, 0.4, 77,   4,   6, 6, 12.5, ④④
 3, 7,Ｃウォｰタｰナポリ, 52,藤田伸, 0.8, 49,  -7,  -1, 2,  3.0, ⑤⑤, 3,16,Ｃエｰシンジャイヴ, 58,池添謙, 0.2, 61,  -2,  -1, 6, 12.5, ⑥⑥, 3,10,Ｆフェアユｰス, 66,蛯名正, 0.8, 65,*  7,  -3, 3,  4.8, ②①, 3,16,Ｅクレバｰサンデｰ, 75,丹内祐, 0.4, 78,   4,   7,10, 19.1, ⑤⑥
 4, 2,Ｇサマｰヴィクトリア, 37,吉田隼, 0.8, 47, -12,*  1, 7, 38.6, ⑥⑥, 4, 9,Ｂコマノスクアｰロ, 58,四位洋, 0.4, 59,  -4,  -1, 1,  2.6, ⑪⑩, 4, 4,Ｇサイカニア, 64,丸山元, 0.8, 63,  -9,*  8, 7, 14.7, ⑪⑪, 4,10,Ｂタマモコントラバス, 78,池添謙, 0.4, 78,   1,   9, 2,  5.6, ⑥⑤
 5, 3,Ｅハリスキャスケｰド, 45,小林徹, 1.3, 43,  -4,  -8, 8, 57.6, ④④, 5, 1,Ｈベルモントセブン, 49,吉田隼, 0.5, 58,  -2,  -3, 9, 27.3, ⑦⑦, 5, 9,Ｊデステニｰアロｰ, 60,菅原隆, 1.0, 62, -11,*  8,10, 76.4, ⑫⑫, 5, 4,Ｌグレナディｰン, 71,上村洋, 0.5, 77,  -3,  12, 8, 16.2, ⑪⑪
 6, 1,Ｂラウレア, 53,松田大, 1.4, 43,  -2, -10, 3,  3.4, ③③, 6, 2,Ｉクｰルダンス, 44,川島信, 0.5, 57,  -7,*  0,16,200.6, ⑬⑪, 6, 7,Ａゼニスパワｰ, 72,古川吉, 1.0, 62,  -4,   3, 2,  4.5, ⑨⑦, 6, 7,Ｊドリｰムピｰチ, 72,西村太, 0.5, 78,  -5,* 15,13, 73.5, ⑮⑮
 7, 6,Ｆトライスタｰ, 39,藤岡佑, 1.6, 38, -23,*  2, 5, 23.5, ⑧⑧, 7,15,Ｅジパングパワｰ, 52,浜中俊, 0.5, 58,*  2,  -9, 4,  8.9, ④④, 7, 2,Ｉマウシャｰレ, 62,秋山真, 1.3, 59,  -7,   2,11, 79.0, ⑩⑩, 7, 9,Ｃステラｰホｰプ, 77,秋山真, 0.6, 76,  -3,  11, 5,  9.7, ⑫⑬
 8, 4, カゼノエメラルド,---,蛯名正, 3.0, 24, -12, -18, 6, 34.3, ⑦⑦, 8, 3,Ｄランニングハイ, 56,丸田恭, 0.6, 56,   1,  -9, 5, 11.3, ③③, 8, 6,Ｈトゥインクルスノｰ, 62,丹内祐, 1.6, 58,  -3,  -3, 8, 21.5, ⑧⑨, 8,14,Ｋキョウエイアシュラ, 71,藤岡佑, 0.6, 76,   0,   8, 4,  8.6, ⑨⑩
