11年 4月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 4月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇサンライズドバイ, 52,荻野琢,, 59,   0,  -4, 4,  8.9,⑬⑥③, 1, 1,Ａタガノプリンス, 63,川須栄,, 61,*  0,*  6, 1,  2.4,①①①, 1, 4,Ｃカイシュウボナンザ, 74,田辺裕,, 70,  -2,   7, 2,  4.6, ⑥④, 1, 7,Ｄスマｰトグリッド, 82,武幸四,, 85,  10,* 10, 7, 16.1,⑫⑩⑩
 2, 3, エリモスフィｰダ,---,田中健, 0.0, 58,  -1,* -2, 9, 24.5,⑦⑦⑥, 2,11,Ｃニシノテキｰラ, 59,丸山元, 0.1, 61,*  0,*  6, 2,  4.5,②②②, 2, 2,Ｉウインドジャズ, 68,吉田隼, 0.0, 72,  -3,   8, 3,  5.7, ⑤⑥, 2, 1,Ｇマイネルプリマス, 81,大野拓, 0.0, 84,* 15,  -3, 3,  6.9,③③②
 3, 2,Ｂギンザスクランブル, 62,中舘英, 0.1, 57,*  2,  -7, 2,  3.7,①①①, 3, 8,Ｈカリビアンクルｰズ, 49,吉田隼, 1.1, 58,  -5,*  5, 5, 11.0,⑥⑨⑤, 3,12,Ｄフェブムｰビング, 72,野元昭, 0.1, 71,*  2,   2, 5,  9.7, ②②, 3, 4,Ｊシングンレジェンド, 80,小林淳, 0.2, 81,  14,  -1, 9, 29.9,⑤⑤⑤
 4, 1,Ｍクレバｰジブラル, 45,水口優, 0.2, 56,*  0,  -7,15,179.3,③③④, 4,10,Ｊゲンパチロッキｰ, 46,岩部純, 1.1, 55,  -4,   3, 7, 22.8,⑤⑤④, 4,15,Ｍトウショウフォアゴ, 66,石橋脩, 0.1, 73, -13,* 16, 8, 18.2, ⑮⑯, 4, 5,Ｋキンセイポラリス, 77,荻野琢, 0.3, 84,  12,*  5, 8, 23.2,⑩⑪⑪
 5,15,Ｆコウユｰタイセイ, 53,川須栄, 0.4, 55,  -4,* -1, 6, 14.8,⑮⑮⑪, 5,14,Ｉダイゴロｰ, 49,石橋脩, 1.8, 48,* -1,  -7, 8, 23.6,③③③, 5, 6,Ｂロｰドセイバｰ, 75,津村明, 0.3, 68,  -6,   7, 1,  4.2, ⑧⑦, 5,11,Ｆショウナンアクロス, 81,黛弘人, 0.5, 81,  10,*  5,11, 39.0,⑭⑭⑬
 6, 8,Ｋフォｰミｰ, 48,武士沢, 0.4, 55,  -2,* -3,10, 27.4,⑫⑪⑦, 6, 2,Ｄトウカイパルマ, 58,小野寺, 1.8, 52,  -5,   0,10, 45.0,⑧⑩⑨, 6,13,Ａドリｰムヒｰロｰ, 79,佐藤哲, 0.3, 67,  -7,   8, 4,  8.3, ⑫⑩, 6, 8,Ａトップゾｰン, 85,吉田隼, 0.7, 78,  14,  -7, 1,  2.9,⑥⑥⑥
 7,14,Ｌバットゥｰタ, 48,勝浦正, 0.5, 55,  -1,  -8, 8, 22.6,⑩⑤⑤, 7,12,Ｆタビニデヨウ, 57,田辺裕, 2.0, 50,  -8,   4,11, 98.6,⑮⑭⑪, 7, 3,Ｈカリスマテｰラｰ, 68,中舘英, 0.3, 69,*  1,   0, 7, 11.5, ③③, 7, 3,Ｎマイネルレイン, 74,丹内祐, 0.9, 76,  14, -13, 5,  9.9,④④④
 8, 4,Ｊナンヨｰオウトｰ, 50,石橋脩, 0.6, 52,*  0, -11, 5, 13.2,②②②, 8,15,Ｅルチルドラｰド, 58,酒井学, 2.3, 46,  -3,  -8, 3,  5.9,⑨⑥⑦, 8,16,Ｅケイツｰノｰス, 71,丸田恭, 0.7, 62, -10,   5, 9, 28.1, ⑭⑬, 8,15,Ｍキクカラヴリイ, 74,酒井学, 1.0, 76,   8,   0,14, 95.8,⑮⑮⑭
 9, 7,Ｅブラジルジャクｰ, 54,丸山元, 0.7, 53,  -4,* -3,11, 33.9,⑯⑯⑭, 9,13,Ｇタイソンバロｰズ, 53,勝浦正, 2.3, 47,  -2,  -9, 6, 16.4,⑦④⑥, 9,11,Ｆショウナンアトム, 69,高倉稜, 0.7, 63, -13,   8,11, 29.7, ⑯⑭, 9,13,Ｈニシノラブキング, 80,丸山元, 1.0, 74,  13,  -9,10, 33.0,⑧⑨⑧
10,13,Ｃキｰパｰ, 58,田辺裕, 0.8, 52,  -3,  -5, 3,  5.6,⑭⑬⑫,10, 5,Ｋクィディッチ, 41,鮫島良, 2.5, 46,  -7,  -2,12,112.5,⑬⑪⑫,10, 7,Ｇキュｰトシルフ, 68,西村太, 0.8, 62,  -9,   3, 6, 11.5, ⑬⑮,10,14,Ｃパッシングマｰク, 82,田辺裕, 1.0, 73,  10,  -2,12, 51.8,⑬⑯⑮
