11年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011ｺﾞｰﾙﾃﾞﾝ ﾌﾞｰﾂ ﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇシゲルアケビ, 52,酒井学,, 54,   0,* -3, 4,  5.8, ④⑤, 1, 2,Ｃダノンオリエント, 56,メンデ,, 67,*-30,* 23, 4,  7.0, ①①, 1, 1,Ｃディｰプルマン, 72,和田竜,, 73,   7,* -1, 1,  1.9,④④⑤, 1,15,Ｃトウカイオｰロラ, 81,蛯名正,, 80,  13,* -7, 2,  5.9,⑬⑫⑫
 2, 8,Ｆトップバゴスタｰ, 52,和田竜, 0.2, 53,*  1,  -6, 5,  8.0, ③③, 2, 5,Ｂベｰルドインパクト, 64,デムｰ, 0.3, 65, -31,* 22, 1,  1.7, ⑨④, 2, 4,Ｉタガノシンシア, 40,幸英明, 0.1, 73,*  9,  -4, 9, 75.2,③③②, 2, 7,Ｋアドマイヤテンバ, 76,福永祐, 0.0, 79,* 17, -16, 5,  7.1,③③③
 3, 1,Ｂサイレントクロップ, 56,武豊  , 0.2, 53,*  1,  -7, 3,  5.7, ①①, 3, 9,Ｄオｰルブラックス, 56,ルメｰ, 0.9, 57, -31,  15, 5, 11.0, ⑥⑦, 3, 5,Ａコルｰジャ, 73,川田将, 0.2, 71,   7,* -2, 2,  3.1,⑤⑤⑥, 3, 9,Ｆロｰドオブザリング, 79,川田将, 0.2, 77,  14, -13, 4,  6.8,⑨⑨⑧
 4, 9,Ｉシルクシンフォニｰ, 50,ドミン, 0.4, 50,  -6,*  1, 6, 10.3, ⑫⑬, 4, 8,Ｆメイショウブシドウ, 51,武豊  , 1.0, 54,*-29,  11, 6, 14.6, ③③, 4, 7,Ｇクｰクｰダダ, 62,国分恭, 0.9, 67,   6,  -4, 7, 21.0,⑧⑧⑧, 4,10,Ｍメルヴェイユドｰル, 75,ノレン, 0.2, 78,  15, -11,13, 72.7,⑫⑩⑪
 5, 7,Ｅソロデビュｰ, 53,吉田稔, 0.5, 49,  -4,* -3, 9, 37.1, ⑨⑩, 5, 6,Ｅプレザントライフ, 54,福永祐, 1.2, 53, -31,  11, 3,  6.3, ⑤⑥, 5, 3,Ｅアイティテイオｰ, 69,柴山雄, 1.6, 60,*  9, -16, 8, 24.4,②②①, 5, 6,Ｌサクラキングオｰ, 76,ムルタ, 0.3, 76,  13,*-10,10, 31.4,⑩⑪⑭
 6,10,Ｄシゲルマスカット, 53,岩田康, 0.5, 50,  -1,  -6, 7, 12.2, ⑥⑥, 6, 3,Ａヴァンガｰド, 65,藤岡佑, 1.6, 50, -34,   9, 2,  6.1, ⑦⑨, 6, 6,Ｈライブインベガス, 52,吉原寛, 1.8, 61,   7, -14, 6, 21.0,⑦⑦⑦, 6,14,Ｅヤマカツゴｰルド, 80,横山典, 0.3, 75,  13, -11,11, 51.7,⑪⑬⑬
 7, 6,Ｃアポロパレス, 55,川田将, 0.6, 50,*  2, -10, 2,  4.1, ②②, 7, 4,Ｊギャラクティコ, 22,和田竜, 1.6, 47,*-29,   2, 7, 43.3, ②②, 7, 8,Ｂディアトゥドリｰム, 72,吉田稔, 2.7, 56,   8, -24, 4, 14.4,⑥⑥③, 7, 1,Ｎサトノパンサｰ, 74,プレブ, 0.4, 75,  14, -15, 6, 11.4,⑦⑧⑩
 8,14,Ｎマルヨフレンドリｰ, 25,幸英明, 1.0, 46,  -3,  -8,11,141.6, ⑬⑧, 8, 1,Ｈキワミ, 39,川島信, 2.3, 40, -30,  -5,10,191.0, ④⑤, 8, 2,Ｄテｰオｰケンジャ, 71,小牧太, 2.9, 52,*  9, -28, 3,  9.7,①①④, 8, 2,Ｈハｰドダダンダン, 79,ハナガ, 0.4, 75,  16, -19, 7, 17.7,⑤⑤⑤
