11年 6月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,袖ｹ浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａニシノラメｰル, 68,北村宏,, 59,* -1,  -2, 1,  1.4, ③③, 1, 6, ハツカリ,,高野和,,,,, 1,  3.4,①①①, 1, 9,Ｅアポカリプス, 73,蛯名正,, 78,*  8,*  7, 4, 16.4,①①①, 1,13,Ｍスプラッシュエンド, 70,柴田善,, 79,  -2,* 12, 8, 17.0, ⑨⑧
 2, 3,Ｃフロｰラルホｰル, 57,小林淳, 0.2, 58,*  0,  -4, 2,  7.0, ①①, 2, 8, ボストンプラチナ,,草野太,195.2,,,,12,127.8,⑦⑤④, 2, 5,Ｂアサクサマリンバ, 77,横山典, 0.4, 76,*  8,   5, 1,  1.7,④③④, 2,12,Ｈツｰデイズノｰチス, 76,松岡正, 0.1, 78,*  3,   6, 1,  3.5, ②②
 3,12,Ｂダンスビュｰティ, 57,後藤浩, 0.3, 57,  -3,  -2, 4,  9.7, ⑥⑥, 3,12, クリスタルウイング,,五十嵐,195.6,,,, 5,  8.1,⑨②③, 3,13,Ｃジｰルドリル, 75,松岡正, 0.7, 73,   7,   4, 2,  3.6,⑪⑤⑤, 3, 5,Ａダイワナイト, 82,田辺裕, 0.2, 74,  -2,   9, 3,  5.0, ⑧⑦
 4, 1, ロックドクトリン,---,武士沢, 0.4, 54, -16,*  9,11,125.1, ⑮⑫, 4,11, エルアルト,,横山義,195.6,,,, 4,  7.2,③⑦⑤, 4, 3,Ｈトｰアボンジョルノ, 71,大庭和, 0.7, 74,   6,*  6, 7, 28.5,⑥⑦⑥, 4, 1,Ｃレッドストラｰダ, 77,吉田豊, 0.3, 74,  -1,   7, 2,  4.7, ⑦⑨
 5,14,Ｅフジマサフロｰラ, 55,小島太, 0.6, 54,  -9,   0, 8, 56.3, ⑩⑩, 5,13, ドラゴンハンタｰ,,平沢健,196.2,,,, 3,  4.4,⑪③②, 5,10, ベストライクディス,---,西田雄, 1.3, 68,   6,   2,10, 69.7,⑦⑨⑧, 5, 4,Ｎタｰニングポイント, 70,蛯名正, 0.3, 76,*  2,   5, 9, 20.5, ③⑤
 6, 9,Ｇネセサリｰ, 51,田辺裕, 0.7, 53,  -3,  -6, 6, 34.2, ④④, 6, 5, ディアユウキ,,石神深,196.7,,,,11, 79.8,⑧④⑥, 6, 2,Ｉフェバリットアワｰ, 70,横山義, 1.5, 68,   7,  -3, 6, 24.4,③④③, 6,11,Ｂプリンセスメモリｰ, 80,北村宏, 0.3, 78,  -5,* 14, 6, 12.9, ⑪⑩
 7, 7,Ｆラグランダム, 54,石橋脩, 0.7, 53,  -7,  -1, 9, 68.2, ⑨⑦, 7, 2, アイティｰバトル,,浜野谷,197.2,,,, 2,  3.8,⑩⑨⑧, 7, 7,Ｇバリアントバイオ, 73,田辺裕, 1.8, 65,   7,  -4, 8, 29.6,⑩⑥⑦, 7,10,Ｄウインバンディエラ, 77,田中勝, 0.3, 76,  -9,* 15, 4,  8.1, ⑭⑭
 8, 6,Ｄジャストザヒロイン, 56,平野優, 0.8, 52,  -3,  -7, 3,  9.7, ⑤⑤, 8, 4, グラッドフォンテン,,金子光,197.2,,,,13,147.1,⑬⑩⑩, 8,12,Ｌエイコオレジェンド, 49,嶋田純, 1.8, 67,   4,   1,11,328.7,⑧⑪⑪, 8, 9,Ｊアイアンデュｰク, 74,石橋脩, 0.4, 76, -10,* 15, 7, 14.7, ⑮⑮
 9, 8,Ｎトミケンロブスト, 30,大野拓, 1.0, 49, -11,  -1,12,168.0, ⑪⑨, 9,10, ブルｰデザフィｰオ,,山本康,197.5,,,,10, 72.5,⑫⑧⑨, 9, 4,Ｄトｰセンヤッテキタ, 74,大野拓, 1.9, 63,*  8,  -8, 3,  7.6,②②②, 9, 7,Ｏバロンダンス, 68,大野拓, 0.4, 74,*  3,   4,14,123.3, ④③
10, 5,Ｈマヤリッシュ, 49,小野寺, 1.4, 48, -14,  -1, 7, 44.1, ⑭⑮,10, 9, スマｰトカンパニｰ,,宗像徹,197.5,,,, 6, 13.7,④⑥⑦,10, 6,Ｋカトルズラパン, 53,後藤浩, 4.0, 52,   5, -19, 5, 22.0,⑨⑩⑩,10,14,Ｇクラッカｰジャック, 76,後藤浩, 0.5, 72,  -5,   8,12, 85.4, ⑫⑪
11, 4,Ｉプリンセスドリｰム, 49,柴田善, 1.5, 46,*  0, -16, 5, 27.1, ②②,11, 7, マルタカエンペラｰ,,大庭和,198.8,,,, 7, 16.8,⑭⑬⑬,11, 8,Ｊウインイマジン, 57,北村宏, 4.0, 52,   6, -22, 9, 38.1,⑤⑧⑨,11, 3,Ｆエスユｰグランド, 76,小林淳, 0.5, 71,  -6,   9,15,333.5, ⑩⑬
12,16, カナサンドｰ,---,嶋田純, 1.5, 46,  -5, -11,13,230.0, ⑦⑧,12, 3, ヤマニンノベリスト,,柴田大,199.2,,,, 9, 64.4,⑥⑪⑪,,,,,,,,,,,,,12, 6,Ｉレイクエルフ, 74,柴田大, 0.6, 71,   1,   2,11, 40.3, ⑤⑥
13,10,Ｌダイワエタニティｰ, 37,蛯名正, 2.5, 37, -17,  -8,10,117.0, ⑯⑯,13, 1, エイトスタｰ,,池崎祐,199.9,,,,14,193.0,②⑫⑫,,,,,,,,,,,,,13, 2,Ｅコウヨウサンデｰ, 77,横山典, 0.6, 70,*  5,  -2, 5, 11.1, ①①
14,13,Ｊバニｰブｰケ, 41,西田雄, 2.8, 34, -11, -16,14,331.8, ⑫⑬,14,14, サウスエポック,,大江原,203.4,,,, 8, 59.3,⑤⑭⑭,,,,,,,,,,,,,14,15,Ｋブレｰヴゴｰルド, 73,中舘英, 0.7, 70,  -4,   6,13,122.5, ⑬⑫
15,15,Ｍマイメロディ, 31,横山和, 3.1, 31, -12, -19,15,436.1, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｌカレンナサクラ, 73,武士沢, 1.0, 66,   1,  -4,10, 28.4, ⑥④
16, 2,Ｋスカイビンテｰジ, 39,高嶋活, 5.4, 12,  -7, -42,16,442.4, ⑧⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-11),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-2),,,,,,,,,,,
単勝:140円 複勝:11=110円 03=170円 12=180円 枠連:310円,,,,,,,,,,,,"単勝:340円 複勝:06=170円 08=1,920円 12=310円 枠連:4,030円",,,,,,,,,,,,"単勝:1,640円 複勝:09=290円 05=110円 13=140円 枠連:570円",,,,,,,,,,,,"単勝:1,700円 複勝:13=380円 12=170円 05=190円 枠連:2,780円",,,,,,,,,,,
馬連:470円 ワイド:03-11=210円 11-12=220円 03-12=620円,,,,,,,,,,,,"馬連:19,670円 ワイド:06-08=4,500円 06-12=660円 08-12=9,590円",,,,,,,,,,,,馬連:980円 ワイド:05-09=450円 09-13=700円 05-13=180円,,,,,,,,,,,,"馬連:2,900円 ワイド:12-13=1,130円 05-13=1,350円 05-12=410円",,,,,,,,,,,
"馬単:630円 3連複:750円 3連単:2,180円",,,,,,,,,,,,"馬単:30,510円 3連複:63,850円 3連単:344,930円",,,,,,,,,,,,"馬単:3,230円 3連複:1,010円 3連単:10,690円",,,,,,,,,,,,"馬単:7,280円 3連複:4,680円 3連単:39,090円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,佐倉特別,,,,,,,,,,,,総武ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａクリｰムソｰダ, 71,横山典,, 62,   6,*  1, 1,  1.1,③③③, 1,12, スマイルゲｰト,---,後藤浩,, 52,*-19,   2, 1,  2.9, ②②, 1, 4,Ｅマイネルネオハｰト, 65,武士沢,, 71,*  5,* 10, 4, 14.1,②②②, 1,10,Ａエイシンダッシュ, 87,後藤浩,, 79,*  7,* 14, 2,  2.9,④③③
 2, 4,Ｃザキャッチ, 55,石橋脩, 0.2, 61,*  8,  -3, 5, 40.4,①①①, 2,13, パワｰヒッタｰ,---,吉田豊, 0.1, 51, -22,   3, 5,  7.6, ③⑤, 2, 5,Ａラストノｰト, 79,横山典, 0.1, 68,   4,* 11, 1,  1.5,④③③, 2, 1,Ｂニホンピロアワｰズ, 86,酒井学, 0.1, 78,*  7,  12, 1,  2.0,①①①
 3, 3,Ｄアイティゴｰルド, 54,吉田豊, 1.3, 54,   2,  -1, 3, 23.7,⑧⑧⑥, 3,10, エキゾチックバニラ,---,田辺裕, 0.2, 48,*-18,  -2, 7, 25.9, ①①, 3, 6,Ｂアルティスト, 77,柴田善, 0.5, 66,   2,   8, 2,  4.2,⑤⑤⑦, 3, 2,Ｅサイモントルナｰレ, 84,北村宏, 0.4, 77,   6,  12, 4, 10.6,③④④
 4, 6,Ｉサミットフィｰバｰ, 35,伊藤工, 1.5, 54,  -1,*  2,10,166.2,⑨⑨⑧, 4, 2, マイネルモｰヴ,---,松岡正, 0.4, 49, -27,   4, 2,  4.4, ⑦④, 4, 7,Ｇハイマｰク, 54,田辺裕, 0.5, 65,   2,* 10, 5, 27.3,⑥⑥④, 4, 9,Ｄフォｰティファイド, 85,吉田豊, 0.6, 73,   6,  11, 7, 44.8,⑤⑤⑤
 5, 5,Ｂアカウンタビリティ, 59,横山和, 2.1, 48,*  7, -19, 2, 11.5,②②②, 5, 5, デカントラップ,---,横山典, 0.6, 49, -45,* 19, 6,  9.4, ⑩⑩, 5, 2,Ｄカシマパフュｰム, 70,中谷雄, 0.6, 63,*  5,   0, 6, 37.5,①①①, 5, 3,Ｉインフィニットエア, 82,横山典, 0.7, 74,*  6,   8, 5, 14.7,②②②
 6, 7,Ｆキャプテンバｰトン, 51,後藤浩, 2.9, 43,   4, -18, 4, 26.7,⑥⑤④, 6,14, スプレッドイｰグル,---,北村宏, 1.1, 37, -23,  -9, 3,  6.7, ④③, 6, 1,Ｃマイネルゲネラｰル, 72,柴田大, 0.8, 62,   3,   2, 3,  5.0,③④⑤, 6, 5,Ｃヒシパｰフェクト, 86,田辺裕, 0.7, 74,   5,  12, 3,  8.3,⑥⑦⑦
 7, 2,Ｅレゴリス, 53,村田一, 4.2, 33,   2, -26, 8,128.9,⑦⑦⑦, 7, 3, ハルピュイア,---,柴田大, 1.1, 38, -29,  -3,13,206.0, ⑨⑥, 7, 3,Ｆフｰガフュｰグ, 61,石橋脩, 1.0, 62,   1,   5, 7, 52.3,⑦⑦⑥, 7,11,Ｋテラノファントム, 70,中舘英, 1.0, 73,   6,   8, 8, 73.4,⑦⑥⑥
 8, 8,Ｈケイアイゼウス, 43,高嶋活, 4.4, 34,   4, -31, 6, 59.7,④④⑤, 8, 4, ダイヤモンタｰニャ,---,田中勝, 1.1, 39, -29,  -3, 9, 31.3, ⑧⑨,,,,,,,,,,,,, 8, 6,Ｈサンマルセイコｰ, 82,武士沢, 1.0, 71,   4,  10,10,195.7,⑨⑧⑧
