11年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａバトルデｰオ, 56,田中勝,, 53,  -3,*  1, 1,  3.7, ⑥⑥, 1, 2, コンノｰト,---,内田博,, 64,   0,*  0, 4,  5.4, ③②, 1,10,Ｏリネンタキシｰド, 61,村田一,, 75,   2,* 14,12,113.1,⑤⑧④, 1,13,Ａキングパｰフェクト, 90,岩部純,, 77,   2,  12, 1,  3.6, ⑦⑧
 2, 5,Ｋヨアケ, 40,的場勇, 0.3, 51,*  1,  -6, 3,  4.3, ①①, 2, 5, アルベルティ,---,柴田善, 0.2, 61,*  3,  -5, 1,  3.1, ①①, 2, 6,Ｆジャストザシｰズン, 71,後藤浩, 0.1, 74,   1,* 14, 5, 10.3,⑩⑪⑪, 2, 3,Ｃチャンピオンラブ, 81,蛯名正, 0.0, 77,   1,  12, 3,  4.7, ⑤④
 3, 8,Ｏマイネスウィｰト, 26,クラス, 0.5, 46,  -3,  -4, 6, 11.0, ⑤⑤, 3, 9, トミケンジェラｰチ,---,吉田豊, 0.5, 60,*  2,  -5, 7, 30.6, ④④, 3, 7,Ｅセイカプレスト, 71,津村明, 0.2, 75,   1,* 15, 9, 43.7,⑫⑫⑩, 3,11,Ｆセンジンジョｰ, 79,松岡正, 0.1, 77,  -4,* 16, 2,  4.1, ⑬⑫
 4,11,Ｃウインドワｰド, 51,後藤浩, 0.5, 47,* -1,  -5, 5, 10.0, ④③, 4, 8, ケｰジｰハヤテ,---,蛯名正, 1.0, 53,  -3,  -7, 2,  4.5, ⑦⑧, 4, 9,Ａマイネルトレｰス, 76,松岡正, 0.4, 73,   1,  11, 1,  3.2,⑪⑩⑧, 4,14,Ｂリバｰアゲイン, 83,吉田豊, 0.3, 73,  -5,* 15, 5,  7.5, ⑭⑭
 5, 6,Ｂフルフｰテル, 51,三浦皇, 0.5, 47,  -8,*  2, 2,  4.1, ⑨⑨, 5,10, サンタンジェロ,---,中舘英, 1.1, 55,*  2, -11, 3,  5.2, ②③, 5, 8,Ｂアカシロｰレル, 74,小野寺, 0.5, 73,   1,  12, 2,  4.2,⑭⑬⑫, 5, 5,Ｍカフェマｰシャル, 73,横山義, 0.4, 73,*  3,   6, 8, 30.7, ②②
 6,14,Ｅマイネルクロｰバｰ, 47,松岡正, 0.7, 45,  -6,  -3, 4,  6.9, ⑧⑧, 6, 4, ダイゴロｰ,---,後藤浩, 1.2, 49,  -8,  -3,12, 77.3, ⑩⑩, 6,13,Ｄシルクコスモス, 72,内田博, 0.6, 74,   0,* 14, 4,  6.2,⑯⑮⑬, 6,15,Ｋメジロオマリｰ, 73,大庭和, 0.5, 73,  -2,  11,12, 85.9, ⑩⑩
 7,12,Ｈサクラメアリ, 42,石橋脩, 0.8, 44,*  0,  -9,10, 57.4, ②②, 7, 3, ノボスカイブルｰ,---,三浦皇, 1.4, 47, -12,* -1, 5,  8.6, ⑫⑫, 7, 2,Ｐメジロフランクリン, 57,蛯名正, 0.8, 69,*  3,   5, 8, 27.6,②③③, 7, 6,Ｎマイスイｰトホｰム, 72,田辺裕, 0.5, 72,   0,   8,15,224.4, ⑥⑥
 8,13,Ｆラショウモン, 46,津村明, 1.1, 41,  -4,  -8, 7, 14.3, ⑦⑦, 8,11, キングメｰカｰ,---,伊藤工, 1.6, 49,  -1, -13,10, 57.3, ⑥⑦, 8, 3,Ｃユングフラウヨシコ, 74,平野優, 0.8, 71,   0,  11, 6, 14.3,⑮⑭⑮, 8,10,Ｊトムアウトランダｰ, 75,小林淳, 0.6, 71,  -5,  13,11, 71.0, ⑮⑮
 9, 1,Ｇトｰトホットライン, 44,武士沢, 1.3, 38, -11,  -2,13,191.4, ⑩⑩, 9, 7, シャドウシュｰタｰ,---,吉田隼, 2.4, 44,  -1, -19, 8, 30.9, ⑤⑥, 9,16,Ｎレッドシャリオ, 64,吉田豊, 1.0, 66,*  2,   2, 3,  5.0,③②②, 9, 1,Ｏゴｰルドバシリスク, 72,内田博, 0.6, 71,  -5,  13, 6, 11.7, ⑫⑪
