11年 6月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,利根川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａオペラフォンテン, 62,北村宏,, 63,   3,*  4, 3,  4.1,⑦④②, 1,11,Ｆヨアケ, 46,石橋脩,, 60,* -5,*  3, 2,  3.7, ②②, 1, 8,Ａリｰプオブフェイス, 79,蛯名正,, 76,* -4,* 21, 2,  2.6,⑦②②, 1, 4,Ａトｰセンアレス, 83,横山典,, 81,   4,* 21, 1,  2.4,⑧⑥⑥
 2, 5,Ｄナンヨｰルｰジュ, 56,蛯名正, 0.9, 56,*  5,  -7, 5, 12.0,②②①, 2, 3,Ｂラントゥザリｰド, 50,蛯名正, 0.4, 57,  -9,*  4, 1,  2.6, ⑥⑥, 2, 1,Ｃトウカイライフ, 75,村田一, 0.1, 74,  -5,* 22, 3,  6.2,④③④, 2, 9,Ｅグリッタｰウイング, 79,後藤浩, 0.1, 79,   3,* 21, 3,  4.3,④⑤⑤
 3,12,Ｃグラスルビｰ, 59,大野拓, 1.4, 51,   2,  -6, 4, 11.8,⑤⑥⑤, 3, 4,Ｇリキアイギムレット, 45,大庭和, 0.5, 54,  -9,*  0, 5, 10.1, ④④, 3, 2,Ｂメイショウラグｰナ, 75,武幸四, 0.1, 75,* -4,  20, 1,  2.1,①①①, 3, 2,Ｆウインマリアベｰル, 79,蛯名正, 0.3, 78,*  5,  17, 4, 11.0,②②②
 4,11,Ｈプレシャスマリン, 50,後藤浩, 1.6, 51,   2,  -9, 6, 17.3,⑨⑦⑥, 4,12,Ｃサンマルフェアｰ, 48,中舘英, 0.6, 54,* -3,  -6, 6, 10.4, ①①, 4, 9,Ｄグｰテデロワ, 70,後藤浩, 0.7, 71,  -5,  17, 4, 10.7,⑤④③, 4,10,Ｇウインベルセルク, 79,松岡正, 0.5, 77,   3,  16, 5, 14.7,⑤③③
 5, 6,Ｂトｰセンティアラ, 59,横山典, 1.8, 50,   3, -12, 1,  2.6,④③③, 5, 9,Ｄエクセレントピｰク, 48,田中勝, 0.7, 51,  -7,  -4, 7, 10.6, ③③, 5, 3,Ｅミアコルサ, 66,田中勝, 1.6, 66,  -7,  12, 7, 51.5,⑨⑦⑤, 5, 7,Ｈユニヴァｰスガイ, 79,石橋脩, 0.9, 73,   2,  16, 7, 26.7,⑦⑦⑧
 6, 2,Ｆカミニｰト, 52,武士沢, 2.1, 47,   1, -11, 7, 46.6,⑩⑨⑧, 6, 1,Ｉリックラヴ, 43,武士沢, 1.1, 46, -13,  -4, 4,  9.3, ⑦⑦, 6, 4,Ｈアテナブルｰ, 61,小野寺, 1.9, 65,  -6,   8, 8, 92.5,②⑤⑥, 6, 8,Ｉファイナルパンチ, 76,武士沢, 1.0, 73,   1,  18,10,185.3,⑩⑩⑩
 7, 3,Ｅショウナンランパス, 54,平野優, 2.3, 47,   1, -12, 8, 56.5,⑥⑧⑦, 7, 8, ビヨンドトゥモロｰ,---,松岡正, 1.2, 46,  -8,  -9, 3,  7.9, ⑤⑤, 7, 6,Ｇマドモアゼルノン, 66,柴田大, 2.1, 63,  -8,  10, 6, 45.0,⑥⑨⑦, 7, 6,Ｄキクノセンヒメ, 79,大野拓, 1.2, 72,   1,  16, 9, 78.6,⑨⑨⑨
 8, 8,Ｊヒカリエンジェル, 40,村田一, 2.3, 47,  -4,* -2,13,304.8,⑬⑬⑪, 8, 2,Ｋキチロクアユ, 40,武幸四, 1.4, 42, -14,  -6,13,128.5, ⑨⑨, 8, 5,Ｉアラマサマンボウ, 57,中舘英, 3.0, 55,  -7,   1, 9,138.0,③⑧⑨, 8, 1,Ｂファストワｰカｰ, 83,北村宏, 1.3, 70,*  4,   8, 2,  3.2,①①①
