11年 2月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呼子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｆメロウメロディ, 54,松山弘,, 55,  -4,* -4, 8, 17.5,③⑤④, 1, 3,Ｄサルココッカ, 59,高倉稜,, 68,*  5,  -6, 3,  6.7, ②②, 1, 7,Ｉシンボリカンヌ, 68,大野拓,, 71,  -1,* 13, 8, 26.7,⑮⑭⑫, 1, 4,Ｄナリタジャングル, 79,酒井学,, 76,*  3,  11, 3,  5.6,①②②
 2, 3,Ｄホワイトアルバム, 59,酒井学, 0.3, 52,  -4,* -8, 1,  3.8,⑤③③, 2,14,Ｃコアレスシルバｰ, 59,丹内祐, 0.0, 67,*  3,  -5, 2,  3.2, ③③, 2,16,Ｅウインスカイハイ, 70,高倉稜, 0.0, 68,*  5,   3, 6, 13.8,②②②, 2, 9,Ｇケｰジｰカチボシ, 75,宮崎北, 0.0, 76,*  1,  12, 7, 17.7,④③③
 3, 5,Ｊミスグロリアス, 49,田辺裕, 0.4, 50,* -3, -10, 6, 12.9,②②②, 3, 6,Ｅシルバｰトップ, 57,二本柳, 0.4, 60,   2,  -9, 5, 13.6, ⑤⑤, 3, 8,Ｂモエレジンダイコ, 77,西田雄, 0.0, 70,   4,   6, 3,  5.2,⑤⑤④, 3, 2,Ｉロイヤルダリア, 71,丸山元, 0.1, 76,   0,* 16, 4, 10.2,⑥⑦⑦
 4, 7,Ｈニットウミュｰズ, 50,古川吉, 0.8, 49,  -6,  -9, 9, 33.6,⑨⑧⑦, 4,11,Ａハッピｰトゥデイ, 67,藤岡康, 0.4, 61,   2,  -9, 1,  2.3, ⑥⑥, 4,11,Ａウォｰタｰサムデイ, 78,酒井学, 0.1, 71,   4,   6, 4,  6.7,⑥⑥⑦, 4, 5,Ａエイシンブイダンス, 85,藤岡康, 0.4, 75,   0,  12, 1,  3.0,⑧⑩⑨
 5,13,Ｇプレシャスマリン, 54,小野寺, 1.1, 46,  -6, -11, 4,  8.4,⑬⑪⑧, 5, 7,Ｈアｰスワンラシアン, 48,田辺裕, 0.6, 53, -14,*  4,12,159.5, ⑭⑫, 5,10,Ｊダノンシュナップス, 64,中舘英, 0.3, 69,*  4,   2, 2,  3.7,④③⑤, 5,12,Ｃヤマニンシャスｰル, 80,中舘英, 0.4, 74,*  1,   9, 2,  4.3,⑨⑥⑥
 6, 2,Ａスエヒロジュピタｰ, 61,小林徹, 1.4, 46,  -6, -14, 3,  5.2,⑧⑦⑤, 6, 2,Ｉメイショウブロガｰ, 44,太宰啓, 0.8, 57,*  4, -17,15,228.8, ①①, 6, 4,Ｇスタｰサイクル, 69,川須栄, 0.3, 73,  -4,* 18, 9, 48.3,⑯⑯⑯, 6,11,Ｍブラボｰジャングル, 67,荻野琢, 0.5, 70,*  2,   2, 9, 19.7,⑩①①
 7, 8,Ｋサクラオイデ, 47,大野拓, 2.2, 39,  -7, -17,15,115.1,⑭⑫⑨, 7, 1,Ｂトシロｰズ, 63,北村友, 0.8, 55,   2, -14, 8, 38.2, ④④, 7,12,Ｆサンワｰドハｰレｰ, 70,古川吉, 0.4, 70,   2,   6,11, 52.9,⑨⑨⑨, 7, 7,Ｌセイカペガサス, 70,伊藤工, 0.6, 70,*  1,   7,14, 98.1,②④④
 8,11,Ｂフラムティｰド, 61,川島信, 2.3, 39,  -5, -23, 5,  8.7,⑥⑥⑩, 8,10,Ｆルシエルクレｰル, 49,勝浦正, 0.9, 50,  -9,  -5, 4,  7.7, ⑪⑨, 8, 1,Ｄミッキｰリヒト, 71,北村友, 0.4, 69,   2,   6, 5,  9.1,⑦⑧⑥, 8,15,Ｋトキノヤマトボシ, 70,柴原央, 0.7, 73,  -1,  12, 8, 19.0,⑬⑭⑬
